date,close,volume,open,high,low
2013-03-08,50.20,32723430,50.59,50.85,49.61
2013-03-11,50.48,19469360,50.23,50.77,49.91
2013-03-12,50.28,17998700,50.35,50.67,50.05
2013-03-13,50.16,16679710,50.29,50.43,50.11
2013-03-14,51.00,26276280,50.25,51.00,50.19
2013-03-15,50.02,60807310,49.97,50.29,49.15
2013-03-18,49.51,27998950,49.19,49.66,48.95
2013-03-19,49.20,24366000,49.65,49.99,48.68
2013-03-20,49.12,19333270,49.57,49.64,49.04
2013-03-21,48.35,23477610,48.79,49.23,48.35
2013-03-22,48.78,22738480,48.63,49.00,48.34
2013-03-25,48.52,23580860,49.04,49.32,48.16
2013-03-26,48.64,16417790,48.74,48.97,48.32
2013-03-27,47.77,26529560,48.20,48.31,47.56
2013-03-28,47.46,27490150,47.84,47.93,47.28
2013-04-01,47.83,17447000,47.55,47.99,47.49
2013-04-02,48.28,17261110,48.01,48.38,47.875
2013-04-03,46.85,33467890,48.03,48.07,46.53
2013-04-04,47.49,21514720,46.96,47.5399,46.90
2013-04-05,47.91,22908550,46.79,48.04,46.75
2013-04-08,48.58,18671970,47.88,48.59,47.59
2013-04-09,48.68,19937690,48.74,48.9612,48.46
2013-04-10,49.25,20391020,48.94,49.56,48.88
2013-04-11,49.31,22548350,49.21,49.60,48.83
2013-04-12,49.01,37788480,48.90,49.58,48.45
2013-04-15,47.93,31473270,48.39,49.34,47.90
2013-04-16,48.49,23864850,48.43,48.52,47.59
2013-04-17,46.79,43466570,48.11,48.18,46.38
2013-04-18,46.64,26099280,46.80,47.33,46.05
2013-04-19,47.23,19735160,47.15,47.364,46.70
2013-04-22,47.35,15196130,47.40,47.49,46.87
2013-04-23,48.17,20493280,47.68,48.24,47.39
2013-04-24,48.72,16422930,48.32,48.92,48.16
2013-04-25,49.00,19058150,49.02,49.63,48.8899
2013-04-26,48.88,13921820,48.86,49.09,48.61
2013-04-29,48.92,13463590,49.08,49.10,48.65
2013-04-30,49.01,13781930,48.96,49.25,48.72
2013-05-01,48.01,17657430,48.76,48.91,47.85
2013-05-02,48.08,15498900,48.25,48.25,47.71
