date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,116.14,8302445,117.0,117.03,115.97,,,,,,,,,-5639396.5,,0.0,,,,,
2018-08-29,115.76,7218300,116.35,116.37,115.36,,,,,,,,,-7140231.5,,-7218300.0,,,,,
2018-08-30,115.19,8991040,115.59,116.04,114.98,,,,,,,,,-12568784.0,,-16209340.0,,,,,
2018-08-31,114.58,12964490,114.83,114.84,113.819,,,,,,,,,-6207168.0,,-29173830.0,,,,,
2018-09-04,115.15,10169810,114.34,115.24,113.63,,,,,,,,,2825644.5,,-19004020.0,,,,,
2018-09-05,114.59,11461150,115.0,115.7,114.25,,,,,,,,115.7,-3260621.5,,-30465170.0,,,,,
2018-09-06,114.1,9877590,114.5,114.7,113.5,,,,,,,,115.456665,-3260621.5,,-40342760.0,,,,,
2018-09-07,114.32,10954450,114.5,114.77,113.63,,,,,,,,115.21333,-954421.4,,-29388310.0,,,,,
2018-09-10,113.71,8276288,114.85,114.97,113.66,,,,,,,,114.97,-8598932.0,,-37664600.0,,,,,
2018-09-11,114.43,9332254,113.54,114.575,113.18,,,,,,,,115.50375,-1206716.1,,-28332344.0,,,,,
2018-09-12,113.08,10798760,114.25,114.88,112.85,,,,,,,,116.0375,-9558467.0,,-39131104.0,,,,,
2018-09-13,113.52,12415090,113.37,114.13,112.67,,,,,,,,116.57125,-7517630.0,,-26716014.0,,,,,
2018-09-14,113.5,10231520,113.81,114.49,113.23,,,,,,,,117.105,-13364213.0,,-36947536.0,,,,-1.2138462,
2018-09-17,113.84,9554932,113.79,114.43,113.3,,,,,,,,117.63875,-13786997.0,,-27392602.0,,,-0.22830084,-1.0247253,
2018-09-18,114.3,7940094,114.33,114.655,113.56,,37.46594,,,,,,118.1725,-10995275.0,43.02133,-19452508.0,,,-0.17230631,-0.51762164,61.02832
2018-09-19,117.62,16046720,114.44,118.06,114.44,,57.94926,,,,,,118.70625,1150585.2,51.386166,-3405788.0,,,-0.067834064,2.8377528,52.018547
2018-09-20,118.63,15575320,118.5,119.24,118.08,,62.024517,,,,,,119.24,344965.2,59.398438,12169532.0,,,-0.03287496,6.5723596,45.501747
2018-09-21,117.85,24745470,119.13,119.23,117.74,,57.39818,,,,116.7893,,118.997,-20746812.0,54.95855,-12575938.0,,,-0.07674656,5.5148797,45.707733
2018-09-24,116.72,12487950,117.76,118.46,116.4315,,51.414997,,,,71.37934,,118.754,-29682606.0,48.177315,-25063888.0,,,-0.14930367,3.1528254,46.42339
2018-09-25,116.39,9187653,117.04,117.97,116.32,,49.78294,,,0.6967694,43.840103,,118.511,-38090700.0,41.983185,-34251540.0,,,-0.15724516,2.4025645,46.760685
2018-09-26,115.02,13973420,116.75,116.8699,114.66,,43.59591,,,0.48450634,24.62371,,118.268,-47511490.0,40.953045,-48224960.0,,,-0.18935284,-0.09361602,48.419456
2018-09-27,114.52,13278480,115.42,115.76,114.16,,41.565567,,,0.41294366,15.728057,,118.025,-54814652.0,34.179306,-61503440.0,,,-0.21825323,-1.3344423,49.151592
2018-09-28,112.84,15811150,113.65,114.24,112.52,,35.571167,,,0.17340091,-7.593438,114.48372,117.782,-64742584.0,32.801487,-77314590.0,,,-0.18973188,-3.6980934,49.368546
2018-10-01,113.5,10108580,113.37,114.61,113.04,,39.276184,,,0.2885037,-5.1054277,114.45855,117.539,-68927660.0,38.12818,-67206010.0,,,-0.22938833,-2.31408,49.938858
2018-10-02,113.97,13675490,113.36,114.12,112.8128,,41.841057,,,0.3703243,6.008175,114.497635,117.296,-58390676.0,37.544716,-53530520.0,,,-0.15488826,-2.7421257,48.831814
2018-10-03,115.04,17139050,114.94,115.66,114.48,,47.29862,-24.0,,0.52966654,37.64141,114.48274,117.053,-59262150.0,45.565723,-36391470.0,,,-0.15617354,0.40720648,49.187603
2018-10-04,115.27,16353980,114.55,116.81,114.21,,48.41909,-24.0,,0.55598783,52.314816,114.34444,116.81,-62281348.0,47.304073,-20037492.0,,,-0.11881963,1.1718913,51.19656
2018-10-05,114.62,13774290,115.83,116.1,114.015,,45.476463,-24.0,17.094254,0.45428702,46.709656,114.28264,116.14222,-68061930.0,41.59743,-33811780.0,,,-0.16343273,0.35376394,52.56598
2018-10-08,115.32,13988650,114.25,115.78,113.3534,,49.06644,-24.0,16.298075,0.54983115,41.94775,114.17708,115.47444,-59376810.0,36.579582,-19823132.0,,,-0.12997964,-0.75337374,54.396397
2018-10-09,114.52,13313990,114.67,115.03,113.67,,45.3883,-24.0,15.558765,0.42487413,30.1918,114.18221,114.80666,-56048310.0,29.159657,-33137120.0,,,-0.20060444,-1.065806,51.453552
2018-10-10,111.47,22980780,114.7,114.95,111.47,,34.706413,-56.0,16.199825,0.003385419,7.4404764,113.93756,114.138885,-79029096.0,20.651129,-56117900.0,,,-0.27490658,-2.3706908,48.606937
2018-10-11,108.13,33674420,110.97,111.47,107.38,,27.166462,-60.0,18.323193,-0.21810769,-10.277587,113.62086,113.47111,-100353480.0,20.03692,-89792320.0,,,-0.26314342,-8.150592,38.477375
2018-10-12,106.95,32046950,110.37,110.83,105.6,,25.092403,-64.0,20.747873,-0.1539507,-10.237965,113.16309,112.80334,-115856120.0,18.559032,-121839270.0,,,-0.27323097,-8.6990795,38.07618
2018-10-15,106.34,18733850,107.2,108.85,106.32,-1.1604755,24.06938,-64.0,22.999363,-0.074025415,6.8126326,113.094315,112.13556,-134293780.0,17.938465,-140573120.0,6.142345,,-0.26937252,-8.180639,42.579666
2018-10-16,108.62,19299970,107.16,108.78,106.73,-1.0124153,34.77363,-64.0,25.090033,0.14055173,25.230791,113.04093,111.46778,-118006490.0,24.984325,-121273150.0,3.0512855,,-0.16258423,-6.967691,43.03227
2018-10-17,109.83,18651830,108.38,110.8,108.23,-0.78258777,39.63708,-64.0,25.48108,0.2524829,40.149654,112.97226,110.8,-113434250.0,31.60587,-102621320.0,0.59795016,,-0.082105495,-3.0451634,44.0711
2018-10-18,108.09,17580370,109.02,109.84,107.81,-0.70003635,35.533966,-64.0,25.997593,0.16024575,41.87623,112.98034,110.800835,-126164860.0,31.476273,-120201690.0,-1.4703219,,-0.081191055,-3.5829973,44.10278
2018-10-19,107.91,15152190,107.65,109.22,107.27,-0.6129711,35.128845,-64.0,26.67459,0.17817248,27.513,112.998955,110.80167,-131371000.0,27.061493,-135353890.0,-3.6549103,,-0.07758171,-3.969712,44.2923
2018-10-22,106.36,16125130,108.15,108.34,106.1132,-0.613674,31.769922,-64.0,27.702087,0.109697096,1.3678263,112.96899,110.8025,-143921780.0,26.906218,-151479000.0,-4.6595254,,-0.16833103,-4.900839,45.24602
2018-10-23,105.25,21403520,104.2,106.16,103.7,-0.6398729,29.588053,-92.0,29.341478,0.08187684,1.5735317,112.12085,110.80334,-138353380.0,20.078428,-172882530.0,-3.3596382,,-0.14389649,-8.2291765,40.29389
2018-10-24,103.29,23151030,104.76,105.03,102.9068,-0.73346543,26.170311,-96.0,31.055794,0.022155555,-3.007242,111.599464,110.80417,-153147710.0,13.547406,-196033570.0,-1.9604121,103.29,-0.21313035,-8.508208,39.79702
2018-10-25,104.86,17454950,104.18,105.9,103.72,-0.6374446,32.86037,-96.0,31.985443,0.16377522,9.763126,110.43303,110.805,-152347020.0,19.392561,-178578610.0,-3.014772,104.11636,-0.14939733,-5.8642926,41.251305
