Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.403,3000,0,68.68,7.55,1,1,0,68.68,68.68,10,28,5,15,aroon/stochastic,0,I/D/D,D/I/D,0.025,-0.01,1,1,1
2023-02-08,2023-03-08,1.0844,3000,0,25.31,2.78,1,1,0,25.31,25.31,10,28,5,75,bop,4,I/I,I/D,0.01,-0.2,1,1,1
2023-02-08,2023-03-08,1.652,3000,0,68.89,7.58,1,1,0,68.89,68.89,10,28,5,20,macd,1,I/I,D/D,0.01,-0.29,1,1,1
2023-02-08,2023-03-08,1.0371,3000,0,11.12,1.22,1,1,0,11.12,11.12,10,28,5,60,bop/rsi,5,I/I/D,D/D/I,0.005,-0.05,1,1,1
2023-02-08,2023-03-08,0.8861,3000,3006.0,6.58,0.72,2,1,0,6.58,6.58,10,28,5,15,pvo/obv,0,I/I/I,IGNORE,0.01,-0.04,1,1,1
2023-02-08,2023-03-08,1.7539,3000,0,34.18,3.76,1,1,0,34.18,34.18,10,28,5,25,aroon,1,I/I,I/D,0.015,-0.05,1,1,1
2023-02-09,2023-03-09,1.5234,3000,0,28.29,3.11,1,1,0,28.29,28.29,10,28,5,200,pvo,1,I/I,IGNORE,0.01,-0.16,1,1,1
2023-02-09,2023-03-09,1.4868,3000,0,28.29,3.11,1,1,0,28.29,28.29,10,28,5,170,pvo,1,I/I,IGNORE,0.01,-0.06,1,1,1
2023-02-11,2023-03-11,1.2441,3000,3082.0,82.6,9.09,2,1,0,82.6,82.6,10,28,5,50,elder/adx/stochastic/rsi,0,I/I/D/I/I,I/I/I/D/I,0.015,-0.18,1,1,1
2023-02-11,2023-03-11,1.6929,3000,0,6.58,0.72,1,1,0,6.58,6.58,10,28,5,35,mfi,0,I/I,IGNORE,0.01,-0.21,1,1,1
