Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-07-01,1995-04-20,1995-06-13,1995-06-15,0.22
1995-10-01,1995-07-20,1995-09-13,1995-09-15,0.22
1995-12-15,1995-10-19,1995-11-29,1995-12-01,0.22
1996-04-01,1996-02-15,1996-03-13,1996-03-15,0.25
1996-07-01,1996-04-18,1996-06-12,1996-06-15,0.125
1996-10-01,1996-07-18,1996-09-11,1996-09-15,0.125
1996-12-15,1996-10-18,1996-11-26,1996-12-01,0.125
1997-04-01,1997-02-20,1997-03-12,1997-03-15,0.14
1997-07-01,1997-05-17,1997-06-11,1997-06-15,0.14
1997-10-01,1997-07-17,1997-09-11,1997-09-15,0.14
1997-12-15,1997-10-16,1997-11-26,1997-12-01,0.14
1998-04-01,1998-02-20,1998-03-11,1998-03-15,0.15
1998-07-01,1998-04-15,1998-06-11,1998-06-15,0.15
1998-10-01,1998-07-15,1998-09-11,1998-09-15,0.15
1998-12-15,1998-10-15,1998-11-27,1998-12-01,0.15
1999-04-01,1999-02-18,1999-03-11,1999-03-15,0.16
1999-07-01,1999-04-21,1999-06-11,1999-06-15,0.16
1999-10-01,1999-07-15,1999-09-13,1999-09-15,0.16
1999-12-15,1999-10-21,1999-11-29,1999-12-01,0.16
2000-04-01,2000-02-17,2000-03-13,2000-03-15,0.17
2000-07-01,2000-04-19,2000-06-13,2000-06-15,0.17
2000-10-01,2000-07-20,2000-09-13,2000-09-15,0.17
2000-12-15,2000-10-18,2000-11-29,2000-12-01,0.17
2001-04-01,2001-02-15,2001-03-13,2001-03-15,0.18
2001-07-01,2001-04-17,2001-06-13,2001-06-15,0.18
2001-10-01,2001-07-19,2001-09-17,2001-09-15,0.18
2001-12-15,2001-10-17,2001-11-28,2001-12-01,0.18
2002-04-01,2002-02-21,2002-03-13,2002-03-15,0.20
2002-07-01,2002-04-17,2002-06-12,2002-06-15,0.20
2002-10-01,2002-07-18,2002-09-11,2002-09-15,0.20
2002-12-15,2002-10-17,2002-11-26,2002-12-01,0.20
2003-04-01,2003-02-20,2003-03-12,2003-03-15,0.22
2003-07-01,2003-04-16,2003-06-11,2003-06-15,0.22
2003-10-01,2003-07-17,2003-09-11,2003-09-15,0.22
2003-12-15,2003-10-16,2003-11-26,2003-12-01,0.22
2004-04-01,2004-02-19,2004-03-11,2004-03-15,0.25
2004-07-01,2004-04-21,2004-06-14,2004-06-15,0.25
2004-10-01,2004-07-22,2004-09-13,2004-09-15,0.25
2004-12-15,2004-10-21,2004-11-29,2004-12-01,0.25
2005-04-01,2005-02-17,2005-03-11,2005-03-15,0.28
2005-07-01,2005-04-20,2005-06-13,2005-06-15,0.28
2005-10-01,2005-07-21,2005-09-13,2005-09-15,0.28
2005-12-15,2005-10-20,2005-11-29,2005-12-01,0.28
2006-07-01,2006-04-20,2006-06-13,2006-06-15,0.31
2006-10-01,2006-07-20,2006-09-13,2006-09-15,0.31
2006-12-15,2006-10-19,2006-11-29,2006-12-01,0.31
2007-04-01,2007-02-15,2007-03-13,2007-03-15,0.34
2007-07-01,2007-04-19,2007-06-13,2007-06-15,0.34
2007-10-01,2007-07-19,2007-09-12,2007-09-15,0.34
2007-12-15,2007-10-18,2007-11-28,2007-12-01,0.34
2008-04-01,2008-02-21,2008-03-12,2008-03-15,0.38
2008-07-01,2008-04-17,2008-06-11,2008-06-15,0.38
2008-10-01,2008-07-17,2008-09-11,2008-09-15,0.38
2008-12-15,2008-10-16,2008-11-26,2008-12-01,0.38
2009-04-01,2009-02-19,2009-03-11,2009-03-15,0.41
2009-07-01,2009-04-23,2009-06-11,2009-06-15,0.41
2009-10-01,2009-07-23,2009-09-11,2009-09-15,0.41
2009-12-15,2009-10-22,2009-11-27,2009-12-01,0.41
2010-04-01,2010-02-18,2010-03-11,2010-03-15,0.44
2010-07-01,2010-04-22,2010-06-11,2010-06-15,0.44
2010-10-01,2010-07-22,2010-09-13,2010-09-15,0.44
2010-12-15,2010-10-21,2010-11-29,2010-12-01,0.44
2011-04-01,2011-02-17,2011-03-11,2011-03-15,0.47
2011-07-01,2011-04-28,2011-06-13,2011-06-15,0.47
2011-10-01,2011-07-21,2011-09-13,2011-09-15,0.47
2011-12-15,2011-10-20,2011-11-29,2011-12-01,0.47
2012-04-01,2012-02-16,2012-03-13,2012-03-15,0.51
2012-07-01,2012-04-26,2012-06-13,2012-06-15,0.51
2012-10-01,2012-07-30,2012-09-12,2012-09-14,0.255
2012-12-17,2012-10-18,2012-11-28,2012-11-30,0.255
2013-04-01,2013-02-21,2013-03-13,2013-03-15,0.28
2013-07-01,2013-04-25,2013-06-12,2013-06-14,0.28
2013-10-01,2013-07-18,2013-09-12,2013-09-16,0.28
2013-12-16,2013-10-17,2013-11-27,2013-12-02,0.28
2014-04-01,2014-02-20,2014-03-12,2014-03-14,0.305
2014-07-01,2014-04-24,2014-06-12,2014-06-16,0.305
2014-10-01,2014-07-15,2014-09-11,2014-09-15,0.305
2014-12-15,2014-10-16,2014-11-26,2014-12-01,0.305
2015-04-01,2015-02-19,2015-03-12,2015-03-16,0.33
2015-07-01,2015-04-30,2015-06-11,2015-06-15,0.33
2015-10-01,2015-07-16,2015-09-11,2015-09-15,0.33
2015-12-15,2015-10-15,2015-11-27,2015-12-01,0.33
2016-04-01,2016-02-18,2016-03-11,2016-03-15,0.35
2016-07-01,2016-04-28,2016-06-13,2016-06-15,0.35
2016-10-03,2016-07-21,2016-09-13,2016-09-15,0.35
2016-12-15,2016-10-20,2016-11-29,2016-12-01,0.35
2017-04-03,2017-02-16,2017-03-13,2017-03-15,0.37
2017-07-03,2017-04-27,2017-06-13,2017-06-15,0.37
2017-10-02,2017-07-20,2017-09-14,2017-09-15,0.37
2017-12-15,2017-10-19,2017-11-30,2017-12-01,0.37
2018-04-02,2018-02-15,2018-03-14,2018-03-15,0.39
2018-07-02,2018-04-27,2018-06-14,2018-06-15,0.39
2018-10-01,2018-07-20,2018-09-13,2018-09-14,0.39
2018-12-14,2018-10-19,2018-11-29,2018-11-30,0.39
2019-04-01,2019-02-22,2019-03-14,2019-03-15,0.40
2019-07-01,2019-04-26,2019-06-13,2019-06-14,0.40
2019-10-01,2019-07-18,2019-09-13,2019-09-16,0.40
2019-12-16,2019-10-18,2019-11-29,2019-12-02,0.40
2020-04-01,2020-02-20,2020-03-13,2020-03-16,0.41
2020-07-01,2020-04-22,2020-06-12,2020-06-15,0.41
2020-10-01,2020-07-16,2020-09-14,2020-09-15,0.41
2020-12-15,2020-10-15,2020-11-30,2020-12-01,0.41
2021-04-01,2021-02-18,2021-03-12,2021-03-15,0.42
2021-07-01,2021-04-21,2021-06-14,2021-06-15,0.42
2021-10-01,2021-07-14,2021-09-14,2021-09-15,0.42
2021-12-15,2021-10-21,2021-11-30,2021-12-01,0.42
2022-04-01,2022-02-17,2022-03-14,2022-03-15,0.44
2022-07-01,2022-04-27,2022-06-14,2022-06-15,0.44
2022-10-03,2022-07-21,2022-09-15,2022-09-16,0.44
2022-12-15,2022-10-20,2022-11-30,2022-12-01,0.44
2023-04-03,2023-02-16,2023-03-16,2023-03-17,0.46
2023-07-03,2023-04-26,2023-06-15,2023-06-16,0.46
2023-10-02,2023-07-19,2023-09-14,2023-09-15,0.46
