date,close,volume,open,high,low
2013-03-08,39.22,11187260,39.17,39.415,39.03
2013-03-11,39.31,9201001,39.20,39.38,39.18
2013-03-12,38.96,11373440,39.28,39.31,38.80
2013-03-13,38.59,14357900,38.82,38.87,38.55
2013-03-14,39.02,14521100,38.82,39.12,38.66
2013-03-15,38.83,20757940,38.82,38.94,38.66
2013-03-18,38.76,11460820,38.61,38.94,38.57
2013-03-19,39.33,15133640,38.92,39.40,38.82
2013-03-20,39.87,19248970,39.40,39.92,39.36
2013-03-21,40.07,22999290,39.85,40.43,39.76
2013-03-22,40.04,15923870,39.98,40.275,39.89
2013-03-25,40.12,15718590,40.11,40.25,39.96
2013-03-26,40.69,13666450,40.13,40.70,40.13
2013-03-27,40.22,14562080,40.45,40.54,40.062
2013-03-28,40.44,14214010,40.38,40.60,40.02
2013-04-01,40.45,8201805,40.39,40.4899,40.17
2013-04-02,40.72,13340770,40.43,40.90,40.42
2013-04-03,40.17,13637390,40.78,40.82,40.08
2013-04-04,40.54,11436470,40.27,40.59,40.20
2013-04-05,40.08,10724530,40.21,40.355,40.01
2013-04-08,40.86,22659450,40.06,40.87,39.77
2013-04-09,40.71,21057050,40.81,41.13,40.51
2013-04-10,41.07,9704333,40.78,41.17,40.71
2013-04-11,41.18,10962500,41.13,41.41,41.06
2013-04-12,41.08,10391490,40.91,41.11,40.68
2013-04-15,40.09,16013370,40.85,40.9943,40.05
2013-04-16,42.37,32144990,41.40,42.48,41.25
2013-04-17,42.55,24207930,42.14,42.70,42.03
2013-04-18,42.10,16023100,42.48,42.65,42.09
2013-04-19,42.66,13880950,42.28,42.77,42.20
2013-04-22,42.72,10544600,42.52,42.85,42.40
2013-04-23,42.70,11204320,42.78,42.96,42.255
2013-04-24,42.15,11367480,42.64,42.90,42.10
2013-04-25,42.35,10197010,42.26,42.54,42.08
2013-04-26,42.10,15133770,42.18,42.43,42.09
2013-04-29,42.24,11294720,42.24,42.29,41.92
2013-04-30,42.33,13444900,42.15,42.39,41.88
2013-05-01,42.21,8700567,42.15,42.56,42.1398
2013-05-02,41.96,18696480,41.66,42.16,41.49
2013-05-03,42.24,11740130,42.17,42.42,41.96
2013-05-06,42.08,9356529,42.29,42.29,41.87
2013-05-07,42.70,13785220,42.21,42.71,42.15
2013-05-08,42.46,12620080,42.54,42.68,42.16
2013-05-09,42.12,10113580,42.51,42.56,42.00
2013-05-10,42.15,9910086,42.11,42.24,41.85
2013-05-13,42.19,9290808,42.14,42.44,42.00
2013-05-14,42.52,13027560,42.18,42.67,42.01
2013-05-15,42.92,12306570,42.50,43.10,42.39
