date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,45.37,8476182,45.65,45.73,45.28,,,,,,,,,-5085709.0,,0.0,,,,,
2018-08-29,45.33,12410410,45.25,45.415,45.22,,,,,,,,,-3494631.0,,-12410410.0,,,,,
2018-08-30,44.95,9705580,45.28,45.32,44.885,,,,,,,,,-10299693.0,,-22115990.0,,,,,
2018-08-31,44.57,19834010,45.0,45.07,44.39,,,,,,,,,-19633344.0,,-41950000.0,,,,,
2018-09-04,44.76,11138530,44.6,44.9,44.51,,,,,,,,,-16491708.0,,-30811470.0,,,,,
2018-09-05,45.38,10554840,44.66,45.42,44.66,,,,,,,,,-7047903.5,,-20256630.0,,,,,
2018-09-06,45.77,11395300,45.4,46.0,45.3,,,,,,,,,-3140943.8,,-8861330.0,,,,,
2018-09-07,45.72,10172300,45.6,45.82,45.28,,,,,,,,,3263837.8,,-19033630.0,,,,,
2018-09-10,46.06,8558534,45.91,46.31,45.795,,,,,,,,46.31,3513115.5,,-10475096.0,,,,,
2018-09-11,46.02,9278264,46.1,46.15,45.88,,,,,,,,46.352222,3856754.8,,-19753360.0,,,,,
2018-09-12,46.24,13199850,46.16,46.3,46.02,,,,,,,,46.394444,11399526.0,,-6553510.0,,,,,
2018-09-13,45.83,8228718,46.01,46.12,45.71,,,,,,,,46.43667,7987619.0,,-14782228.0,,,,,
2018-09-14,45.99,7547411,45.92,46.0264,45.61,,,,,,,,46.47889,14215502.0,,-7234817.0,,,,0.56101537,
2018-09-17,46.32,8524864,46.0,46.33,45.91,,,,,,,,46.52111,22334420.0,,1290047.0,,,0.0912248,0.9410989,
2018-09-18,45.93,9846714,46.39,46.53,45.93,,57.106598,,,,,,46.56333,12487706.0,42.246876,-8556667.0,,,0.08090734,1.0809419,43.899223
2018-09-19,45.96,7118911,46.0,46.105,45.865,,57.45546,,,,,,46.605556,11004599.0,43.749268,-1437756.0,,,0.039698545,0.5136645,44.148556
2018-09-20,46.64,9475199,46.22,46.68,46.15,,64.50286,,,,,,46.647778,19049580.0,50.386105,8037443.0,,,0.15048951,1.113141,43.070553
