Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.2353,3000,3040.0,40.72,4.48,2,1,0,40.72,40.72,10,28,5,5,obv,0,I/I,I/D,0.01,-0.13,1,1,1
2023-02-08,2023-03-08,0.8124,3000,3014.0,14.52,1.6,2,1,0,14.52,14.52,10,28,5,40,chop,0,D/D,IGNORE,0.01,-0.07,1,1,1
2023-02-08,2023-03-08,1.3271,3000,0,14.52,1.6,1,1,0,14.52,14.52,10,28,5,35,chop/stochastic/mfi,0,D/D/D/D,IGNORE,0.005,-0.29,1,1,1
2023-02-08,2023-03-08,1.0434,3000,0,13.02,1.43,1,1,0,13.02,13.02,10,28,5,140,stochastic,0,D/D,I/D,0.025,-0.14,1,1,1
2023-02-08,2023-03-08,1.2289,3000,0,36.2,3.98,1,1,0,36.2,36.2,10,28,5,65,macd,0,D/D,IGNORE,0.005,-0.24,1,1,1
2023-02-08,2023-03-08,1.7346,3000,0,39.51,4.35,1,1,0,39.51,39.51,10,28,5,5,elder,1,D/I,I/I,0.08,-0.25,1,1,1
2023-02-08,2023-03-08,1.1207,3000,0,36.2,3.98,1,1,0,36.2,36.2,10,28,5,190,aroon,3,D/D,I/D,0.01,-0.11,1,1,1
2023-02-08,2023-03-08,1.6537,3000,0,12.01,1.32,2,2,0,6.0,6.0,10,28,5,25,adl,0,D/D,D/I,0.005,-0.02,1,1,1
2023-02-08,2023-03-08,0.8241,3000,3040.0,40.72,4.48,2,1,0,40.72,40.72,10,28,5,130,pvo/macd,1,I/D/I,I/I/D,0.005,-0.05,1,1,1
2023-02-08,2023-03-08,0.5985,3000,3029.0,29.55,3.25,2,1,0,29.55,29.55,10,28,5,170,macd,2,D/D,IGNORE,0.005,-0.25,1,1,1
2023-02-08,2023-03-08,1.23,3000,0,69.0,7.59,1,1,0,69.0,69.0,10,28,5,165,stochastic/bop,2,D/D/D,IGNORE,0.02,-0.13,1,1,1
2023-02-08,2023-03-08,1.2146,3000,0,14.52,1.6,1,1,0,14.52,14.52,10,28,5,115,bop/pivots/stochastic,1,I/I/I/I,I/D/D/D,0.005,-0.07,1,1,1
2023-02-08,2023-03-08,1.3365,3000,0,24.71,2.72,1,1,0,24.71,24.71,10,28,5,35,pivots/aroon/elder,0,D/D/D/D,IGNORE,0.01,-0.23,1,1,1
2023-02-08,2023-03-08,1.0317,3000,0,9.52,1.05,1,1,0,9.52,9.52,10,28,5,35,adl/bollinger,1,D/D/I,D/I/I,0.055,-0.24,1,1,1
2023-02-09,2023-03-09,1.3259,3000,0,62.27,6.85,1,1,0,62.27,62.27,10,28,5,40,adx/macd/aroon/obv/mfi,0,D/D/I/D/D/I,IGNORE,0.005,-0.24,1,1,1
2023-02-09,2023-03-09,1.0857,3000,0,25.72,2.83,1,1,0,25.72,25.72,10,28,5,10,pvo/pivots,2,D/I/D,I/I/D,0.035,-0.11,1,1,1
2023-02-09,2023-03-09,1.0551,3000,0,16.54,1.82,1,1,0,16.54,16.54,10,28,5,155,pvo,1,D/I,D/D,0.045,-0.14,1,1,1
2023-02-09,2023-03-09,1.5112,3000,0,57.04,6.27,2,2,0,28.52,28.52,10,28,5,20,obv/pivots/rsi/stochastic/chop,0,D/D/D/D/D/I,D/D/I/D/D/I,0.005,-0.22,1,1,1
2023-02-09,2023-03-09,0.6323,3000,3039.0,39.7,4.37,2,1,0,39.7,39.7,10,28,5,160,pvo/zigzag/macd,1,D/D/D/D,IGNORE,0.01,-0.04,1,1,1
2023-02-11,2023-03-11,0.767,3000,3015.0,15.53,1.71,2,1,0,15.53,15.53,10,28,5,105,mfi/bop,1,I/I/I,D/D/D,0.01,-0.14,1,1,1
2023-02-11,2023-03-11,1.225,3000,0,26.5,2.91,1,1,0,26.5,26.5,10,28,5,10,obv/chop,0,I/D/I,I/D/D,0.055,-0.11,1,1,1
2023-02-11,2023-03-11,1.0283,3000,0,8.5,0.94,1,1,0,8.5,8.5,10,28,5,140,pivots/aroon,1,D/I/D,I/I/D,0.06,-0.11,1,1,1
2023-02-11,2023-03-11,1.2827,3000,0,47.35,5.21,1,1,0,47.35,47.35,10,28,5,195,aroon,0,D/D,IGNORE,0.005,-0.26,1,1,1
2023-02-11,2023-03-11,1.1508,3000,0,45.23,4.97,2,2,0,22.61,22.61,10,28,5,175,adl/adx/rsi/pvo,0,D/D/I/I/I,D/I/I/D/D,0.005,-0.09,1,1,1
2023-02-11,2023-03-11,1.6635,3000,0,4.51,0.5,1,1,0,4.51,4.51,10,28,5,75,zigzag,0,I/I,D/D,0.02,-0.28,1,1,1
2023-02-11,2023-03-11,1.4214,3000,3099.0,99.22,10.91,3,2,0,49.61,49.61,10,28,5,120,stochastic/chandelier,0,I/D/I,D/D/I,0.005,-0.04,1,1,1
2023-02-11,2023-03-11,0.5518,3000,3015.0,15.53,1.71,2,1,0,15.53,15.53,10,28,5,155,bop/bollinger/elder,1,D/D/D/D,IGNORE,0.005,-0.21,1,1,1
2023-02-11,2023-03-11,1.1604,3000,3069.0,69.0,7.59,2,1,0,69.0,69.0,10,28,5,70,chandelier/zigzag/elder,0,D/D/D/D,IGNORE,0.02,-0.22,1,1,1
2023-02-11,2023-03-11,1.5723,3000,0,24.68,2.72,1,1,0,24.68,24.68,10,28,5,5,bop/adx,1,D/D/I,I/I/D,0.075,-0.28,1,1,1
2023-02-11,2023-03-11,1.3658,3000,0,48.12,5.29,1,1,0,48.12,48.12,10,28,5,5,pvo,3,D/I,D/D,0.065,-0.24,1,1,1
2023-02-11,2023-03-11,0.947,3000,3015.0,15.53,1.71,2,1,0,15.53,15.53,10,28,5,80,chop,0,I/I,I/D,0.01,-0.05,1,1,1
2023-02-11,2023-03-11,0.5518,3000,3015.0,15.53,1.71,2,1,0,15.53,15.53,10,28,5,150,aroon/chandelier,1,D/D/D,I/D/I,0.01,-0.27,1,1,1
2023-02-11,2023-03-11,1.1578,3000,0,47.35,5.21,1,1,0,47.35,47.35,10,28,5,145,adx/macd,0,D/D/D,IGNORE,0.01,-0.15,1,1,1
2023-02-11,2023-03-11,1.2683,3000,3023.0,24.0,2.64,2,1,0,24.0,24.0,10,28,5,10,elder,1,I/I,IGNORE,0.005,-0.07,1,1,1
2023-02-11,2023-03-11,0.8174,3000,3045.0,45.23,4.97,3,2,0,22.61,22.61,10,28,5,130,adl,0,I/D,I/I,0.005,-0.28,1,1,1
2023-02-11,2023-03-11,0.6357,3000,3040.0,40.72,4.48,2,1,0,40.72,40.72,10,28,5,195,adx/adl/pivots/bop/chop,0,D/I/D/D/D/I,I/D/I/D/I/D,0.005,-0.18,1,1,1
2023-02-11,2023-03-11,1.1508,3000,0,45.23,4.97,2,2,0,22.61,22.61,10,28,5,20,bop/bollinger,2,D/I/I,I/I/I,0.005,-0.05,1,1,1
2023-02-11,2023-03-11,1.1508,3000,0,45.23,4.97,2,2,0,22.61,22.61,10,28,5,95,adl/rsi/chop,0,I/I/I/I,D/I/I/D,0.005,-0.1,1,1,1
2023-02-11,2023-03-11,1.8843,3000,0,99.22,10.91,2,2,0,49.61,49.61,10,28,5,25,chandelier/bollinger,0,D/D/D,I/D/D,0.01,-0.05,1,1,1
2023-02-11,2023-03-11,1.4695,3000,0,38.49,4.23,1,1,0,38.49,38.49,10,28,5,40,aroon/pivots,2,D/D/D,D/I/D,0.015,-0.21,1,1,1
2023-02-11,2023-03-11,0.7937,3000,3015.0,15.53,1.71,2,1,0,15.53,15.53,10,28,5,90,bop/chandelier,1,I/I/I,D/D/D,0.01,-0.13,1,1,1
2023-02-11,2023-03-11,1.4166,3000,0,45.23,4.97,2,2,0,22.61,22.61,10,28,5,100,rsi/obv,0,I/I/I,D/I/I,0.005,-0.09,1,1,1
