Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-06-12,1995-04-17,1995-05-09,1995-05-15,0.645
1995-09-11,1995-07-17,1995-08-11,1995-08-15,0.645
1995-12-11,1995-10-17,1995-11-13,1995-11-15,0.685
1996-03-11,1995-12-18,1996-02-13,1996-02-15,0.3425
1996-06-10,1996-04-15,1996-05-13,1996-05-15,0.3425
1996-09-10,1996-07-15,1996-08-13,1996-08-15,0.3425
1996-12-10,1996-10-21,1996-11-13,1996-11-15,0.3425
1997-03-10,1996-12-16,1997-02-12,1997-02-14,0.36
1997-06-10,1997-04-21,1997-05-13,1997-05-15,0.36
1997-09-10,1997-07-21,1997-08-13,1997-08-15,0.36
1997-12-10,1997-09-15,1997-11-12,1997-11-14,0.20
1998-03-10,1997-12-15,1998-02-11,1998-02-13,0.20
1998-06-10,1998-04-20,1998-05-13,1998-05-15,0.20
1998-09-10,1998-07-20,1998-08-12,1998-08-14,0.20
1998-12-10,1998-10-20,1998-11-10,1998-11-13,0.20
1999-03-10,1998-12-21,1999-02-10,1999-02-12,0.23
1999-06-10,1999-04-19,1999-05-12,1999-05-14,0.23
1999-09-10,1999-07-19,1999-08-11,1999-08-13,0.23
1999-12-10,1999-10-18,1999-11-10,1999-11-15,0.23
2000-03-10,1999-12-20,2000-02-11,2000-02-15,0.26
2000-06-09,2000-04-17,2000-05-11,2000-05-15,0.26
2000-09-11,2000-06-26,2000-08-11,2000-08-15,0.26
2000-12-11,2000-10-16,2000-11-13,2000-11-15,0.26
2001-03-09,2000-12-18,2001-02-13,2001-02-15,0.28
2001-06-11,2001-04-16,2001-05-11,2001-05-15,0.28
2001-09-10,2001-06-25,2001-08-13,2001-08-15,0.28
2001-12-10,2001-10-15,2001-11-13,2001-11-15,0.28
2002-03-08,2001-12-17,2002-02-13,2002-02-15,0.31
2002-06-10,2002-04-15,2002-05-13,2002-05-15,0.31
2002-09-10,2002-06-24,2002-08-13,2002-08-15,0.31
2002-12-10,2002-10-21,2002-11-13,2002-11-15,0.31
2003-03-10,2002-12-16,2003-02-12,2003-02-14,0.335
2003-06-10,2003-04-28,2003-05-13,2003-05-15,0.335
2003-09-10,2003-06-23,2003-08-13,2003-08-15,0.335
2003-12-10,2003-10-20,2003-11-12,2003-11-14,0.335
2004-03-10,2003-12-15,2004-02-11,2004-02-13,0.355
2004-06-10,2004-04-19,2004-05-12,2004-05-14,0.355
2004-09-10,2004-06-28,2004-08-11,2004-08-13,0.355
2004-12-10,2004-10-18,2004-11-10,2004-11-15,0.355
2005-03-10,2004-12-20,2005-02-11,2005-02-15,0.38
2005-06-10,2005-04-18,2005-05-11,2005-05-13,0.38
2005-09-09,2005-06-24,2005-08-11,2005-08-15,0.38
2005-12-09,2005-10-17,2005-11-10,2005-11-15,0.38
2006-03-10,2005-12-19,2006-02-13,2006-02-15,0.40
2006-06-09,2006-04-24,2006-05-11,2006-05-15,0.40
2006-09-08,2006-06-26,2006-08-11,2006-08-15,0.40
2006-12-08,2006-10-16,2006-11-13,2006-11-15,0.40
2007-03-09,2006-12-18,2007-02-13,2007-02-15,0.425
2007-06-08,2007-04-16,2007-05-11,2007-05-15,0.425
2007-09-10,2007-06-21,2007-08-13,2007-08-15,0.425
2007-12-10,2007-10-15,2007-11-13,2007-11-15,0.425
2008-03-10,2007-12-17,2008-02-13,2008-02-15,0.47
2008-09-10,2008-06-20,2008-08-13,2008-08-15,0.47
2008-12-10,2008-10-20,2008-11-12,2008-11-14,0.47
2009-03-10,2008-12-15,2009-02-11,2009-02-13,0.49
2009-06-10,2009-04-20,2009-05-13,2009-05-15,0.49
2009-09-10,2009-06-22,2009-08-12,2009-08-15,0.49
2009-12-10,2009-10-19,2009-11-10,2009-11-13,0.49
2010-03-10,2009-12-14,2010-02-10,2010-02-12,0.49
2010-06-10,2010-04-19,2010-05-12,2010-05-14,0.49
2010-09-10,2010-06-21,2010-08-11,2010-08-13,0.49
2010-12-10,2010-10-18,2010-11-10,2010-11-15,0.49
2011-03-10,2010-12-13,2011-02-11,2011-02-15,0.49
2011-06-10,2011-04-18,2011-05-11,2011-05-13,0.49
2011-09-09,2011-06-20,2011-08-11,2011-08-15,0.49
2011-12-09,2011-10-17,2011-11-10,2011-11-15,0.49
