date,close,volume,open,high,low
2013-03-08,55.16,4826876,55.50,55.5901,54.97
2013-03-11,55.07,4766122,55.06,55.24,54.79
2013-03-12,55.08,3872663,55.06,55.43,54.95
2013-03-13,55.06,3624596,55.15,55.27,55.00
2013-03-14,55.07,5361792,55.46,55.65,54.81
2013-03-15,55.13,10663480,54.68,55.13,54.39
2013-03-18,54.66,3926482,54.63,54.95,54.54
2013-03-19,54.79,3338211,54.83,54.96,54.50
2013-03-20,55.30,3805460,55.05,55.45,55.02
2013-03-21,55.08,2702413,55.04,55.29,54.88
2013-03-22,55.57,2803184,55.25,55.675,55.13
2013-03-25,55.62,4535103,55.70,55.79,55.2642
2013-03-26,56.29,5107993,55.90,56.68,55.78
2013-03-27,56.37,3417543,56.03,56.46,55.95
2013-03-28,56.79,4223262,56.51,56.94,56.32
2013-04-01,56.61,3668590,56.67,56.80,56.22
2013-04-02,56.50,4040375,56.63,57.14,56.29
2013-04-03,56.85,5563601,56.67,57.23,56.58
2013-04-04,56.93,3017229,56.85,57.28,56.56
2013-04-05,56.48,3001799,56.45,56.61,56.22
2013-04-08,56.82,3691809,56.45,56.82,55.875
2013-04-09,56.74,4145132,56.96,57.23,56.58
2013-04-10,57.59,3238954,57.22,57.68,57.2088
2013-04-11,58.00,4047803,57.65,58.26,57.58
2013-04-12,57.51,4710461,57.77,58.34,57.36
2013-04-15,56.49,5596657,57.02,57.75,56.48
2013-04-16,57.18,4131179,56.80,57.33,56.54
2013-04-17,57.47,4147392,56.98,57.63,56.735
2013-04-18,56.29,4098568,57.48,57.51,56.17
2013-04-19,57.42,4898965,56.56,57.44,56.37
2013-04-22,57.58,2733074,57.46,57.63,56.99
2013-04-23,58.33,4015888,57.94,58.405,57.52
2013-04-24,56.05,6678466,57.91,58.33,56.02
2013-04-25,56.43,7431363,56.38,56.50,55.02
2013-04-26,56.46,3457577,56.45,56.75,56.28
2013-04-29,56.01,4808077,56.59,56.63,55.79
2013-04-30,55.38,4632926,55.90,55.90,55.16
2013-05-01,54.24,5789838,55.10,55.13,54.15
2013-05-02,54.70,4019055,54.32,54.83,54.15
2013-05-03,54.99,3407609,55.19,55.19,54.58
2013-05-06,54.47,4575894,55.02,55.16,54.30
2013-05-07,54.17,6320165,54.52,54.59,53.85
2013-05-08,54.52,5428971,54.23,54.78,54.16
2013-05-09,54.56,12769880,54.58,54.935,54.35
2013-05-10,54.82,15279340,53.97,54.82,53.88
2013-05-13,56.28,18985520,54.72,56.31,54.55
2013-05-14,55.87,4774751,55.81,56.18,55.705
2013-05-15,56.72,5387463,55.92,57.10,55.92
2013-05-16,55.94,3819805,56.56,56.56,55.82
2013-05-17,55.90,3715863,55.97,56.23,55.3536
2013-05-20,55.02,4195701,55.90,55.94,54.88
2013-05-21,55.14,4221728,55.07,55.43,54.66
2013-05-22,54.92,4522640,55.26,56.06,54.6601
2013-05-23,54.74,3918665,54.67,55.30,54.51
2013-05-24,54.14,4937068,54.50,54.50,53.89
2013-05-28,54.54,4344516,54.71,55.19,54.32
2013-05-29,53.75,4201657,54.24,54.36,53.44
2013-05-30,54.08,4391510,53.93,54.62,53.79
2013-05-31,53.16,4831129,53.92,54.06,53.1525
2013-06-03,53.14,4173955,53.08,53.245,52.52
2013-06-04,52.50,4093911,53.14,53.42,52.22
2013-06-05,51.81,4540627,52.32,52.87,51.76
2013-06-06,52.09,4976712,51.89,52.43,51.34
2013-06-07,52.49,4368169,52.58,53.06,52.28
2013-06-10,52.64,4212568,52.70,52.83,52.15
2013-06-11,51.94,5268396,52.23,52.32,51.78
2013-06-12,51.78,3506966,52.31,52.61,51.76
2013-06-13,51.85,7099742,51.68,51.89,50.83
2013-06-14,52.05,6116250,51.47,52.28,51.39
2013-06-17,52.36,5135100,52.42,53.05,52.20
2013-06-18,52.35,5164637,52.47,52.72,51.69
2013-06-19,51.37,4578987,52.28,52.38,51.32
2013-06-20,49.41,7954503,50.96,50.96,49.21
2013-06-21,49.91,7203197,50.02,50.43,49.53
2013-06-24,49.06,5863694,49.31,49.60,48.68
2013-06-25,49.22,4041632,49.54,49.54,48.91
2013-06-26,49.79,6077996,49.66,49.90,49.22
2013-06-27,49.72,3657981,50.11,50.33,49.72
2013-06-28,49.12,8255873,49.62,49.8599,49.05
2013-07-01,50.16,6987350,49.35,50.31,49.27
2013-07-02,50.50,5846483,50.08,50.93,50.07
2013-07-03,50.14,2671137,50.48,50.48,49.50
2013-07-05,50.58,2700356,50.59,50.82,49.97
2013-07-08,51.13,4375966,50.80,51.19,50.66
2013-07-09,51.79,4518129,51.41,51.81,51.16
2013-07-10,51.42,3888108,51.78,51.91,51.25
2013-07-11,51.54,3923483,52.06,52.06,51.43
2013-07-12,51.45,4067372,51.63,51.63,51.10
2013-07-15,51.54,2922506,51.41,51.715,51.17
2013-07-16,51.00,4031894,51.55,51.79,50.80
2013-07-17,50.67,4038340,51.20,51.24,50.6132
2013-07-18,49.92,6039927,50.63,50.67,49.83
2013-07-19,50.60,7808908,49.93,50.61,49.46
2013-07-22,50.63,3362902,50.55,50.83,50.325
2013-07-23,50.99,3926336,50.77,51.06,50.56
2013-07-24,52.55,8955766,52.00,52.68,51.75
2013-07-25,52.59,4085333,52.41,52.64,51.88
2013-07-26,53.36,4349106,52.41,53.40,52.25
2013-07-29,53.56,4230734,53.23,53.83,53.15
2013-07-30,53.32,3594244,53.80,53.98,53.21
2013-07-31,53.11,4334490,53.36,53.65,52.934
2013-08-01,53.50,3297254,53.43,53.675,53.11
2013-08-02,53.88,3623315,53.47,53.92,53.22
2013-08-05,53.87,3793990,53.87,54.45,53.59
2013-08-06,53.32,4177252,53.90,54.19,53.23
2013-08-07,53.62,3377608,53.32,53.75,53.05
2013-08-08,53.57,17504420,53.88,53.919,53.22
2013-08-09,54.18,14719880,53.57,54.21,53.35
2013-08-12,54.05,17194030,53.86,54.09,53.575
2013-08-13,54.96,14253310,56.00,56.50,54.73
2013-08-14,54.20,5054269,54.96,55.10,54.01
2013-08-15,53.39,4508953,53.76,53.93,53.2684
2013-08-16,52.86,5112276,53.17,53.32,52.79
2013-08-19,52.79,3372719,52.71,53.15,52.68
2013-08-20,52.80,2890881,52.79,53.08,52.725
2013-08-21,52.42,3969637,52.73,52.93,52.32
2013-08-22,52.46,2388562,52.40,52.765,52.31
2013-08-23,52.62,3252449,52.46,52.62,51.93
2013-08-26,52.05,4048512,52.70,52.77,52.04
2013-08-27,51.27,4529974,51.69,51.74,51.24
2013-08-28,51.47,3211817,51.19,51.75,51.00
2013-08-29,51.45,2305040,51.26,51.74,51.10
2013-08-30,51.40,3237341,51.46,51.62,51.17
2013-09-03,51.31,2641616,51.77,51.90,51.04
2013-09-04,52.18,4190964,51.36,52.40,51.28
2013-09-05,52.21,2352165,52.29,52.35,51.92
2013-09-06,52.41,2886541,52.22,52.73,51.69
2013-09-09,52.54,2324450,52.41,52.575,52.0899
2013-09-10,52.87,3414600,52.89,53.13,52.53
2013-09-11,52.80,3943757,52.87,53.15,52.685
2013-09-12,52.91,3094154,52.90,53.22,52.755
2013-09-13,53.27,2784549,53.01,53.29,52.93
2013-09-16,53.64,2670166,53.77,53.84,53.43
2013-09-17,53.83,3782194,53.64,54.18,53.61
2013-09-18,54.16,3332469,53.87,54.25,53.22
2013-09-19,53.86,3344618,53.90,54.12,53.63
