date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,105.18,2516832,105.03,105.59,104.59,,,,,,,,,453029.75,,0.0,,,,,
2018-08-29,105.33,2949508,104.4,105.59,104.28,,,,,,,,,2231740.8,,2949508.0,,,,,
2018-08-30,105.48,2928551,105.18,105.735,104.94,,,,,,,,,3281598.5,,5878059.0,,,,,
2018-08-31,105.65,3278193,105.14,105.86,104.47,,,,,,,,,5569258.5,,9156252.0,,,,,
2018-09-04,104.62,3106984,105.31,105.7,104.38,,,,,,,,,3592086.8,,6049268.0,,,,,
2018-09-05,105.72,3366435,104.85,106.11,104.7,,,,,,,,,5096238.5,,9415703.0,,,,,
2018-09-06,105.37,3175814,105.67,105.75,103.655,,,,,,,,,7119967.5,,6239889.0,,,,,
2018-09-07,107.03,3767248,105.15,107.24,104.8,,,,,,,,,10238755.0,,10007137.0,,,,,
2018-09-10,106.42,2950799,107.5,107.84,106.391,,,,,,,,107.84,7406069.0,,7056338.0,,,,,
2018-09-11,105.64,3516025,106.41,106.62,105.515,,,,,,,,107.73167,4685525.0,,3540313.0,,,,,
2018-09-12,105.97,3913725,105.81,106.49,105.51,,,,,,,,107.62334,4445909.0,,7454038.0,,,,,
2018-09-13,106.58,5151482,106.16,106.71,105.82,,,,,,,,107.515,8092463.5,,12605520.0,,,,,
2018-09-14,105.77,3071883,106.57,106.69,105.4,,,,,,,,107.40667,6782746.0,,9533637.0,,,,0.5884615,
2018-09-17,105.71,4971564,105.61,106.765,105.05,,,,,,,,107.29833,5637692.0,,4562073.0,,,0.06835225,0.3251099,
2018-09-18,106.88,3668773,105.87,107.19,105.11,,59.465477,,,,,,107.19,8212888.5,51.84545,8230846.0,,,0.09232204,0.4858085,59.92765
