Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,0.6392,3000,3041.0,41.75,4.59,2,1,0,41.75,41.75,10,28,5,15,pvo,1,D/I,D/D,0.07,-0.24,1,1,1
2023-02-08,2023-03-08,1.0832,3000,3037.0,37.13,4.08,2,1,0,37.13,37.13,10,28,5,10,chop,1,D/I,I/I,0.01,-0.22,1,1,1
2023-02-08,2023-03-08,1.4307,3000,0,84.93,9.34,1,1,0,84.93,84.93,10,28,5,200,aroon,0,I/D,D/I,0.02,-0.05,1,1,1
2023-02-08,2023-03-08,0.6765,3000,3020.0,20.66,2.27,2,1,0,20.66,20.66,10,28,5,20,bollinger,0,D/D,I/D,0.005,-0.19,1,1,1
2023-02-08,2023-03-08,0.9485,3000,3106.0,106.17,11.68,2,1,0,106.17,106.17,10,28,5,185,adl/rsi/macd,0,I/I/D/D,I/D/I/D,0.03,-0.16,1,1,1
2023-02-08,2023-03-08,1.2545,3000,0,35.26,3.88,1,1,0,35.26,35.26,10,28,5,10,chandelier/pvo/chop,0,I/I/D/I,I/D/D/D,0.01,-0.05,1,1,1
2023-02-08,2023-03-08,1.2055,3000,0,61.64,6.78,1,1,0,61.64,61.64,10,28,5,140,chop/aroon/bollinger/rsi/pvo,1,I/D/I/D/D/I,IGNORE,0.015,-0.05,1,1,1
2023-02-08,2023-03-08,0.6637,3000,3049.0,49.11,5.4,2,1,0,49.11,49.11,10,28,5,130,aroon,4,I/I,IGNORE,0.005,-0.29,1,1,1
2023-02-08,2023-03-08,1.0961,3000,3048.0,48.8,5.37,3,2,0,24.4,24.4,10,28,5,180,pvo/chop/adl/pivots,0,I/I/I/I/I,I/D/D/D/D,0.005,-0.28,1,1,1
2023-02-08,2023-03-08,0.6238,3000,3037.0,37.13,4.08,2,1,0,37.13,37.13,10,28,5,140,bop/macd/zigzag/mfi,0,I/I/D/I/D,I/D/I/D/I,0.015,-0.06,1,1,1
2023-02-08,2023-03-08,1.0543,3000,3077.0,77.47,8.52,3,2,0,38.74,38.74,10,28,5,30,pivots/aroon/adl,0,D/D/I/I,IGNORE,0.01,-0.17,1,1,1
2023-02-08,2023-03-08,1.6819,3000,0,51.62,5.68,2,2,0,25.81,25.81,10,28,5,5,mfi/chandelier/pvo,0,D/D/I/I,I/I/I/D,0.06,-0.29,1,1,1
2023-02-08,2023-03-08,0.9755,3000,3070.0,70.11,7.71,2,1,0,70.11,70.11,10,28,5,160,stochastic/macd,2,I/D/D,D/I/D,0.015,-0.13,1,1,1
2023-02-08,2023-03-08,1.307,3000,3070.0,70.11,7.71,2,1,0,70.11,70.11,10,28,5,115,adx,0,I/I,I/D,0.015,-0.25,1,1,1
2023-02-08,2023-03-08,1.244,3000,0,41.75,4.59,1,1,0,41.75,41.75,10,28,5,140,adx,0,I/D,D/I,0.01,-0.17,1,1,1
2023-02-08,2023-03-08,1.3723,3000,3084.0,84.93,9.34,2,1,0,84.93,84.93,10,28,5,130,bop/rsi,1,I/D/D,D/D/D,0.02,-0.28,1,1,1
2023-02-08,2023-03-08,1.3888,3000,0,70.11,7.71,1,1,0,70.11,70.11,10,28,5,65,bop/chop/mfi,1,D/D/D/D,IGNORE,0.015,-0.27,1,1,1
2023-02-08,2023-03-08,1.5997,3000,3077.0,77.47,8.52,3,2,0,38.74,38.74,10,28,5,55,pivots,0,D/D,IGNORE,0.01,-0.16,1,1,1
2023-02-08,2023-03-08,1.668,3000,0,123.12,13.54,2,2,0,61.56,61.56,10,28,5,10,zigzag/mfi,0,D/I/I,I/D/D,0.015,-0.03,1,1,1
2023-02-08,2023-03-08,1.3694,3000,3101.0,101.47,11.16,3,2,0,50.73,50.73,10,28,5,15,elder,1,D/I,IGNORE,0.015,-0.18,1,1,1
2023-02-08,2023-03-08,1.5372,3000,3077.0,77.47,8.52,3,2,0,38.74,38.74,10,28,5,170,aroon,1,I/D,D/I,0.01,-0.12,1,1,1
2023-02-09,2023-03-09,0.6652,3000,3049.0,49.57,5.45,2,1,0,49.57,49.57,10,28,5,65,macd/adx,4,D/D/I,I/D/I,0.02,-0.3,1,1,1
2023-02-09,2023-03-09,0.7425,3000,3022.0,22.75,2.5,3,2,0,11.38,11.38,10,28,5,165,chop/obv,0,I/D/D,D/D/I,0.005,-0.04,1,1,1
2023-02-09,2023-03-09,1.1774,3000,3084.0,84.93,9.34,2,1,0,84.93,84.93,10,28,5,115,adl/macd,1,I/I/D,IGNORE,0.02,-0.11,1,1,1
2023-02-10,2023-03-10,0.497,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,70,stochastic,0,D/D,I/I,0.02,-0.24,1,1,1
2023-02-10,2023-03-10,0.0329,3000,3000.0,9.88,1.09,1,0,1,9.88,9.88,10,28,5,45,zigzag/stochastic/pivots/bollinger,0,D/D/I/D/D,I/D/I/I/I,0.06,-0.21,1,1,1
2023-02-11,2023-03-11,0.348,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,110,adx/bop,1,I/I/D,I/D/D,0.06,-0.16,1,1,1
2023-02-11,2023-03-11,0.0326,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,200,elder,1,I/D,IGNORE,0.08,-0.15,1,1,1
2023-02-11,2023-03-11,0.4857,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,160,chandelier,0,I/I,IGNORE,0.1,-0.12,1,1,1
2023-02-11,2023-03-11,1.2679,3000,0,45.04,4.95,1,1,1,22.52,22.52,10,28,5,50,adl/macd/rsi,0,D/I/D/D,IGNORE,0.01,-0.29,1,1,1
2023-02-11,2023-03-11,0.2259,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,20,chandelier,0,D/I,I/D,0.035,-0.14,1,1,1
2023-02-11,2023-03-11,0.0326,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,80,obv/adx/stochastic/pvo/mfi,1,D/D/I/D/I/D,I/D/I/D/D/I,0.065,-0.29,1,1,1
2023-02-11,2023-03-11,0.8188,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,100,zigzag,0,I/I,IGNORE,0.02,-0.19,1,1,1
2023-02-11,2023-03-11,0.0326,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,105,obv/chandelier,0,I/D/I,D/I/I,0.045,-0.28,1,1,1
2023-02-11,2023-03-11,0.4749,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,10,adx,0,I/I,IGNORE,0.09,-0.26,1,1,1
2023-02-11,2023-03-11,0.2045,3000,3000.0,9.78,1.08,1,0,1,9.78,9.78,10,28,5,100,elder,2,I/D,IGNORE,0.015,-0.14,1,1,1
