Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2006-11-10,2006-09-14,2006-10-05,2006-10-10,0.09
2007-02-09,2006-12-14,2007-01-10,2007-01-12,0.09
2007-05-10,2007-02-06,2007-04-04,2007-04-09,0.15
2007-08-10,2007-06-07,2007-06-29,2007-07-03,0.15
2007-11-09,2007-09-06,2007-10-17,2007-10-19,0.15
2008-02-11,2007-12-06,2008-01-09,2008-01-11,0.15
2008-05-09,2008-02-05,2008-04-07,2008-04-09,0.15
2008-08-11,2008-06-03,2008-07-09,2008-07-11,0.15
2008-11-10,2008-09-09,2008-10-08,2008-10-10,0.15
2009-02-10,2008-12-02,2009-01-07,2009-01-09,0.15
2009-05-08,2009-02-03,2009-04-08,2009-04-13,0.15
2009-08-10,2009-06-09,2009-07-08,2009-07-10,0.15
2009-11-10,2009-09-21,2009-10-07,2009-10-09,0.15
2010-02-10,2009-12-08,2010-01-06,2010-01-08,0.15
2010-05-10,2010-02-02,2010-04-07,2010-04-09,0.15
2010-08-10,2010-06-07,2010-07-01,2010-07-06,0.15
2010-11-10,2010-09-21,2010-10-07,2010-10-12,0.15
2011-02-09,2010-12-07,2011-01-06,2011-01-10,0.15
2011-05-09,2011-02-08,2011-04-06,2011-04-08,0.15
2011-08-09,2011-06-06,2011-07-06,2011-07-08,0.15
2011-11-09,2011-09-21,2011-10-05,2011-10-10,0.15
2012-02-09,2011-12-06,2012-01-05,2012-01-09,0.15
2012-05-09,2012-02-07,2012-04-04,2012-04-09,0.3
2012-08-09,2012-06-05,2012-07-05,2012-07-09,0.3
2012-11-09,2012-09-11,2012-10-05,2012-10-10,0.3
2013-02-08,2012-12-04,2013-01-07,2013-01-09,0.3
2013-05-09,2013-02-05,2013-04-05,2013-04-09,0.6
2013-08-09,2013-06-18,2013-07-05,2013-07-09,0.6
2013-11-08,2013-09-17,2013-10-07,2013-10-09,0.6
2014-02-10,2013-12-10,2014-01-07,2014-01-09,1.1
2014-05-09,2014-02-04,2014-04-07,2014-04-09,0.11
2014-08-08,2014-06-03,2014-07-07,2014-07-09,0.11
2014-11-11,2014-09-16,2014-10-07,2014-10-09,0.11
2015-02-05,2014-12-02,2015-01-07,2015-01-09,0.16
2015-05-05,2015-02-03,2015-04-07,2015-04-09,0.16
2015-08-10,2015-06-10,2015-07-07,2015-07-09,0.16
2015-11-09,2015-09-22,2015-10-07,2015-10-09,0.16
2016-02-09,2015-12-08,2016-01-06,2016-01-08,0.19
2016-05-09,2016-02-02,2016-04-06,2016-04-08,0.19
2016-08-09,2016-06-28,2016-07-06,2016-07-08,0.19
2016-11-09,2016-09-27,2016-10-05,2016-10-10,0.19
2017-02-09,2016-12-06,2017-01-05,2017-01-09,0.22
2017-05-09,2017-02-07,2017-04-05,2017-04-07,0.22
2017-08-09,2017-06-27,2017-07-05,2017-07-07,0.22
2017-11-09,2017-09-19,2017-10-05,2017-10-06,0.22
2018-02-09,2017-12-04,2018-01-08,2018-01-09,0.25
2018-05-09,2018-02-05,2018-04-06,2018-04-09,0.25
2018-08-09,2018-06-26,2018-07-06,2018-07-09,0.25
2018-11-09,2018-09-18,2018-10-05,2018-10-09,0.25
2019-02-08,2018-12-05,2019-01-08,2019-01-09,0.33
2019-05-09,2019-02-06,2019-04-08,2019-04-09,0.33
2019-08-09,2019-06-26,2019-07-08,2019-07-09,0.33
2019-11-08,2019-09-17,2019-10-08,2019-10-09,0.33
2020-02-07,2019-12-04,2020-01-08,2020-01-09,0.4
2020-05-08,2020-02-04,2020-04-08,2020-04-09,0.4
2020-08-08,2020-06-16,2020-07-08,2020-07-09,0.4
2020-11-09,2020-09-22,2020-10-08,2020-10-09,0.4
2021-02-09,2020-12-08,2020-12-16,2021-01-08,0.44
2021-05-07,2021-02-08,2021-02-15,2021-04-09,0.44
2021-08-09,2021-06-21,2021-06-29,2021-07-09,0.44
2021-11-09,2021-09-20,2021-09-28,2021-10-08,0.44
2022-02-09,2021-11-30,2021-12-08,2022-01-07,0.49
2022-02-09,2021-11-30,2022-01-06,2022-01-07,0.49
2022-05-09,N/A,2022-04-07,N/A,0.49
2022-05-09,2021-02-08,2021-02-16,2022-04-08,0.49
2022-08-08,N/A,2022-07-07,N/A,0.49
2022-11-09,N/A,2022-10-06,N/A,0.49
2023-02-09,2022-12-06,2023-01-06,2023-01-09,0.57
2023-08-09,2023-06-26,2023-07-06,2023-07-07,0.57
