date,close,volume,open,high,low
2013-03-08,52.923,5069930,53.005,53.032,52.446
2013-03-11,53.089,4090860,52.958,53.247,52.841
2013-03-12,52.316,4808490,52.987,53.099,52.223
2013-03-13,52.748,4684570,52.233,52.837,52.112
2013-03-14,52.718,5563710,52.855,53.125,52.671
2013-03-15,51.937,11606700,52.599,52.883,51.822
2013-03-18,51.501,5616650,51.531,51.966,51.473
2013-03-19,51.16,6301550,51.622,51.784,50.8158
2013-03-20,51.862,4546810,51.60,51.87,51.435
2013-03-21,51.401,5500830,51.644,51.7724,51.322
2013-03-22,51.75,5057530,51.582,51.8775,51.553
2013-03-25,51.999,5419880,52.025,52.396,51.8771
2013-03-26,53.547,9104410,52.30,53.719,52.222
2013-03-27,53.803,6483860,53.221,54.0734,53.038
2013-03-28,54.113,6688330,53.84,54.196,53.69
2013-04-01,53.723,5501470,54.244,54.69,53.60
2013-04-02,54.059,3687510,54.07,54.399,53.902
2013-04-03,53.325,5329590,54.085,54.296,53.039
2013-04-04,53.422,4432080,53.275,53.564,53.014
2013-04-05,53.16,5778300,52.668,53.265,52.627
2013-04-08,53.437,3630710,53.069,53.566,52.978
2013-04-09,52.764,9010480,53.40,53.4355,52.315
2013-04-10,53.443,4838830,52.967,53.798,52.843
2013-04-11,54.124,5678360,53.442,54.232,53.257
2013-04-12,53.299,6787790,53.465,53.642,52.961
2013-04-15,52.171,5273320,53.023,53.385,52.171
2013-04-16,53.158,5495190,52.311,53.158,52.206
2013-04-17,52.576,6309250,52.725,53.086,52.468
2013-04-18,52.10,6402200,52.575,52.648,52.10
2013-04-19,52.196,5096020,52.283,52.371,51.856
2013-04-22,52.211,4397840,52.205,52.369,51.879
2013-04-23,53.10,3560880,52.594,53.119,52.359
2013-04-24,53.202,2657930,53.197,53.475,53.123
2013-04-25,53.514,3769050,53.413,53.90,52.515
2013-04-26,53.533,4540090,53.422,53.816,53.347
2013-04-29,53.901,3794480,53.748,53.999,53.535
2013-04-30,55.293,7980400,53.979,55.293,53.957
2013-05-01,53.982,10107020,53.877,54.485,53.602
2013-05-02,54.553,9460950,53.60,54.733,53.569
2013-05-03,55.355,7937660,55.174,55.766,55.063
2013-05-06,54.773,6062520,55.36,55.677,54.7031
2013-05-07,55.126,4332380,54.808,55.193,54.544
2013-05-08,55.372,4387660,55.117,55.4955,54.828
2013-05-09,55.188,4386870,55.295,55.617,54.989
2013-05-10,55.513,4651780,55.379,55.754,53.3795
2013-05-13,55.584,3437590,55.30,55.841,55.30
2013-05-14,56.968,6569560,55.786,57.125,55.6422
2013-05-15,57.436,6554610,57.034,57.495,56.916
2013-05-16,57.014,4406320,57.287,57.366,57.014
2013-05-17,58.478,6244660,57.436,58.50,57.225
2013-05-20,58.334,4465970,58.314,58.854,58.202
2013-05-21,58.485,3909910,58.453,58.90,58.24
2013-05-22,57.671,5598490,58.70,58.829,57.614
2013-05-23,56.973,6475650,56.977,57.699,56.838
2013-05-24,57.146,3909260,56.675,57.287,56.332
2013-05-28,57.574,4710460,58.00,58.527,57.5715
2013-05-29,57.301,3506280,57.232,57.6209,57.045
2013-05-30,57.616,3783120,57.355,58.264,57.201
2013-05-31,57.025,6106850,57.52,58.06,56.961
2013-06-03,57.591,5821170,57.134,57.591,56.8664
2013-06-04,56.822,6459360,57.548,57.69,56.399
2013-06-05,55.957,5420120,56.50,56.821,55.928
2013-06-06,56.495,4399200,55.775,56.516,55.71
2013-06-07,56.625,7165200,56.775,56.937,56.367
2013-06-10,56.578,4115830,56.76,56.909,56.266
2013-06-11,56.044,4333570,56.217,56.524,56.00
2013-06-12,55.798,5815600,56.477,56.511,55.798
2013-06-13,57.372,8603940,55.756,57.554,55.706
2013-06-14,57.116,6230190,57.401,57.478,56.92
2013-06-17,57.819,7247170,57.407,58.098,57.407
2013-06-18,58.441,5494920,58.155,58.488,58.023
2013-06-19,58.637,7661120,58.554,59.189,58.528
2013-06-20,57.272,9193740,57.96,58.5699,57.219
2013-06-21,57.329,12167630,57.919,57.99,56.888
2013-06-24,56.26,9426320,56.337,56.958,55.748
2013-06-25,56.458,8248770,56.7265,56.763,56.162
2013-06-26,57.00,5345710,56.80,57.275,56.379
2013-06-27,57.068,5941920,57.153,57.743,57.00
2013-06-28,57.45,10395620,56.917,57.45,56.647
2013-07-01,58.321,8533150,57.861,59.00,57.755
2013-07-02,58.306,5604160,58.19,58.895,57.971
2013-07-03,58.618,2436120,57.978,58.765,57.978
2013-07-05,59.503,5466660,59.00,59.503,58.60
2013-07-08,58.929,7050660,59.718,60.274,58.917
