date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,212.63,2179134,211.7,213.03,210.94,,,,,,,,,1345015.8,,0.0,,,,,
2018-08-29,214.57,3126341,212.5,215.8603,212.45,,,,,,,,,2105630.8,,3126341.0,,,,,
2018-08-30,213.8,3058420,214.25,215.28,212.83,,,,,,,,,1468980.0,,67921.0,,,,,
2018-08-31,215.56,3018299,213.58,215.8,213.5,,,,,,,,,3857373.0,,3086220.0,,,,,
2018-09-04,216.82,3776452,215.68,217.35,214.68,,,,,,,,217.35,6134559.5,,6862672.0,,,,,
2018-09-05,211.16,3774498,215.76,215.77,210.31,,,,,,,,217.81308,3535271.5,,3088174.0,,,,,
2018-09-06,212.77,3032843,211.44,213.2691,210.47,,,,,,,,218.27615,5486558.5,,6121017.0,,,,,
2018-09-07,211.09,3232902,211.02,213.24,209.7,,,,,,,,218.73923,4792489.0,,2888115.0,,,,,
2018-09-10,211.67,3156596,212.66,213.48,211.38,,,,,,,,219.2023,2507714.8,,6044711.0,,,,,
2018-09-11,213.45,2728521,210.52,213.56,210.1,,,,,,,,219.66539,5062746.0,,8773232.0,,,,,
2018-09-12,214.03,2291309,213.05,214.46,211.86,,,,,,,,220.12846,6596160.5,,11064541.0,,,,,
2018-09-13,217.22,3865603,214.77,218.69,214.37,,,,,,,,220.59154,7831006.0,,14930144.0,,,,,
2018-09-14,217.96,2601198,218.0,218.82,216.42,,,,,,,,221.05461,8568012.0,,17531342.0,,,,7.127692,
2018-09-17,216.47,2500434,219.97,219.98,216.11,,,,,,,,221.51768,6532775.0,,15030908.0,,,0.15763889,7.288022,
2018-09-18,220.05,2850943,217.46,220.9601,217.3,,63.93689,,,,,,221.98077,7965919.0,63.958702,17881852.0,,,0.17639996,7.844119,54.584103
2018-09-19,218.19,2882211,220.63,221.41,217.16,,59.46251,,,,,,222.44385,6480732.5,56.941105,14999640.0,,,0.09203551,7.3020163,53.76289
2018-09-20,221.39,3108485,219.98,221.92,218.9,,64.11529,,,,,,222.90692,8498160.0,64.18453,18108124.0,,,0.13850415,7.9074426,53.136818
2018-09-21,221.9,7176785,222.14,223.37,220.89,,64.808556,,,,91.240486,,223.37,7166982.0,67.512566,25284910.0,,,0.070101015,9.792093,49.025036
2018-09-24,221.35,2519938,220.41,222.14,218.21,,63.38635,,,,95.104385,,223.7,8673815.0,61.046543,22764972.0,,,0.05668812,4.70608,49.970905
2018-09-25,222.12,2135997,221.92,223.04,221.22,,64.558945,,,0.9082074,89.1323,,224.03,8650343.0,68.0849,24900968.0,,,0.12471533,7.3880687,46.32372
2018-09-26,222.26,2962297,222.62,224.36,221.704,,64.77981,,,0.8712911,84.596016,,224.36,6928284.5,74.84509,27863266.0,,,0.081094265,8.099487,43.55733
2018-09-27,222.31,2644632,222.69,223.6135,222.06,,64.86402,,,0.83478415,86.76973,,224.69,5134837.5,75.58863,30507898.0,,,0.06220977,6.7582035,42.943043
2018-09-28,222.61,2954984,222.13,223.69,221.05,,65.39862,,,0.8175916,85.04134,214.7315,225.02,5672107.5,68.62967,33462882.0,,,0.10887025,4.9240317,43.15633
2018-10-01,223.77,2955434,224.84,225.35,223.09,,67.46026,,,0.8475163,87.67914,215.78552,225.35,4495164.5,68.90092,36418316.0,,223.77,0.014565099,7.5205984,44.642174
2018-10-02,222.37,3060715,223.5,223.73,221.01,,62.61153,,,0.7419642,77.86588,215.8439,223.78363,4495164.5,62.540184,33357600.0,,220.1125,-0.042032346,3.2747986,51.425743
2018-10-03,223.13,2657185,223.78,224.33,222.55,,64.11922,64.0,,0.76320887,70.97999,216.00873,222.21727,3569628.2,61.578194,36014784.0,,216.455,-0.10862508,4.7298274,56.718227
2018-10-04,216.15,5664293,222.07,222.15,214.59,,45.837364,64.0,,0.31991085,19.036673,215.26878,220.65091,242979.97,51.989258,30350492.0,,212.7975,-0.16336808,-4.003005,56.20189
2018-10-05,213.26,4267597,216.45,217.19,211.8507,,40.66721,64.0,27.605839,0.10935164,-10.502537,214.99893,219.08455,-1771765.8,50.16787,26082896.0,,209.14,-0.14144407,-9.670447,48.7641
2018-10-08,208.26,5609849,211.7,211.8,203.25,,33.604946,-20.0,29.082859,-0.14653148,-21.692709,214.10445,217.51819,-807265.4,42.088074,20473048.0,,205.4825,-0.22072765,-20.490984,34.13902
2018-10-09,209.76,5652157,208.06,210.99,206.69,,37.13218,-20.0,30.454378,-0.0060371035,15.658478,214.02924,215.95181,1611332.0,50.24635,26125204.0,,201.825,-0.15148005,-15.572271,34.173824
2018-10-10,196.69,8215435,209.33,209.33,196.01,,24.779526,-28.0,32.757877,-0.3161277,17.862469,212.66882,214.38545,-5765290.0,40.96911,17909768.0,,198.1675,-0.25261122,-22.216232,29.835833
2018-10-11,194.51,9180099,194.65,199.7268,192.91,,23.382313,-32.0,35.110413,-0.17345005,2.547362,212.31567,212.81909,-10635989.0,27.88133,8729670.0,,194.51,-0.24716574,-29.414257,28.496471
2018-10-12,204.22,6153940,200.57,204.84,199.537,,39.693375,-32.0,35.819626,0.15947016,12.499668,211.49951,211.25273,-5921024.0,35.695744,14883610.0,,198.93333,-0.21508689,-15.72962,31.866167
2018-10-15,200.32,3968232,203.72,203.8,199.53,-3.4537933,36.346455,-32.0,36.4789,0.10028526,31.203213,211.48953,209.68637,-8420917.0,31.42839,10915378.0,5.83373,203.35667,-0.27981138,-13.995674,33.285122
2018-10-16,207.78,4692435,202.68,208.12,202.53,-2.5794077,45.766518,-32.0,35.963554,0.31800026,57.256577,211.05591,208.12,-4299297.5,32.91948,15607813.0,2.6558244,207.78,-0.20496242,-6.423435,35.702553
2018-10-17,207.38,4254863,207.63,208.0,204.69,-1.9155865,45.378735,-32.0,35.485016,0.32342228,51.181667,211.25429,207.68857,-1638401.2,38.35232,11352950.0,-0.13479473,205.775,-0.19288525,-4.052944,36.49392
2018-10-18,203.62,6262883,206.97,207.22,202.26,-1.628603,41.793915,-32.0,35.375595,0.2504761,47.838745,211.19681,207.25714,-4466800.0,36.765686,5090067.0,0.49678588,203.77,-0.25411534,-5.9053807,37.58384
2018-10-19,203.06,4810036,203.87,207.44,203.0,-1.3849297,41.270985,-32.0,35.212543,0.2610188,32.886875,211.23468,206.82571,-9146835.0,38.088024,280031.0,-1.0606979,201.765,-0.23332828,-3.621755,39.52382
2018-10-22,204.5,4020853,203.72,206.26,201.88,-1.0503843,43.23774,-32.0,35.223675,0.3185672,27.630934,211.27902,206.39429,-8357352.5,37.743023,4300884.0,-3.089829,199.76,-0.19093376,-5.198647,40.20608
2018-10-23,202.43,4900452,199.49,203.73,196.6,-0.89802545,41.106647,-32.0,35.913754,0.2868562,31.99849,210.84134,205.96286,-5243881.5,33.082844,-599568.0,-3.194512,197.755,-0.13539729,-11.797412,44.083138
2018-10-24,195.69,4413571,202.64,203.47,195.38,-1.1638262,35.04918,-32.0,36.693684,0.146635,17.594923,210.39764,205.53143,-9319206.0,33.844852,-5013139.0,-3.825793,195.75,-0.14082703,-10.313496,52.19921
2018-10-25,204.2,4931617,197.0,205.1,195.71,-0.7019156,45.891014,-32.0,36.910355,0.3896509,40.12609,209.79411,205.1,-5332947.0,40.03479,-81522.0,-3.4403162,193.745,-0.04338205,-8.244425,60.459137
2018-10-26,197.49,6522723,199.2,202.41,195.73,-0.77780885,40.19389,-32.0,37.11155,0.22798899,34.0556,209.34619,204.415,-8418546.0,39.705753,-6604245.0,-1.0875027,191.74,-0.032928396,-8.903793,64.3548
2018-10-29,191.04,6618177,200.35,202.34,187.63,-1.1684432,35.616653,-80.0,38.237247,0.07721717,33.893913,208.06773,203.73,-11968337.0,32.000072,-13222422.0,0.3740057,189.735,-0.10637494,-13.507537,60.491325
2018-10-30,187.73,9235217,192.58,193.63,183.75,-1.5328228,33.50782,-84.0,39.622944,0.023109203,0.7688994,207.50601,203.045,-13763035.0,31.817463,-22457640.0,3.9820516,187.73,-0.07365649,-22.095032,55.47075
2018-10-31,197.67,7682761,193.25,199.96,193.25,-1.0125676,44.19381,-84.0,39.21099,0.33647037,34.197212,205.62938,202.36,-11324245.0,42.05509,-14774878.0,3.988067,190.74857,-0.025138218,-5.6743126,57.369457
2018-11-01,199.71,4434501,198.89,200.0,195.01,-0.46696478,46.108047,-84.0,38.81866,0.43049306,75.500374,205.79895,201.675,-7405177.0,40.655666,-10340377.0,0.27121142,193.76714,-0.062564,-3.9508395,55.49707
2018-11-02,197.72,4261466,198.92,200.99,195.25,-0.19019672,44.504345,-84.0,38.200207,0.37085694,89.25858,203.67854,200.99,-7999109.5,40.53575,-14601843.0,-2.4140508,196.78572,-0.020621596,-2.2178624,55.872616
2018-11-05,197.98,3110246,198.2,199.13,194.29,0.047585476,44.77461,-84.0,37.760796,0.40026107,70.30179,198.89816,202.9575,-6366873.0,35.038086,-11491597.0,-5.482611,199.80429,-0.08903574,-4.681025,54.991287
2018-11-06,199.15,2915928,198.5,200.67,197.53,0.30643278,46.04793,-76.0,36.931896,0.4754936,60.468876,193.91142,204.925,-6274009.0,33.716137,-8575669.0,-7.614373,202.82286,-0.06885467,0.07055007,55.814304
2018-11-07,208.24,4921592,202.19,208.3799,201.74,1.0696515,54.772835,-76.0,34.414703,0.8763221,92.97976,192.65591,206.8925,-1559808.8,41.372242,-3654077.0,-6.108704,205.84143,0.04447116,9.368943,55.81779
2018-11-08,208.86,3911153,207.36,208.86,206.0,1.5660179,55.303764,-72.0,31.984062,0.86178046,115.86757,191.43929,208.86,2351344.2,40.67071,257076.0,-6.2290225,208.86,0.094964586,11.684894,54.524956
2018-11-09,205.62,3229620,207.38,207.98,203.42,1.6192003,51.876514,-68.0,30.219118,0.7086762,114.5097,191.04068,208.36845,2238024.2,41.123444,-2972544.0,-6.998629,206.234,0.054675505,7.0727663,54.90246
2018-11-12,199.14,3503601,204.62,205.25,198.725,1.1813562,45.767605,-64.0,29.370758,0.41825217,70.75283,190.91043,207.87692,-819908.0,41.957848,-6476145.0,-6.8322177,203.608,-0.034766562,0.51165676,54.544636
2018-11-13,198.17,2832116,199.78,202.2492,197.55,0.8076414,44.914967,-60.0,28.764776,0.39225525,41.207687,191.08551,207.38539,-2904700.2,42.921764,-9308261.0,-7.4407477,200.982,0.0021244218,-2.6465228,53.31181
2018-11-14,197.58,3218561,200.56,202.23,195.61,0.5161223,44.37347,-56.0,28.498785,0.38293728,34.24045,190.99072,206.89384,-4207682.5,36.517677,-12526822.0,-6.931319,198.356,-0.08479874,-3.5649052,52.266457
2018-11-15,200.71,3422896,197.02,201.15,194.33,0.52762914,47.958027,28.0,28.44436,0.5432477,55.679455,190.87296,206.40231,-1226450.6,43.737827,-9103926.0,-5.9514036,195.73,-0.027867042,-5.9270616,51.634384
2018-11-16,199.04,2939519,199.0,200.91,197.45,0.42093617,46.24572,28.0,28.393824,0.47037488,64.10018,191.21873,205.91077,-1464330.8,51.25772,-12043445.0,-5.815054,193.104,0.018166065,-2.571767,47.018623
2018-11-19,189.28,4486339,199.04,199.4024,188.55,-0.2714934,37.760292,28.0,29.507353,0.052207906,21.898172,190.54074,205.41924,-5347111.5,55.357277,-16529784.0,-2.861419,190.478,-0.011008903,-9.783401,53.979713
2018-11-20,187.06,7891592,181.98,188.8,177.4,-0.81294906,36.136124,-32.0,31.472551,0.029486855,3.9178567,189.75343,204.92769,135468.1,41.768723,-24421376.0,4.310461,187.852,-0.026230639,-28.162115,38.746372
2018-11-21,187.66,3948988,188.54,190.09,186.24,-1.0495745,36.925766,-32.0,32.98132,0.10020389,1.5496805,190.09691,204.43616,-900500.2,41.029175,-20472388.0,2.7159407,185.226,-0.05429493,-15.311812,38.249252
2018-11-23,182.6,2601000,184.88,186.23,182.26,-1.4415497,33.197823,-32.0,34.672215,-0.008315609,26.080261,190.21341,203.94461,-3055988.8,42.473095,-23073388.0,-0.42308778,182.6,-0.080384076,-19.37441,38.09972
2018-11-26,191.85,6688118,185.58,192.23,183.68,-0.99383086,44.273655,-32.0,34.876827,0.33894005,41.33237,189.7478,203.45308,3037629.8,51.419178,-16385270.0,3.7077832,187.14333,-0.024756372,-11.359495,40.153866
2018-11-27,192.98,3976015,190.75,193.04,189.45,-0.5592125,45.46324,-32.0,34.89557,0.37489185,48.227024,190.127,202.96153,6880742.0,52.206703,-12409255.0,2.1781008,191.68666,0.004826738,-4.5924244,40.341244
2018-11-28,202.28,6190663,195.0,202.47,193.27,0.36707625,54.140026,-32.0,33.181644,0.69036895,89.74006,189.6844,202.47,12815703.0,53.123215,-6218592.0,4.2373586,196.23,-0.003734259,6.1607795,40.449127
2018-11-29,196.66,5445427,202.05,202.05,196.31,0.59998065,49.060326,-32.0,31.590147,0.48308405,85.342834,189.74193,204.95,8034353.0,44.97447,-11664019.0,4.239722,200.77333,-0.10826997,8.246382,41.715828
2018-11-30,201.07,7942944,196.59,201.67,195.8,1.0247996,52.802513,-32.0,30.183128,0.64398646,95.238556,189.81049,207.43,14353526.0,54.237206,-3721075.0,7.128584,205.31667,-0.026186565,5.6383276,46.006046
