Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.0854,3000,0,25.63,2.82,1,1,0,25.63,25.63,10,28,5,200,adl/pvo,3,I/I/D,D/D/D,0.005,-0.27,1,1,1
2023-02-08,2023-03-08,0.8483,3000,3104.0,104.5,11.49,2,1,0,104.5,104.5,10,28,5,55,elder,2,I/D,I/I,0.02,-0.08,1,1,1
2023-02-08,2023-03-08,1.6217,3000,0,111.62,12.28,1,1,0,111.62,111.62,10,28,5,5,rsi/bop,1,I/I/D,IGNORE,0.025,-0.05,1,1,1
2023-02-08,2023-03-08,0.7321,3000,3042.0,42.54,4.68,2,1,0,42.54,42.54,10,28,5,95,pvo/stochastic,1,I/I/D,IGNORE,0.01,-0.07,1,1,1
2023-02-08,2023-03-08,1.2922,3000,0,52.13,5.73,1,1,0,52.13,52.13,10,28,5,30,macd/chop,2,D/D/I,I/I/I,0.01,-0.3,1,1,1
2023-02-08,2023-03-08,1.4087,3000,0,54.52,6.0,1,1,0,54.52,54.52,10,28,5,15,elder/pvo/adx,0,D/D/I/D,I/D/D/D,0.005,-0.16,1,1,1
2023-02-08,2023-03-08,1.3136,3000,0,94.07,10.35,1,1,0,94.07,94.07,10,28,5,40,elder,2,I/D,I/I,0.015,-0.21,1,1,1
2023-02-08,2023-03-08,1.4334,3000,0,87.53,9.63,1,1,0,87.53,87.53,10,28,5,150,adx/macd/bop,2,I/I/D/I,IGNORE,0.025,-0.22,1,1,1
2023-02-09,2023-03-09,0.8653,3000,3059.0,59.26,6.52,2,1,0,59.26,59.26,10,28,5,110,mfi/adl,0,I/D/I,D/D/I,0.015,-0.26,1,1,1
2023-02-11,2023-03-11,1.4702,3000,0,79.09,8.7,1,1,0,79.09,79.09,10,28,5,125,zigzag/bollinger/mfi/macd,0,I/I/I/I/I,D/I/I/D/D,0.02,-0.25,1,1,1
2023-02-11,2023-03-11,1.1164,3000,0,34.92,3.84,1,1,0,34.92,34.92,10,28,5,175,pvo/obv/macd/bop/bollinger,2,I/D/I/D/I/D,I/D/D/D/I/D,0.03,-0.01,1,1,1
2023-02-11,2023-03-11,0.8242,3000,3097.0,97.26,10.7,2,1,0,97.26,97.26,10,28,5,100,chop/bollinger,1,I/D/D,IGNORE,0.025,-0.25,1,1,1
2023-02-11,2023-03-11,1.3323,3000,0,99.69,10.97,1,1,0,99.69,99.69,10,28,5,100,elder/adl,0,I/D/I,I/I/D,0.02,-0.24,1,1,1
2023-02-11,2023-03-11,1.5221,3000,0,66.28,7.29,1,1,0,66.28,66.28,10,28,5,200,pvo,0,I/I,I/D,0.035,-0.25,1,1,1
2023-02-11,2023-03-11,1.3828,3000,0,114.85,12.63,1,1,0,114.85,114.85,10,28,5,95,aroon,0,I/I,D/D,0.035,-0.19,1,1,1
2023-02-11,2023-03-11,1.0982,3000,3104.0,104.5,11.49,2,1,0,104.5,104.5,10,28,5,125,macd,2,I/D,D/I,0.02,-0.3,1,1,1
2023-02-11,2023-03-11,1.0478,3000,3044.0,44.35,4.88,2,1,0,44.35,44.35,10,28,5,200,adx,0,I/I,I/D,0.01,-0.25,1,1,1
2023-02-11,2023-03-11,1.3323,3000,0,99.69,10.97,1,1,0,99.69,99.69,10,28,5,160,obv/elder,3,I/D/I,I/D/D,0.02,-0.24,1,1,1
2023-02-11,2023-03-11,1.6729,3000,0,97.26,10.7,1,1,0,97.26,97.26,10,28,5,130,macd/pivots,0,I/I/I,IGNORE,0.025,-0.27,1,1,1
2023-02-11,2023-03-11,0.9433,3000,3082.0,82.98,9.13,3,2,0,41.49,41.49,10,28,5,200,obv/rsi/stochastic/aroon/pivots,0,I/I/I/D/I/I,I/D/I/I/D/I,0.005,-0.18,1,1,1
2023-02-11,2023-03-11,1.2918,3000,0,87.53,9.63,1,1,0,87.53,87.53,10,28,5,100,pivots/pvo,4,I/I/D,IGNORE,0.02,-0.21,1,1,1
2023-02-11,2023-03-11,1.2766,3000,0,82.98,9.13,2,2,0,41.49,41.49,10,28,5,155,stochastic/aroon/elder,2,I/D/I/I,I/D/D/D,0.005,-0.26,1,1,1
2023-02-11,2023-03-11,1.7448,3000,0,25.63,2.82,1,1,0,25.63,25.63,10,28,5,180,chop,0,I/I,IGNORE,0.005,-0.08,1,1,1
2023-02-11,2023-03-11,1.1738,3000,0,52.13,5.73,1,1,0,52.13,52.13,10,28,5,70,macd/adx,2,I/D/D,IGNORE,0.01,-0.1,1,1,1
2023-02-11,2023-03-11,0.9616,3000,3066.0,66.28,7.29,2,1,0,66.28,66.28,10,28,5,100,elder/rsi,1,I/D/D,D/D/I,0.02,-0.21,1,1,1
2023-02-11,2023-03-11,1.4139,3000,3104.0,104.5,11.49,2,1,0,104.5,104.5,10,28,5,125,rsi/macd,1,I/I/D,IGNORE,0.025,-0.06,1,1,1
2023-02-11,2023-03-11,1.5099,3000,0,52.13,5.73,1,1,0,52.13,52.13,10,28,5,110,bollinger,0,I/D,D/D,0.01,-0.04,1,1,1
2023-02-11,2023-03-11,0.9634,3000,3097.0,97.26,10.7,2,1,0,97.26,97.26,10,28,5,110,pivots/bollinger,0,I/I/D,I/D/D,0.03,-0.06,1,1,1
2023-02-11,2023-03-11,1.3323,3000,0,99.69,10.97,1,1,0,99.69,99.69,10,28,5,185,aroon,4,I/I,D/I,0.03,-0.02,1,1,1
2023-02-11,2023-03-11,1.0243,3000,0,7.3,0.8,1,1,0,7.3,7.3,10,28,5,155,stochastic/adx,0,I/D/I,I/I/I,0.1,-0.28,1,1,1
2023-02-11,2023-03-11,1.3157,3000,0,31.0,3.41,1,1,0,31.0,31.0,10,28,5,15,macd,0,D/D,D/I,0.075,-0.24,1,1,1
2023-02-11,2023-03-11,1.325,3000,0,79.09,8.7,1,1,0,79.09,79.09,10,28,5,35,zigzag,0,D/I,IGNORE,0.02,-0.09,1,1,1
2023-02-11,2023-03-11,0.8418,3000,3079.0,79.09,8.7,2,1,0,79.09,79.09,10,28,5,35,mfi/pivots/bollinger,0,D/D/D/D,D/I/I/I,0.02,-0.1,1,1,1
2023-02-11,2023-03-11,1.3919,3000,0,75.82,8.34,1,1,0,75.82,75.82,10,28,5,25,elder/aroon,3,D/D/D,D/I/D,0.015,-0.27,1,1,1
2023-02-11,2023-03-11,1.1478,3000,0,44.35,4.88,1,1,0,44.35,44.35,10,28,5,170,chop/pvo/aroon/chandelier,4,I/D/D/I/I,IGNORE,0.005,-0.05,1,1,1
2023-02-11,2023-03-11,1.1478,3000,0,44.35,4.88,1,1,0,44.35,44.35,10,28,5,15,adl/bop/pivots/pvo,0,D/D/I/D/I,D/I/I/D/D,0.01,-0.02,1,1,1
2023-02-11,2023-03-11,1.3256,3000,0,66.28,7.29,1,1,0,66.28,66.28,10,28,5,70,bop/mfi/adx/elder,0,I/I/D/D/D,IGNORE,0.005,-0.11,1,1,1
