Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1987-11-06,1987-10-08,1987-10-20,1987-10-26,0.125
1988-02-05,1988-01-18,1988-01-19,1988-01-25,0.125
1988-06-09,1988-05-20,1988-05-24,1988-05-31,0.14
1988-09-09,1988-08-09,1988-08-22,1988-08-26,0.14
1988-12-15,1988-10-31,1988-11-23,1988-11-30,0.14
1989-01-17,1988-12-15,1988-12-21,1988-12-28,0.0222
1989-03-20,1989-02-17,1989-02-22,1989-02-28,0.14
1989-06-19,1989-05-19,1989-05-24,1989-05-31,0.155
1989-09-18,1989-08-15,1989-08-25,1989-08-31,0.0775
1989-12-18,1989-10-12,1989-11-24,1989-11-30,0.0775
1990-03-19,1990-02-22,1990-02-27,1990-03-05,0.0775
1990-06-18,1990-05-25,1990-05-30,1990-06-05,0.085
1990-09-18,1990-08-09,1990-08-27,1990-08-31,0.085
1990-12-18,1990-10-11,1990-11-26,1990-11-30,0.085
1991-03-21,1991-02-28,1991-03-05,1991-03-11,0.085
1991-06-18,1991-05-24,1991-05-29,1991-06-04,0.0925
1991-09-18,1991-08-21,1991-08-28,1991-09-04,0.0925
1991-12-18,1991-10-23,1991-11-27,1991-12-04,0.0925
1992-03-20,1992-02-20,1992-02-25,1992-03-02,0.0925
1992-06-19,1992-05-22,1992-05-27,1992-06-02,0.10
1992-09-18,1992-08-20,1992-08-25,1992-08-31,0.10
1992-12-18,1992-10-13,1992-11-23,1992-11-30,0.10
1993-03-19,1993-02-03,1993-02-23,1993-03-01,0.10
1993-06-18,1993-05-28,1993-06-01,1993-06-07,0.1075
1993-09-17,1993-08-17,1993-08-25,1993-08-31,0.1075
1993-12-17,1993-10-19,1993-11-23,1993-11-30,0.1075
1994-03-18,1994-01-18,1994-02-22,1994-02-28,0.1075
1994-06-17,1994-05-27,1994-06-01,1994-06-07,0.12
1994-09-16,1994-07-12,1994-08-25,1994-08-31,0.06
1994-12-16,1994-11-15,1994-11-23,1994-11-30,0.06
1995-03-17,1995-01-19,1995-02-22,1995-02-28,0.06
1995-06-16,1995-05-26,1995-05-30,1995-06-05,0.0675
1995-09-15,1995-07-11,1995-08-29,1995-08-31,0.0675
1995-12-15,1995-11-14,1995-11-28,1995-11-30,0.0675
1996-03-15,1996-01-16,1996-02-27,1996-02-29,0.0675
1996-06-14,1996-05-23,1996-05-31,1996-06-04,0.075
1996-09-13,1996-07-09,1996-08-28,1996-08-30,0.075
1996-12-13,1996-10-23,1996-11-27,1996-12-02,0.075
1997-03-14,1997-01-21,1997-02-26,1997-02-28,0.075
1997-06-13,1997-05-22,1997-05-29,1997-06-02,0.0825
1997-09-12,1997-07-15,1997-08-27,1997-08-29,0.0825
1997-12-12,1997-10-29,1997-11-26,1997-12-01,0.0825
1998-03-13,1998-01-20,1998-02-25,1998-02-27,0.0825
1998-06-12,1998-05-21,1998-05-28,1998-06-01,0.09
1998-09-11,1998-07-08,1998-08-27,1998-08-31,0.09
1998-12-11,1998-10-28,1998-11-25,1998-11-30,0.09
1999-03-31,1999-01-26,1999-03-11,1999-03-15,0.04875
1999-06-15,1999-05-20,1999-05-27,1999-06-01,0.04875
1999-09-15,1999-07-13,1999-08-30,1999-09-01,0.04875
1999-12-15,1999-11-17,1999-11-29,1999-12-01,0.04875
2000-12-01,2000-09-12,2000-11-13,2000-11-15,0.215
2001-12-03,2001-10-29,2001-11-13,2001-11-15,0.225
2002-12-02,2002-10-22,2002-11-13,2002-11-15,0.235
2003-12-01,2003-09-24,2003-11-12,2003-11-14,0.40
2004-12-01,2004-09-14,2004-11-10,2004-11-15,0.55
2005-12-01,2005-09-21,2005-11-10,2005-11-15,0.67
