date,close,volume,open,high,low
2013-07-11,100.79,4064088,100.75,100.96,99.76
2013-07-12,101.58,4767336,100.59,101.81,100.50
2013-07-15,100.75,4481447,101.60,101.73,100.70
2013-07-16,100.88,4407298,100.18,101.12,99.47
2013-07-17,100.10,5382296,100.05,100.35,99.30
2013-07-18,100.18,3401564,100.48,100.77,99.99
2013-07-19,100.27,4507838,100.20,100.41,99.53
2013-07-22,97.58,13209980,97.75,97.93,97.06
2013-07-23,96.76,6987730,97.55,97.72,96.68
2013-07-24,96.66,5198165,97.21,97.40,96.30
2013-07-25,97.49,4204221,96.67,97.59,96.56
2013-07-26,98.03,4561726,97.25,98.08,96.92
2013-07-29,97.87,3592485,97.96,98.03,97.39
2013-07-30,98.37,4127414,98.00,98.54,97.845
2013-07-31,98.08,5343015,98.32,98.54,97.63
2013-08-01,99.00,3955196,98.62,99.24,98.32
2013-08-02,99.20,3185952,98.81,99.20,98.45
2013-08-05,99.31,3326414,99.01,99.435,98.83
2013-08-06,98.69,3507177,99.33,99.40,98.37
2013-08-07,98.33,3256423,98.60,98.99,98.27
2013-08-08,98.04,4862328,98.64,98.99,97.44
2013-08-09,97.62,4041753,97.90,98.40,97.07
2013-08-12,97.04,3256840,97.49,97.80,97.00
2013-08-13,96.45,5188318,97.02,97.10,96.11
2013-08-14,96.11,5448746,96.24,96.37,95.64
2013-08-15,95.39,4207531,95.55,95.91,95.195
2013-08-16,95.03,3323997,95.20,95.50,95.01
2013-08-19,95.48,3126170,95.12,95.99,95.05
2013-08-20,95.50,2828269,95.51,95.90,95.36
2013-08-21,95.11,3430586,95.41,95.82,95.11
2013-08-22,95.46,15364420,95.37,95.69,95.21
2013-08-23,95.13,12274160,95.57,95.68,94.91
2013-08-26,95.31,3063898,95.36,95.945,95.10
2013-08-27,94.84,4512614,94.86,95.1944,94.01
2013-08-28,96.08,5482503,95.00,96.325,95.00
2013-08-29,94.86,4796596,95.65,95.98,94.70
