date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,161.64,2137861,160.55,161.67,160.155,,,,,,,,,2053193.2,,0.0,,,,,
2018-08-29,163.11,3168222,161.92,163.34,161.69,,,,,,,,,4338153.5,,3168222.0,,,,,
2018-08-30,162.8,3038213,163.03,163.29,162.3728,,,,,,,,,4130129.2,,130009.0,,,,,
2018-08-31,162.23,3646447,161.53,162.91,161.53,,,,,,,,,4182976.2,,-3516438.0,,,,,
2018-09-04,161.72,3296270,161.81,161.98,160.07,,,,,,,,,6581832.5,,-6812708.0,,,,,
2018-09-05,163.24,2749159,161.6,163.4,161.19,,,,,,,,,8932923.0,,-4063549.0,,,,,
2018-09-06,163.74,3124752,163.04,164.3,162.7,,,,,,,,,9870349.0,,-938797.0,,,,,
2018-09-07,163.9,2868309,163.58,164.2,163.14,,,,,,,,,11115087.0,,1929512.0,,,,,
2018-09-10,165.07,3080061,164.48,166.02,164.24,,,,,,,,166.02,10907442.0,,5009573.0,,,,,
2018-09-11,164.62,2913274,164.88,165.93,164.201,,,,,,,,166.21533,9406154.0,,2096299.0,,,,,
2018-09-12,164.74,2541037,164.32,165.42,163.74,,,,,,,,166.41066,9890161.0,,4637336.0,,,,,
2018-09-13,162.4,3625147,165.45,165.46,161.7,,,,,,,,166.606,7614803.0,,1012189.0,,,,,
2018-09-14,160.84,3905416,163.0,163.11,160.25,,,,,,,,166.80133,5320712.0,,-2893227.0,,,,-2.8015385,
2018-09-17,158.14,5357385,159.55,159.82,156.56,,,,,,,,166.99667,5156375.5,,-8250612.0,,,0.11169068,-8.36989,
2018-09-18,157.77,3708060,158.17,159.08,157.58,,35.927273,,,,,,167.192,2387690.5,38.64815,-11958672.0,,,0.041252207,-6.7741914,42.39059
2018-09-19,159.18,2813183,158.71,159.49,157.72,,42.29936,,,,,,167.38733,4215464.5,38.089577,-9145489.0,,,0.008703964,-5.499307,42.482082
2018-09-20,160.79,3116064,160.21,161.05,159.37,,48.58681,,,,,,167.58267,6367032.5,38.131687,-6029425.0,,,0.051275484,-2.1279774,43.705936
2018-09-21,165.3,8789456,162.71,165.3,162.51,,61.306293,,,,96.53512,,167.778,15156489.0,51.436005,2760031.0,,,0.08135185,4.1117334,47.46895
2018-09-24,163.31,4372117,163.9,164.08,161.12,,54.85732,,,,106.5774,,167.97333,17253924.0,50.356335,-1612086.0,,,0.07048014,1.0843431,49.713
2018-09-25,166.41,5237098,164.59,167.18,164.07,,61.62881,,,0.9237016,116.54773,,168.16867,19897732.0,52.67846,3625012.0,,,0.05927496,5.8908653,47.079685
2018-09-26,165.76,3027987,166.4,167.51,165.55,,59.609745,,,0.8168754,89.66106,,168.364,17518598.0,52.63815,597025.0,,,0.0047013466,6.8207417,46.289158
2018-09-27,166.53,2361257,165.62,167.27,165.3,,61.230145,,,0.8590072,96.1668,,168.55933,18105916.0,52.230667,2958282.0,,,0.016132928,5.35635,47.20618
2018-09-28,167.29,3095342,166.74,167.83,166.51,,62.815815,,,0.88566655,95.56237,160.95642,168.75467,18668706.0,52.278877,6053624.0,,,0.022219071,6.0740147,45.309708
2018-10-01,166.67,3100781,168.37,168.95,166.66,,60.63701,,,0.7965672,88.7564,162.07658,168.95,15595006.0,57.83535,2952843.0,,,-0.020065367,6.6191554,42.28587
2018-10-02,165.18,2970171,166.35,167.0377,165.18,,55.642048,,,0.64709467,72.04268,162.1357,169.38571,12624835.0,57.361885,-17328.0,,,-0.08290902,3.0312617,42.463493
