Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,0.7176,3000,3065.0,65.27,7.18,2,1,0,65.27,65.27,10,28,5,160,bollinger/pvo/aroon/adl,1,I/I/I/I/I,I/D/I/D/D,0.015,-0.21,1,1,1
2023-06-13,2023-07-11,1.4201,3000,0,96.6,10.63,1,1,0,96.6,96.6,10,28,5,165,macd/mfi,1,I/D/D,I/I/D,0.03,-0.13,1,1,1
2023-06-13,2023-07-11,1.3997,3000,3037.0,37.99,4.18,2,1,0,37.99,37.99,10,28,5,10,pvo,1,I/I,D/I,0.005,-0.02,1,1,1
2023-06-13,2023-07-11,1.3896,3000,3093.0,93.32,10.27,3,2,0,46.66,46.66,10,28,5,135,aroon/bop/rsi/bollinger,1,I/I/I/I/I,I/D/D/D/I,0.01,-0.26,1,1,1
2023-06-13,2023-07-11,0.9305,3000,3056.0,56.97,6.27,2,1,0,56.97,56.97,10,28,5,95,adx/obv/elder/zigzag/bollinger,0,I/I/I/D/I/D,D/D/I/I/D/I,0.01,-0.19,1,1,1
2023-06-13,2023-07-11,1.2995,3000,0,62.49,6.87,1,1,0,62.49,62.49,10,28,5,35,mfi,1,D/D,IGNORE,0.01,-0.12,1,1,1
2023-06-13,2023-07-11,1.4691,3000,0,109.99,12.1,2,2,0,54.99,54.99,10,28,5,15,zigzag/elder,1,I/D/I,D/D/I,0.01,-0.19,1,1,1
2023-06-14,2023-07-12,1.5741,3000,0,66.76,7.34,1,1,0,66.76,66.76,10,28,5,35,bop/stochastic/mfi/chop,1,D/D/D/D/I,IGNORE,0.01,-0.08,1,1,1
2023-06-14,2023-07-12,1.3702,3000,0,16.74,1.84,1,1,0,16.74,16.74,10,28,5,110,chop,0,I/I,I/D,0.025,-0.2,1,1,1
2023-06-14,2023-07-12,1.3353,3000,0,100.92,11.1,1,1,0,100.92,100.92,10,28,5,100,adx,1,I/I,D/I,0.025,-0.24,1,1,1
2023-06-14,2023-07-12,1.7576,3000,0,109.99,12.1,2,2,0,54.99,54.99,10,28,5,105,pivots/chandelier/obv,0,I/I/I/I,IGNORE,0.01,-0.06,1,1,1
2023-06-14,2023-07-12,1.3246,3000,0,39.03,4.29,1,1,0,39.03,39.03,10,28,5,35,macd/chop,1,D/I/D,IGNORE,0.01,-0.16,1,1,1
2023-06-14,2023-07-12,1.6163,3000,0,100.92,11.1,1,1,0,100.92,100.92,10,28,5,45,pvo,1,D/D,I/I,0.03,-0.1,1,1,1
2023-06-14,2023-07-12,1.1615,3000,0,34.9,3.84,1,1,0,34.9,34.9,10,28,5,160,elder,1,I/D,I/I,0.06,-0.04,1,1,1
2023-06-14,2023-07-12,1.21,3000,0,35.24,3.88,1,1,0,35.24,35.24,10,28,5,105,adl/mfi/pvo,0,I/I/I/I,I/I/D/I,0.1,-0.17,1,1,1
2023-06-14,2023-07-12,1.6256,3000,3109.0,109.99,12.1,3,2,0,54.99,54.99,10,28,5,160,zigzag/chandelier,0,I/I/I,D/I/I,0.01,-0.16,1,1,1
2023-06-14,2023-07-12,1.4524,3000,0,135.71,14.93,2,2,0,67.86,67.86,10,28,5,95,mfi/stochastic/adx,0,I/I/D/I,D/I/D/I,0.02,-0.17,1,1,1
2023-06-14,2023-07-12,1.0612,3000,3065.0,65.27,7.18,2,1,0,65.27,65.27,10,28,5,70,elder/stochastic/adx,1,I/D/D/D,D/D/D/D,0.02,-0.21,1,1,1
2023-06-14,2023-07-12,1.2176,3000,0,65.27,7.18,1,1,0,65.27,65.27,10,28,5,40,bop,0,D/D,I/D,0.015,-0.15,1,1,1
2023-06-14,2023-07-12,1.5407,3000,0,93.32,10.27,2,2,0,46.66,46.66,10,28,5,10,chandelier/aroon/elder,0,I/D/D/I,D/D/I/D,0.01,-0.27,1,1,1
2023-06-14,2023-07-12,1.3364,3000,0,100.92,11.1,1,1,0,100.92,100.92,10,28,5,100,adx,1,I/I,IGNORE,0.035,-0.15,1,1,1
2023-06-14,2023-07-12,1.4196,3000,3109.0,109.99,12.1,3,2,0,54.99,54.99,10,28,5,195,chop,0,I/I,D/I,0.01,-0.16,1,1,1
2023-06-14,2023-07-12,1.6166,3000,3109.0,109.99,12.1,3,2,0,54.99,54.99,10,28,5,175,zigzag/chandelier,0,I/I/I,I/I/D,0.01,-0.23,1,1,1
2023-06-14,2023-07-12,1.4891,3000,0,67.91,7.47,1,1,0,67.91,67.91,10,28,5,5,macd/aroon,1,I/I/D,IGNORE,0.02,-0.05,1,1,1
2023-06-14,2023-07-12,1.5353,3000,0,66.31,7.29,1,1,0,66.31,66.31,10,28,5,15,obv/stochastic,1,I/I/I,D/D/I,0.02,-0.08,1,1,1
2023-06-14,2023-07-12,1.299,3000,3109.0,109.99,12.1,3,2,0,54.99,54.99,10,28,5,70,bollinger,1,I/D,IGNORE,0.01,-0.19,1,1,1
2023-06-14,2023-07-12,1.2467,3000,3135.0,135.71,14.93,3,2,0,67.86,67.86,10,28,5,75,obv/bollinger/stochastic,1,I/I/D/D,D/D/D/D,0.02,-0.24,1,1,1
2023-06-15,2023-07-13,1.703,3000,0,118.89,13.08,2,2,0,59.45,59.45,10,28,5,75,chop,0,I/D,I/I,0.015,-0.05,1,1,1
2023-06-15,2023-07-13,1.5782,3000,0,53.55,5.89,2,2,0,26.78,26.78,10,28,5,95,rsi,0,I/I,I/D,0.015,-0.15,1,1,1
2023-06-15,2023-07-13,0.6675,3000,3001.0,1.04,0.11,2,1,0,1.04,1.04,10,28,5,10,obv/rsi,0,I/D/D,D/D/D,0.085,-0.13,1,1,1
2023-06-15,2023-07-13,1.1235,3000,0,1.12,0.12,1,1,0,1.12,1.12,10,28,5,35,macd,1,D/D,D/I,0.05,-0.28,1,1,1
2023-06-15,2023-07-13,1.3649,3000,0,42.6,4.69,2,2,0,21.3,21.3,10,28,5,125,adl/elder,3,I/I/I,IGNORE,0.005,-0.21,1,1,1
2023-06-15,2023-07-13,1.5392,3000,0,24.41,2.68,1,1,0,24.41,24.41,10,28,5,25,adl/chop,0,I/I/D,I/I/I,0.07,-0.25,1,1,1
2023-06-15,2023-07-13,0.7321,3000,3033.0,33.41,3.67,2,1,0,33.41,33.41,10,28,5,195,elder/bop,2,I/I/I,D/D/I,0.01,-0.21,1,1,1
2023-06-15,2023-07-13,1.1241,3000,3084.0,84.3,9.27,2,1,0,84.3,84.3,10,28,5,120,aroon/adx,2,I/I/I,D/I/I,0.02,-0.26,1,1,1
2023-06-15,2023-07-13,1.3671,3000,0,39.03,4.29,1,1,0,39.03,39.03,10,28,5,175,aroon,0,I/I,D/D,0.005,-0.12,1,1,1
2023-06-15,2023-07-13,1.2965,3000,0,33.41,3.67,1,1,0,33.41,33.41,10,28,5,125,aroon/bop/pivots,3,I/I/I/I,IGNORE,0.01,-0.2,1,1,1
2023-06-15,2023-07-13,1.4377,3000,0,84.42,9.29,1,1,0,84.42,84.42,10,28,5,50,adl/mfi/pivots,0,D/I/D/D,I/D/D/I,0.025,-0.12,1,1,1
2023-06-15,2023-07-13,0.9226,3000,3044.0,44.44,4.89,3,2,0,22.22,22.22,10,28,5,85,aroon/chandelier,1,I/D/I,I/D/D,0.005,-0.24,1,1,1
2023-06-15,2023-07-13,1.4122,3000,0,32.28,3.55,1,1,0,32.28,32.28,10,28,5,155,aroon,0,I/I,D/I,0.01,-0.21,1,1,1
2023-06-15,2023-07-13,1.6243,3000,0,84.3,9.27,1,1,0,84.3,84.3,10,28,5,60,macd/pivots,1,I/D/I,D/D/I,0.02,-0.28,1,1,1
2023-06-15,2023-07-13,0.9099,3000,3026.0,26.95,2.96,2,1,0,26.95,26.95,10,28,5,190,stochastic/bop,3,I/I/I,I/I/D,0.005,-0.04,1,1,1
2023-06-15,2023-07-13,1.2107,3000,0,6.83,0.75,1,1,0,6.83,6.83,10,28,5,20,pivots/chop,0,D/D/D,I/I/D,0.08,-0.05,1,1,1
2023-06-15,2023-07-13,0.7905,3000,3037.0,37.99,4.18,2,1,0,37.99,37.99,10,28,5,25,bop,2,I/I,IGNORE,0.005,-0.1,1,1,1
2023-06-15,2023-07-13,1.0968,3000,3039.0,39.03,4.29,2,1,0,39.03,39.03,10,28,5,25,pivots/rsi,0,I/I/I,IGNORE,0.01,-0.18,1,1,1
