date,close,volume,open,high,low
2013-03-08,27.96,44161320,28.425,28.47,27.73
2013-03-11,28.14,35585960,28.01,28.64,27.83
2013-03-12,27.83,27498230,28.10,28.32,27.60
2013-03-13,27.08,39527710,27.62,27.65,26.92
2013-03-14,27.04,27604220,27.10,27.43,26.83
2013-03-15,26.645,31554310,27.03,27.06,26.56
2013-03-18,26.49,26610250,26.37,26.79,25.78
2013-03-19,26.55,25222620,26.53,26.90,26.21
2013-03-20,25.86,43922190,26.68,26.69,25.78
2013-03-21,25.74,24297020,25.66,26.11,25.56
2013-03-22,25.73,18420580,25.796,26.01,25.63
2013-03-25,25.131,39115300,25.75,25.80,25.078
2013-03-26,25.205,26931720,25.08,25.48,25.03
2013-03-27,26.09,52246250,25.00,26.28,24.72
2013-03-28,25.58,28564300,26.09,26.17,25.52
2013-04-01,25.53,22205800,25.63,25.89,25.28
2013-04-02,25.42,35121310,25.77,26.12,25.30
2013-04-03,26.25,48093190,25.83,26.39,25.70
2013-04-04,27.0725,81884030,26.62,27.2301,26.11
2013-04-05,27.39,64468590,26.86,27.80,26.61
2013-04-08,26.849,27213210,27.19,27.20,26.63
2013-04-09,26.59,21271210,26.58,26.89,26.42
2013-04-10,27.57,45868010,27.01,27.84,26.90
2013-04-11,28.0175,33317050,27.48,28.10,27.25
2013-04-12,27.40,28645390,28.00,28.00,27.24
2013-04-15,26.52,30157610,27.16,27.48,26.36
2013-04-16,26.92,27354550,26.81,27.11,26.40
2013-04-17,26.625,26409810,26.65,27.20,26.39
2013-04-18,25.69,39017530,26.82,26.82,25.15
2013-04-19,25.73,20349350,25.62,25.96,25.33
2013-04-22,25.97,25626190,25.81,26.36,25.70
2013-04-23,25.98,25136620,26.215,26.33,25.77
2013-04-24,26.11,19701820,25.93,26.40,25.80
2013-04-25,26.14,17085990,26.07,26.40,26.00
2013-04-26,26.85,32952000,26.60,27.62,26.60
2013-04-29,26.98,28880330,27.16,27.41,26.86
2013-04-30,27.769,36158480,27.13,27.85,27.005
2013-05-01,27.43,63228690,27.85,27.915,27.31
2013-05-02,28.97,104142100,28.01,29.02,27.98
2013-05-03,28.311,58210590,29.04,29.07,28.15
2013-05-06,27.57,43816260,28.33,28.46,27.48
2013-05-07,26.889,41181810,27.55,27.85,26.85
2013-05-08,27.12,34592220,26.88,27.30,26.65
2013-05-09,27.04,33367040,27.08,27.55,26.85
2013-05-10,26.68,30796410,27.14,27.30,26.57
2013-05-13,26.82,29003230,26.60,27.325,26.531
2013-05-14,27.07,24899510,26.885,27.28,26.82
2013-05-15,26.60,30257960,26.92,26.99,26.40
2013-05-16,26.13,35473010,26.48,26.55,25.90
2013-05-17,26.25,29426640,26.40,26.60,26.20
2013-05-20,25.759,42345840,26.18,26.19,25.69
2013-05-21,25.66,26163000,25.87,26.075,25.59
2013-05-22,25.159,45198860,25.65,25.85,24.92
2013-05-23,25.06,37654530,24.80,25.53,24.77
2013-05-24,24.3125,58653470,24.97,24.97,24.08
2013-05-28,24.10,50042490,24.54,24.54,23.92
2013-05-29,23.32,64115760,23.79,23.81,23.26
2013-05-30,24.55,60555780,24.13,24.779,23.93
2013-05-31,24.348,35879190,24.63,24.95,24.27
2013-06-03,23.848,35693200,24.265,24.32,23.71
2013-06-04,23.52,34748310,23.89,23.93,23.32
2013-06-05,22.899,53759680,23.35,23.705,22.79
2013-06-06,22.97,31224400,22.99,23.09,22.67
2013-06-07,23.291,38679530,23.03,23.40,22.86
2013-06-10,24.33,58311370,24.06,24.60,23.99
2013-06-11,24.03,29837670,24.03,24.35,24.00
2013-06-12,23.77,26404420,24.16,24.26,23.58
2013-06-13,23.73,31095780,23.72,23.83,23.265
2013-06-14,23.63,30603420,23.56,23.89,23.26
2013-06-17,24.022,33601370,23.91,24.25,23.75
2013-06-18,24.21,36667860,24.09,24.69,24.08
2013-06-19,24.309,31732970,24.20,25.19,24.10
2013-06-20,23.90,42716660,24.28,24.745,23.65
2013-06-21,24.53,45800870,24.59,24.70,24.05
2013-06-24,23.935,40586430,23.95,24.11,23.38
2013-06-25,24.25,24710300,24.14,24.43,24.04
2013-06-26,24.16,29860530,24.51,24.65,23.99
