date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,176.26,15720690,178.1,178.2399,175.83,,,,,,,,,-10110584.0,,0.0,,,,,
2018-08-29,175.9,18357780,176.295,176.79,174.75,,,,,,,,,-7770867.5,,-18357780.0,,,,,
2018-08-30,177.64,24105390,175.9,179.7901,175.7,,,,,,,,179.7901,-9009112.0,,5747610.0,,,,,
2018-08-31,175.73,18025110,177.15,177.62,174.9815,,,,,,,,177.99008,-16807354.0,,-12277500.0,,,,,
2018-09-04,171.16,29460630,173.5,173.89,168.8,,,,,,,,176.19008,-18948894.0,,-41738130.0,,,,,
2018-09-05,167.18,31191210,169.49,171.125,166.67,,,,,,,,174.39006,-42998680.0,,-72929340.0,,,,,
2018-09-06,162.53,41418330,166.98,166.98,160.0,,,,,,,,172.59004,-54391690.0,,-114347670.0,,,,,
2018-09-07,163.04,24151910,160.31,164.6269,160.16,,,,,,,,170.79002,-47400076.0,,-90195760.0,,,,,
2018-09-10,164.18,19896190,163.51,165.01,162.16,,,,,,,,168.99002,-39092544.0,,-70299570.0,,,,,
2018-09-11,165.94,20285090,163.94,167.19,163.72,,,,,,,,167.19,-33422072.0,,-50014480.0,,,,,
2018-09-12,162.0,24033850,163.25,164.49,161.8,,,,,,,,167.1975,-53882116.0,,-74048330.0,,,,,
2018-09-13,161.36,25376900,162.0,163.32,160.86,,,,,,,,167.205,-68943200.0,,-99425230.0,,,,,
2018-09-14,162.32,21682850,161.715,162.84,160.34,,,,,,,,167.2125,-56280420.0,,-77742380.0,,,,-13.010769,
2018-09-17,160.58,20951950,161.92,162.06,159.77,,,,,,,,167.22,-62410464.0,,-98694330.0,,,-0.16650513,-12.213516,
2018-09-18,160.3,22331470,159.39,161.7639,158.8656,,21.682043,,,,,,167.2275,-62637764.0,19.206156,-121025800.0,,160.3,-0.08954125,-11.493514,35.018044
2018-09-19,163.06,19568020,160.08,163.44,159.48,,29.154526,,,,,,167.235,-46825220.0,24.815794,-101457780.0,,161.52,-0.02195891,-8.345441,36.373405
2018-09-20,166.02,18812060,164.5,166.45,164.4722,,36.18659,,,,,,167.2425,-36193144.0,23.235153,-82645720.0,,162.74,0.0025491775,-0.45389202,39.99332
2018-09-21,162.93,45847680,166.64,167.25,162.81,,32.553925,,,,44.969673,,167.25,-79562580.0,21.543943,-128493400.0,,163.96,-0.018693753,-0.52807885,45.289944
2018-09-24,165.41,18907320,161.03,165.7,160.88,,37.9388,,,,58.832294,,168.38,-62930410.0,22.267145,-109586080.0,,165.18,0.07905187,-4.0412107,55.80359
2018-09-25,164.91,27430470,161.99,165.59,161.15,,37.292343,,,0.43178627,73.33606,,169.51,-43902064.0,22.561018,-137016540.0,,166.4,0.16306445,-3.7667518,70.272316
2018-09-26,166.95,24271500,164.3,169.3,164.21,,41.660194,,,0.5489826,97.60533,,170.64,-42042360.0,31.113749,-112745050.0,,167.62,0.24579048,2.5184984,60.47584
2018-09-27,168.84,27192570,167.55,171.77,167.21,,45.451157,,,0.6763967,97.45466,,171.77,-49794628.0,39.076885,-85552480.0,,168.84,0.22234282,7.0329986,52.684265
2018-09-28,164.46,33786480,168.33,168.79,162.56,,39.108734,,,0.4669037,58.58299,167.52231,170.96428,-62972984.0,31.828016,-119338960.0,,166.9,0.16118027,-0.16457258,55.11249
2018-10-01,162.44,26260420,163.03,165.88,161.26,,36.573933,,,0.33173898,20.938345,167.44994,170.15857,-75818990.0,25.572294,-145599380.0,,164.96,0.11088924,-3.4267764,55.892986
2018-10-02,159.33,35303190,161.58,162.28,158.67,,33.024937,,,0.05463273,-17.812712,165.32666,169.35286,-98213540.0,24.832615,-180902580.0,,163.02,0.099561766,-7.915808,55.073574
2018-10-03,162.43,23086120,160.0,163.66,159.53,,39.343224,-88.0,,0.39011022,-2.088405,161.565,168.54715,-88878460.0,31.237173,-157816450.0,,161.08,0.16017179,-5.10355,56.3174
2018-10-04,158.85,25707300,161.46,161.46,157.35,,35.211964,-96.0,,0.062875785,3.7710958,159.3125,167.74142,-95821310.0,30.934933,-183523740.0,,159.14,0.09752633,-7.9701858,54.331287
