Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.2332,3000,3230.0,230.42,25.35,2,1,0,230.42,230.42,10,28,5,100,rsi/adx,0,I/I/I,D/D/I,0.045,-0.26,1,1,1
2023-02-08,2023-03-08,1.1172,3000,0,13.72,1.51,1,1,0,13.72,13.72,10,28,5,65,macd/aroon/zigzag,0,I/I/I/I,IGNORE,0.01,-0.08,1,1,1
2023-02-08,2023-03-08,1.8828,3000,0,264.83,29.13,1,1,0,264.83,264.83,10,28,5,75,bollinger/macd/bop/adl/zigzag,2,I/I/I/I/I/I,I/D/I/D/I/I,0.02,-0.15,1,1,1
2023-02-08,2023-03-08,1.3528,3000,0,105.85,11.64,1,1,0,105.85,105.85,10,28,5,190,pvo/chop/chandelier/adl,0,D/D/D/D/D,I/D/D/I/D,0.03,-0.08,1,1,1
2023-02-08,2023-03-08,1.2854,3000,3235.0,235.61,25.92,2,1,0,235.61,235.61,10,28,5,125,adl/chop,1,I/D/D,D/I/D,0.005,-0.28,1,1,1
2023-02-08,2023-03-08,2.0446,3000,0,313.37,34.47,1,1,0,313.37,313.37,10,28,5,35,bop/stochastic,1,I/I/D,D/I/D,0.075,-0.3,1,1,1
2023-02-08,2023-03-08,1.648,3000,3344.0,344.41,37.88,2,1,0,344.41,344.41,10,28,5,115,adx/pvo/chandelier/aroon/stochastic,2,I/I/D/I/I/I,D/D/I/I/D/D,0.045,-0.11,1,1,1
2023-02-08,2023-03-08,1.9382,3000,0,281.45,30.96,1,1,0,281.45,281.45,10,28,5,20,obv/stochastic,1,I/D/D,D/I/D,0.02,-0.25,1,1,1
2023-02-08,2023-03-08,1.1719,3000,3152.0,152.25,16.75,2,1,0,152.25,152.25,10,28,5,165,pvo,3,D/D,I/D,0.035,-0.08,1,1,1
2023-02-08,2023-03-08,1.9303,3000,0,279.08,30.7,1,1,0,279.08,279.08,10,28,5,40,bollinger/mfi,1,I/D/I,I/I/I,0.075,-0.19,1,1,1
2023-02-08,2023-03-08,1.8828,3000,0,264.83,29.13,1,1,0,264.83,264.83,10,28,5,30,rsi/adl,5,I/I/I,IGNORE,0.05,-0.16,1,1,1
2023-02-08,2023-03-08,1.2854,3000,3235.0,235.61,25.92,2,1,0,235.61,235.61,10,28,5,185,adl/elder,2,D/D/I,IGNORE,0.045,-0.09,1,1,1
2023-02-08,2023-03-08,1.3528,3000,0,105.85,11.64,1,1,0,105.85,105.85,10,28,5,5,adl,2,D/D,I/I,0.06,-0.03,1,1,1
2023-02-08,2023-03-08,1.1928,3000,0,57.55,6.33,1,1,0,57.55,57.55,10,28,5,50,rsi/mfi,1,I/I/I,IGNORE,0.005,-0.09,1,1,1
2023-02-08,2023-03-08,1.7854,3000,0,235.61,25.92,1,1,0,235.61,235.61,10,28,5,40,bop,0,I/I,IGNORE,0.045,-0.15,1,1,1
2023-02-08,2023-03-08,1.2588,3000,0,28.46,3.13,2,2,0,14.23,14.23,10,28,5,120,mfi/pvo/adx,1,I/I/D/I,D/I/I/I,0.005,-0.12,1,1,1
2023-02-08,2023-03-08,1.3828,3000,3264.0,264.83,29.13,2,1,0,264.83,264.83,10,28,5,90,adx/stochastic/bop/mfi,1,I/I/I/I/I,I/D/I/D/D,0.04,-0.25,1,1,1
2023-02-08,2023-03-08,1.1604,3000,3198.0,198.12,21.79,2,1,0,198.12,198.12,10,28,5,90,obv/chop/zigzag,1,I/I/D/I,I/D/D/D,0.04,-0.06,1,1,1
2023-02-08,2023-03-08,1.3824,3000,0,45.18,4.97,1,1,0,45.18,45.18,10,28,5,30,chandelier/bop/aroon,0,I/I/D/D,D/I/D/D,0.01,-0.11,1,1,1
2023-02-08,2023-03-08,1.7681,3000,0,230.42,25.35,1,1,0,230.42,230.42,10,28,5,5,stochastic/bop/mfi/chop,1,I/I/D/D/I,I/I/I/D/D,0.035,-0.29,1,1,1
2023-02-08,2023-03-08,1.1506,3000,0,45.18,4.97,1,1,0,45.18,45.18,10,28,5,30,adx,2,I/I,D/I,0.01,-0.16,1,1,1
2023-02-08,2023-03-08,1.8473,3000,3279.0,279.08,30.7,2,1,0,279.08,279.08,10,28,5,130,rsi/adx,1,I/I/I,D/I/D,0.03,-0.07,1,1,1
2023-02-08,2023-03-08,1.6567,3000,0,197.02,21.67,1,1,0,197.02,197.02,10,28,5,25,adl/elder,2,I/I/I,IGNORE,0.035,-0.25,1,1,1
2023-02-08,2023-03-08,1.9303,3000,0,279.08,30.7,1,1,0,279.08,279.08,10,28,5,95,bollinger,4,I/I,IGNORE,0.04,-0.17,1,1,1
2023-02-08,2023-03-08,1.9303,3000,0,279.08,30.7,1,1,0,279.08,279.08,10,28,5,70,bop,3,I/I,IGNORE,0.065,-0.23,1,1,1
2023-02-08,2023-03-08,1.1918,3000,0,57.55,6.33,1,1,0,57.55,57.55,10,28,5,40,adl/bollinger,2,I/I/D,I/D/D,0.01,-0.24,1,1,1
2023-02-08,2023-03-08,1.6504,3000,3271.0,271.84,29.9,2,1,0,271.84,271.84,10,28,5,25,obv,0,I/D,I/I,0.055,-0.23,1,1,1
2023-02-08,2023-03-08,2.2144,3000,0,313.37,34.47,1,1,0,313.37,313.37,10,28,5,40,bop,1,I/I,IGNORE,0.065,-0.12,1,1,1
