Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-07-03,1995-05-23,1995-06-02,1995-06-08,0.30
1995-10-02,1995-07-25,1995-09-05,1995-09-07,0.34
1996-01-02,1995-11-28,1995-12-06,1995-12-08,0.34
1996-04-01,1996-02-27,1996-03-06,1996-03-08,0.34
1996-07-01,1996-05-29,1996-06-06,1996-06-10,0.34
1996-10-01,1996-07-23,1996-09-04,1996-09-06,0.40
1997-01-02,1996-11-26,1996-12-05,1996-12-09,0.40
1997-04-01,1997-02-25,1997-03-05,1997-03-07,0.42
1997-07-01,1997-05-28,1997-06-05,1997-06-09,0.42
1997-10-01,1997-07-22,1997-09-03,1997-09-05,0.45
1998-01-02,1997-11-25,1997-12-03,1997-12-05,0.45
1998-04-01,1998-02-24,1998-03-04,1998-03-06,0.45
1998-07-01,1998-05-26,1998-06-03,1998-06-05,0.45
1998-10-01,1998-07-28,1998-09-02,1998-09-04,0.54
1999-01-04,1998-11-24,1998-12-02,1998-12-04,0.54
1999-04-01,1999-02-23,1999-03-03,1999-03-05,0.27
1999-07-01,1999-05-25,1999-06-02,1999-06-04,0.27
1999-10-01,1999-07-27,1999-09-01,1999-09-03,0.29
2000-01-03,1999-11-23,1999-12-01,1999-12-03,0.29
2000-04-03,2000-02-22,2000-03-01,2000-03-03,0.29
2000-07-03,2000-05-22,2000-05-31,2000-06-02,0.29
2000-10-02,2000-07-25,2000-08-30,2000-09-01,0.34
2001-01-02,2000-11-28,2000-12-06,2000-12-08,0.34
2001-04-02,2001-02-27,2001-03-07,2001-03-09,0.34
2001-07-02,2001-05-22,2001-05-31,2001-06-04,0.34
2001-10-01,2001-07-24,2001-08-30,2001-09-04,0.35
2002-01-02,2001-11-27,2001-12-05,2001-12-07,0.35
2002-04-01,2002-02-26,2002-03-06,2002-03-08,0.35
2002-07-01,2002-05-28,2002-06-05,2002-06-07,0.35
2002-10-01,2002-07-23,2002-09-04,2002-09-06,0.36
2003-01-02,2002-11-26,2002-12-04,2002-12-06,0.36
2003-04-01,2003-02-25,2003-03-05,2003-03-07,0.36
2003-07-01,2003-05-27,2003-06-04,2003-06-06,0.36
2003-10-01,2003-07-22,2003-09-03,2003-09-05,0.37
2004-01-02,2003-11-25,2003-12-03,2003-12-05,0.37
2004-04-01,2004-02-24,2004-03-03,2004-03-05,0.37
2004-07-01,2004-05-25,2004-06-02,2004-06-04,0.37
2004-10-01,2004-07-27,2004-09-01,2004-09-03,0.38
2005-01-03,2004-11-23,2004-12-01,2004-12-03,0.38
2005-04-01,2005-02-22,2005-03-02,2005-03-04,0.38
2005-07-01,2005-05-24,2005-06-01,2005-06-03,0.38
2005-10-03,2005-07-26,2005-08-31,2005-09-02,0.38
2006-07-03,2006-05-23,2006-05-31,2006-06-02,0.38
2006-10-02,2006-07-25,2006-08-30,2006-09-01,0.38
2007-01-02,2006-11-28,2006-12-06,2006-12-08,0.38
2007-04-02,2007-02-27,2007-03-07,2007-03-09,0.38
2007-07-02,2007-05-22,2007-06-06,2007-06-08,0.38
2007-10-01,2007-07-24,2007-09-05,2007-09-07,0.38
2008-01-02,2007-11-27,2007-12-05,2007-12-07,0.38
2008-04-01,2008-02-26,2008-03-05,2008-03-07,0.38
2008-07-01,2008-05-27,2008-06-04,2008-06-06,0.38
2008-10-01,2008-07-22,2008-09-03,2008-09-05,0.38
2009-01-02,2008-11-25,2008-12-03,2008-12-05,0.38
2009-04-01,2009-02-24,2009-03-04,2009-03-06,0.38
2009-07-01,2009-05-27,2009-06-04,2009-06-08,0.38
2009-10-01,2009-07-28,2009-09-02,2009-09-04,0.38
2010-01-08,2009-11-24,2009-12-11,2009-12-15,0.38
2010-04-07,2010-02-23,2010-03-11,2010-03-15,0.38
2010-07-08,2010-05-26,2010-06-11,2010-06-15,0.38
2010-10-07,2010-07-27,2010-09-13,2010-09-15,0.38
2011-01-07,2010-11-23,2010-12-13,2010-12-15,0.38
2011-04-07,2011-02-22,2011-03-11,2011-03-15,0.38
2011-07-08,2011-05-24,2011-06-13,2011-06-15,0.38
2011-10-07,2011-07-26,2011-09-13,2011-09-15,0.38
2012-01-09,2011-11-10,2011-12-13,2011-12-15,0.42
2012-04-06,2012-02-28,2012-03-13,2012-03-15,0.42
2012-07-09,2012-05-22,2012-06-13,2012-06-15,0.42
2012-10-05,2012-07-24,2012-09-13,2012-09-17,0.42
2013-01-08,2012-11-27,2012-12-13,2012-12-17,0.43
2013-04-05,2013-02-26,2013-03-13,2013-03-15,0.43
2013-07-08,2013-05-28,2013-06-13,2013-06-17,0.43
2013-10-07,2013-07-23,2013-09-12,2013-09-16,0.43
2014-01-08,2013-11-26,2013-12-12,2013-12-16,0.44
2014-04-07,2014-02-25,2014-03-13,2014-03-17,0.44
