date,close,volume,open,high,low
2013-03-08,41.4691,29273520,41.8841,41.9806,41.4209
2013-03-11,42.135,38641000,41.4498,42.1447,41.3726
2013-03-12,43.4668,56009090,43.8336,43.8336,43.3076
2013-03-13,43.0326,17926440,42.9843,43.1677,42.9264
2013-03-14,42.7237,25894480,43.1484,43.187,42.0771
2013-03-15,42.55,24299160,42.2991,42.55,42.2605
2013-03-18,42.1061,12117320,42.2508,42.4053,42.0482
2013-03-19,42.1736,15503810,42.1736,42.3087,42.0771
2013-03-20,42.579,14974240,42.4632,42.743,42.3474
2013-03-21,42.2605,11904520,42.4921,42.6369,42.2267
2013-03-22,42.3667,9960559,42.328,42.5693,42.2701
2013-03-25,42.164,13116990,42.4149,42.4632,41.9903
2013-03-26,42.8395,12114050,42.4149,42.8492,42.3667
2013-03-27,42.5597,10970170,42.5886,42.7044,42.3763
2013-03-28,42.6562,16648010,42.5114,42.7575,42.4246
2013-04-01,42.8009,9903235,42.4632,42.8202,42.2412
2013-04-02,43.3414,12787450,42.9553,43.4282,42.8715
2013-04-03,43.7757,25861080,43.4282,44.5477,43.4282
2013-04-04,43.7371,13967310,43.8046,44.2775,43.4379
2013-04-05,43.5537,12602040,43.4668,43.6502,43.3221
2013-04-08,43.8915,10150030,43.5151,43.8915,43.3896
2013-04-09,43.9204,10582560,44.1327,44.3354,43.7564
2013-04-10,45.204,18734820,44.3064,45.3294,44.181
2013-04-11,45.561,17538010,45.0496,45.8506,45.0496
2013-04-12,45.4645,10065150,45.0399,45.4838,45.0206
2013-04-15,44.8372,15349670,45.2522,45.8409,44.8372
2013-04-16,45.3198,10188700,45.0109,45.4066,44.8758
2013-04-17,45.1268,11777200,45.0882,45.2715,44.789
2013-04-18,44.9337,11272440,45.2233,45.3391,44.8691
2013-04-19,45.8313,12699930,45.2233,45.8313,45.0303
2013-04-22,46.2462,14264820,45.7927,46.2945,45.5321
2013-04-23,46.9314,17654200,46.2752,46.9942,46.2559
2013-04-24,46.2752,15546160,46.97,47.0859,46.1932
2013-04-25,45.6961,15955290,46.2752,46.3234,45.6286
2013-04-26,46.198,10614180,45.6189,46.391,45.4645
2013-04-29,46.1497,11375210,46.2076,46.4393,46.0532
2013-04-30,45.3584,19745600,46.0822,46.169,45.3584
2013-05-01,44.0941,39740710,43.2352,44.6876,43.0422
2013-05-02,44.1327,14245320,44.2968,44.403,43.9011
2013-05-03,44.0748,12878070,44.6346,44.76,43.8753
2013-05-06,43.4089,14097050,43.9204,44.3933,43.3993
2013-05-07,43.6888,14528640,43.5247,43.7178,43.3124
2013-05-08,43.4186,18309480,43.544,44.0073,43.3993
2013-05-09,43.9011,14177030,43.6695,44.0266,43.38
2013-05-10,44.345,13923860,43.9494,44.345,43.9011
2013-05-13,44.5574,10246330,44.2389,44.6153,44.0845
2013-05-14,45.0206,13416060,44.5091,45.1364,44.3933
2013-05-15,45.0978,13204200,45.0978,45.6093,44.8372
