date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,66.2329,5934447,66.4452,66.4645,65.9916,,,,,,,,,121725.81,,0.0,,,,,
2018-08-29,66.4066,5489281,65.9916,66.4886,65.8855,,,,,,,,,4118315.5,,5489281.0,,,,,
2018-08-30,66.146,4744437,66.2618,66.532,65.9578,,,,,,,,66.532,2483955.2,,744844.0,,,,,
2018-08-31,66.1943,5735562,65.9627,66.3487,65.7793,,,,,,,,66.7974,5108977.0,,6480406.0,,,,,
2018-09-04,65.5766,5768324,65.982,66.0206,65.5573,,,,,,,,67.0628,-178756.86,,712082.0,,,,,
2018-09-05,66.2232,6351346,65.5766,66.2908,65.538,,,,,,,,67.3282,5031911.5,,7063428.0,,,,,
2018-09-06,66.9567,9628648,66.561,67.1111,66.4162,,,,,,,,67.5936,10381776.0,,16692076.0,,,,,
2018-09-07,67.2366,9513702,66.7444,67.3427,66.4452,,,,,,,,67.859,17646110.0,,26205778.0,,,,,
2018-09-10,67.1304,7266703,67.555,68.1244,67.1014,,,,,,,,68.1244,10791401.0,,18939076.0,,,,,
2018-09-11,66.6672,5814168,67.362,67.362,66.6575,,,,,,,,68.237,5137339.0,,13124907.0,,,,,
2018-09-12,67.4199,6080234,66.976,67.5743,66.7058,,,,,,,,68.3496,9055712.0,,19205140.0,,,,,
2018-09-13,68.356,10210340,67.7094,68.4622,67.1497,,,,,,,,68.4622,17613728.0,,29415480.0,,,,,
2018-09-14,67.5357,7353918,68.2692,68.2692,67.2269,,,,,,,,68.44933,14617268.0,,22061564.0,,,,1.9450077,
2018-09-17,67.9604,6697275,67.4103,67.999,67.2173,,,,,,,,68.43647,20653126.0,,28758838.0,,,0.08203299,1.326678,
2018-09-18,67.9604,6800396,67.9507,68.4236,67.4537,,63.790215,,,,,,68.4236,20958124.0,70.00785,28758838.0,,,0.11481393,1.6975098,52.700893
2018-09-19,67.5357,7944187,67.6998,68.1051,67.2076,,59.449154,,,,,,68.64073,18822266.0,62.772606,20814652.0,,,0.05260303,1.0055369,53.638622
2018-09-20,68.3078,6140196,67.8928,68.356,67.6033,,64.21673,,,,,,68.857864,24176074.0,67.95435,26954848.0,,,0.10639019,1.3223602,54.40508
2018-09-21,68.6166,17031970,68.4332,69.075,68.4284,,65.94143,,,,87.865395,,69.075,17058786.0,76.278595,43986816.0,,,0.09759688,2.495566,47.800755
2018-09-24,68.3078,6438808,68.4429,68.8096,68.163,,62.68757,,,,92.06447,,69.17694,13503799.0,75.66628,37548010.0,,,0.1451746,1.735085,47.829872
2018-09-25,68.1823,5386634,68.3753,68.8868,68.0569,,61.36233,,,0.7631133,66.90301,,69.27888,9745033.0,70.663864,32161376.0,,,0.06721138,1.5451729,56.222214
2018-09-26,67.8735,6885058,68.4525,68.6649,67.7287,,58.10726,,,0.65698326,45.515213,,69.38081,4989768.5,63.670406,25276316.0,,,-0.017638046,0.94529104,59.438374
2018-09-27,68.2499,6026164,67.8735,68.6938,67.6371,,60.834476,,,0.74044156,49.400627,,69.48275,5952974.0,62.52879,31302480.0,,,-0.03136726,0.73237807,63.10282
2018-09-28,68.4622,6378526,68.2499,68.7131,68.1823,,62.324276,,,0.7761446,65.83643,66.588425,69.58469,6301461.5,62.2485,37681010.0,,,0.026848175,1.1074669,61.61488
2018-10-01,69.0316,7628528,68.5877,69.379,68.1437,,66.0539,,,0.9034863,92.1999,66.837,69.68662,9639290.0,68.287704,45309536.0,,,0.122960836,1.4097288,58.86406
2018-10-02,69.2439,9376679,69.4562,69.6492,68.607,,67.35163,,,0.9575216,97.04072,67.08063,69.78856,11722997.0,69.29717,54686216.0,,,0.07190264,1.8039675,62.350315
2018-10-03,68.8772,8631529,69.572,69.8905,68.8579,,62.880142,80.0,,0.82188547,76.1344,67.29787,69.8905,3414126.0,68.89737,46054684.0,,,-0.011348237,2.1101437,58.839653
2018-10-04,68.7324,9394627,68.6359,68.8675,67.999,,61.153633,80.0,,0.74587554,51.447544,67.29596,69.98122,9885980.0,67.56921,36660056.0,,,0.046854854,0.11016593,58.082115
2018-10-05,68.549,7433449,68.7421,69.186,68.1148,,58.94601,80.0,44.216457,0.6568031,34.63365,67.26782,70.07194,8478677.0,67.80903,29226608.0,,,-0.016287133,0.49565652,58.954865
2018-10-08,68.964,7968300,68.4525,69.1911,68.4139,,62.265526,80.0,43.12698,0.7939328,51.36265,67.28105,70.16266,11790258.0,68.16997,37194908.0,,,0.03000792,0.63944846,58.37618
