Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.3002,3000,3102.0,102.3,11.25,3,2,0,51.15,51.15,10,28,5,50,obv/zigzag,0,D/I/D,D/D/I,0.01,-0.3,1,1,1
2023-02-08,2023-03-08,0.7736,3000,3082.0,82.08,9.03,2,1,0,82.08,82.08,10,28,5,135,bollinger/elder,0,I/I/I,IGNORE,0.015,-0.21,1,1,1
2023-02-08,2023-03-08,1.0653,3000,0,19.6,2.16,1,1,0,19.6,19.6,10,28,5,30,stochastic,4,D/I,IGNORE,0.01,-0.05,1,1,1
2023-02-08,2023-03-08,1.4554,3000,0,84.58,9.3,1,1,0,84.58,84.58,10,28,5,10,adl/adx,0,I/I/I,D/I/D,0.07,-0.29,1,1,1
2023-02-08,2023-03-08,1.651,3000,0,154.99,17.05,2,2,0,77.49,77.49,10,28,5,170,chop/aroon,1,I/I/I,IGNORE,0.025,-0.3,1,1,1
2023-02-08,2023-03-08,1.3446,3000,3082.0,82.08,9.03,2,1,0,82.08,82.08,10,28,5,125,zigzag,0,I/I,IGNORE,0.015,-0.24,1,1,1
2023-02-08,2023-03-08,1.2504,3000,3121.0,121.35,13.35,2,1,0,121.35,121.35,10,28,5,135,adx,1,I/I,D/I,0.045,-0.26,1,1,1
2023-02-08,2023-03-08,1.4939,3000,0,78.9,8.68,2,2,0,39.45,39.45,10,28,5,20,adl/macd/chop,0,D/I/D/D,I/I/I/D,0.005,-0.02,1,1,1
2023-02-08,2023-03-08,1.3086,3000,0,92.59,10.18,2,2,0,46.29,46.29,10,28,5,145,pvo/bop/elder,2,I/D/I/I,IGNORE,0.01,-0.28,1,1,1
2023-02-08,2023-03-08,1.5116,3000,0,153.49,16.88,1,1,0,153.49,153.49,10,28,5,95,chop/bop/obv/elder,0,I/D/I/I/D,D/I/D/D/D,0.045,-0.2,1,1,1
2023-02-08,2023-03-08,1.2736,3000,0,82.08,9.03,1,1,0,82.08,82.08,10,28,5,195,aroon,3,I/I,IGNORE,0.01,-0.24,1,1,1
2023-02-08,2023-03-08,1.2004,3000,3121.0,121.35,13.35,2,1,0,121.35,121.35,10,28,5,150,adx,1,I/I,IGNORE,0.045,-0.17,1,1,1
2023-02-08,2023-03-08,1.6089,3000,0,144.76,15.92,1,1,0,144.76,144.76,10,28,5,100,bop,0,I/D,IGNORE,0.015,-0.07,1,1,1
2023-02-08,2023-03-08,1.2526,3000,0,44.7,4.92,2,2,0,22.35,22.35,10,28,5,185,pvo,1,I/I,I/D,0.005,-0.09,1,1,1
2023-02-08,2023-03-08,1.2736,3000,0,82.08,9.03,1,1,0,82.08,82.08,10,28,5,15,bop/chop,0,D/D/D,D/I/I,0.05,-0.21,1,1,1
2023-02-08,2023-03-08,1.5582,3000,0,82.08,9.03,1,1,0,82.08,82.08,10,28,5,30,pvo,2,D/I,I/I,0.015,-0.17,1,1,1
