Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2013-09-12,2013-06-12,2013-08-13,2013-08-15,0.23
2013-12-12,2013-09-16,2013-11-19,2013-11-21,0.28
2014-03-13,2013-11-19,2014-02-18,2014-02-20,0.28
2014-06-12,2014-03-11,2014-05-13,2014-05-15,0.28
2014-09-11,2014-06-10,2014-08-19,2014-08-21,0.28
2014-12-11,2014-09-16,2014-11-18,2014-11-20,0.31
2015-03-12,2014-12-03,2015-02-17,2015-02-19,0.31
2015-06-11,2015-03-10,2015-05-19,2015-05-21,0.31
2015-09-10,2015-06-09,2015-08-18,2015-08-20,0.31
2015-12-10,2015-09-15,2015-11-17,2015-11-19,0.36
2016-03-10,2015-12-02,2016-02-16,2016-02-18,0.36
2016-06-09,2016-03-15,2016-05-17,2016-05-19,0.36
2016-09-08,2016-06-14,2016-08-16,2016-08-18,0.36
2016-12-08,2016-09-20,2016-11-15,2016-11-17,0.39
2017-03-09,2016-11-30,2017-02-14,2017-02-16,0.39
2017-06-08,2017-03-14,2017-05-16,2017-05-18,0.39
2017-09-14,2017-06-13,2017-08-15,2017-08-17,0.39
2017-12-14,2017-09-19,2017-11-15,2017-11-16,0.42
2018-03-08,2017-11-29,2018-02-14,2018-02-15,0.42
2018-06-14,2018-03-12,2018-05-16,2018-05-17,0.42
2018-09-13,2018-06-13,2018-08-15,2018-08-16,0.42
2018-12-13,2018-09-18,2018-11-14,2018-11-15,0.46
2019-03-14,2018-11-28,2019-02-20,2019-02-21,0.46
2019-06-13,2019-03-11,2019-05-15,2019-05-16,0.46
2019-09-12,2019-06-12,2019-08-14,2019-08-15,0.46
2019-12-12,2019-09-18,2019-11-20,2019-11-21,0.51
2020-03-12,2019-12-04,2020-02-19,2020-02-20,0.51
2020-06-11,2020-03-09,2020-05-20,2020-05-21,0.51
2020-09-10,2020-06-17,2020-08-19,2020-08-20,0.51
2020-12-10,2020-09-15,2020-11-18,2020-11-19,0.56
2021-03-11,2020-12-02,2021-02-17,2021-02-18,0.56
2021-06-10,2021-03-16,2021-05-19,2021-05-20,0.56
2021-09-09,2021-06-16,2021-08-18,2021-08-19,0.56
2021-12-09,2021-09-14,2021-11-17,2021-11-18,0.62
2022-03-10,2021-12-07,2022-02-16,2022-02-17,0.62
2022-06-09,2022-03-14,2022-05-18,2022-05-19,0.62
2022-09-08,2022-06-14,2022-08-17,2022-08-18,0.62
2022-12-08,2022-09-19,2022-11-16,2022-11-17,0.68
2023-03-09,2022-11-29,2023-02-15,2023-02-16,0.68
2023-06-08,2023-03-14,2023-05-17,2023-05-18,0.68
2023-09-14,2023-06-13,2023-08-16,2023-08-17,0.68
