date,close,volume,open,high,low
2013-03-08,28.00,37664330,28.25,28.33,27.96
2013-03-11,27.87,36623800,27.94,27.97,27.67
2013-03-12,27.91,39249390,27.84,27.95,27.64
2013-03-13,27.915,29037180,27.87,28.02,27.75
2013-03-14,28.135,55909310,28.00,28.16,27.93
2013-03-15,28.035,92679320,28.03,28.16,27.98
2013-03-18,28.10,44821170,27.88,28.28,27.81
2013-03-19,28.18,51893870,28.12,28.22,28.03
2013-03-20,28.315,35446920,28.34,28.49,28.18
2013-03-21,28.11,34232750,28.11,28.36,28.05
2013-03-22,28.25,28688730,28.19,28.3379,28.10
2013-03-25,28.16,44153830,28.30,28.35,27.96
2013-03-26,28.155,27822150,28.24,28.34,28.11
2013-03-27,28.37,35894590,28.14,28.445,28.08
2013-03-28,28.605,55453460,28.32,28.66,28.26
2013-04-01,28.61,29085390,28.64,28.66,28.36
2013-04-02,28.80,28319520,28.59,28.85,28.52
2013-04-03,28.56,35046040,28.75,28.95,28.54
2013-04-04,28.595,45261610,28.39,28.61,28.27
2013-04-05,28.70,50924930,28.22,28.78,28.11
2013-04-08,28.59,34759420,28.73,28.73,28.47
2013-04-09,29.61,77730860,28.73,29.815,28.68
2013-04-10,30.28,70932030,29.57,30.32,29.52
2013-04-11,28.935,130892600,29.10,29.20,28.73
2013-04-12,28.79,62882260,28.85,29.02,28.66
2013-04-15,28.69,56325190,28.65,28.98,28.51
2013-04-16,28.97,52793550,28.90,29.14,28.695
2013-04-17,28.825,52840240,28.85,29.04,28.60
2013-04-18,28.79,56705180,28.95,28.98,28.50
2013-04-19,29.765,99788820,29.62,30.24,29.61
2013-04-22,30.83,137899300,30.30,31.18,30.27
2013-04-23,30.60,59026610,30.70,30.90,30.38
2013-04-24,31.76,90895310,30.62,31.92,30.60
2013-04-25,31.94,110581800,31.71,32.84,31.54
2013-04-26,31.79,47799180,31.90,31.98,31.45
2013-04-29,32.61,58978430,31.80,32.68,31.77
2013-04-30,33.10,75112220,32.56,33.11,32.28
2013-05-01,32.72,54327480,32.93,33.08,32.60
2013-05-02,33.16,46051240,32.63,33.17,32.39
