date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,110.26,19144860,109.94,110.5,109.79,,,,,,,,,6201856.0,,0.0,,,,,
2018-08-29,112.02,20747500,110.45,112.03,110.27,,,,,,,,,26713590.0,,20747500.0,,,,,
2018-08-30,111.95,22759640,111.67,112.61,111.44,,,,,,,,,23795686.0,,-2012140.0,,,,,
2018-08-31,112.33,23217310,111.685,112.777,111.515,,,,,,,,112.777,30565868.0,,21205170.0,,,,,
2018-09-04,111.71,22558040,110.85,111.955,110.22,,,,,,,,112.88289,46753052.0,,-1352870.0,,,,,
2018-09-05,108.49,32838650,111.01,111.42,108.1,,,,,,,,112.98878,21629504.0,,-34191520.0,,,,,
2018-09-06,108.74,23226430,108.25,108.99,107.51,,,,,,,,113.094666,37009170.0,,-10965090.0,,,,,
2018-09-07,108.21,22273530,108.23,108.7248,107.23,,,,,,,,113.200554,43940964.0,,-33238620.0,,108.21,,,
2018-09-10,109.38,19887280,108.84,109.64,108.36,,,,,,,,113.30644,55749036.0,,-13351340.0,,108.6725,,,
2018-09-11,111.24,24081240,108.9,111.59,108.89,,,,,,,,113.41233,73586990.0,,10729900.0,,109.135,,,
2018-09-12,111.71,18855340,111.43,111.85,110.51,,,,,,,,113.51822,88502410.0,,29585240.0,,109.5975,,,
2018-09-13,112.91,25107230,112.12,113.725,112.12,,,,,,,,113.62411,88111330.0,,54692470.0,,110.06,,,
2018-09-14,113.37,18261950,113.36,113.73,112.44,,,,,,,,113.73,96180560.0,,72954420.0,,110.5225,,4.2746153,
2018-09-17,112.14,20332830,113.69,113.7,111.86,,,,,,,,114.042,82035980.0,,52621590.0,,110.985,0.23589794,3.323956,
2018-09-18,113.21,22114560,112.19,113.695,111.72,,60.321903,,,,,,114.354,93289220.0,62.07917,74736150.0,,111.4475,0.24059448,2.581248,51.79708
2018-09-19,111.7,21663020,113.05,113.32,111.035,,54.158813,,,,,,114.666,84235310.0,55.313736,53073130.0,,111.91,0.13467626,1.4403554,52.554676
2018-09-20,113.57,23667500,112.28,113.8,111.93,,59.656124,,,,,,114.978,102080856.0,55.475163,76740630.0,,112.3725,0.1668565,2.2117333,53.479633
2018-09-21,114.26,70363000,114.0,115.29,113.51,,61.491173,,,,86.69698,,115.29,91012520.0,61.413704,147103630.0,,112.835,0.1407832,4.5671997,46.45594
2018-09-24,114.67,25273510,113.03,114.9,112.2175,,62.580326,,,,101.40876,,115.40125,111952080.0,60.86349,172377140.0,,113.2975,0.14904697,2.1550999,47.237675
2018-09-25,114.45,20782110,114.8,115.1,113.75,,61.573975,,,0.8461791,91.85697,,115.5125,112721790.0,68.66296,151595020.0,,113.76,0.18474533,3.3250856,44.053173
2018-09-26,113.98,19322530,114.47,115.055,113.74,,59.377174,,,0.7571883,85.46226,,115.62375,100452350.0,69.200424,132272500.0,,114.2225,0.1344807,2.9222162,43.809845
2018-09-27,114.41,19053590,114.78,114.91,114.2,,60.756653,,,0.7870523,83.878624,,115.735,92669896.0,75.130615,151326100.0,,114.685,0.09821306,2.8161855,47.854248
2018-09-28,114.37,20525950,114.19,114.57,113.68,,60.550663,,,0.7592465,82.6884,109.994385,115.84625,103970700.0,69.31875,130800140.0,,115.1475,0.08252536,1.6067303,50.854103
2018-10-01,115.61,18610500,114.75,115.68,114.73,,64.561775,,,0.8675107,96.26756,110.44646,115.9575,119838600.0,68.91342,149410640.0,,115.61,0.08528225,3.1129117,56.727383
2018-10-02,115.15,20180030,115.3,115.84,114.44,,62.04161,,,0.78547245,92.54275,110.65344,116.06875,120126890.0,63.177803,129230610.0,,114.82823,0.06270382,2.5539243,59.599976
2018-10-03,115.17,16130010,115.42,116.18,114.93,,62.110863,72.0,,0.76724505,85.513306,111.05874,116.18,110190800.0,62.24273,145360620.0,,114.04647,0.013260113,3.0105066,55.73672
2018-10-04,112.79,34475710,114.61,114.7588,111.63,,50.34102,72.0,,0.4568713,36.85641,110.80879,115.743,101278776.0,54.257557,110884910.0,,113.26471,-0.028843073,-1.3507658,59.364006
2018-10-05,112.13,29062670,112.63,113.17,110.64,,47.64471,72.0,15.751121,0.30765408,6.675228,110.70794,115.306,106448024.0,52.983444,81822240.0,,112.48294,0.017211417,-3.4324849,57.60735
2018-10-08,110.85,29477750,111.66,112.03,109.34,,42.851124,72.0,16.67849,0.038003683,-11.268447,110.57622,114.869,110064260.0,46.052856,52344490.0,,111.70118,-0.041186508,-5.0807014,50.81955
2018-10-09,112.26,26187200,111.14,113.08,110.8,,48.9448,72.0,16.795801,0.27537814,21.412746,110.52003,114.432,117415050.0,52.422295,78531690.0,,110.91941,0.0361019,-2.2948868,50.812305
2018-10-10,106.16,60560740,111.24,111.5,105.79,,32.699986,-20.0,18.617737,-0.36061785,14.311486,109.89502,113.995,64702810.0,42.267754,17970950.0,,110.13765,-0.076720014,-6.905617,40.827324
2018-10-11,105.91,63629560,105.35,108.93,104.2,,32.227886,-24.0,20.685385,-0.16956127,11.521954,109.535706,113.558,47080244.0,25.577965,-45658610.0,,109.35588,-0.07869674,-9.297672,38.92815
2018-10-12,109.57,46718940,109.01,111.24,107.12,,44.79396,-24.0,21.289164,0.21414496,20.10144,109.1109,113.121,55925092.0,35.19094,1060330.0,,108.57412,-0.11265729,-3.5980046,41.813026
