Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1996-10-11,N/A,1996-06-14,1996-06-18,1.0031
1996-10-11,N/A,1996-06-14,1996-06-18,1.0031
1997-02-27,N/A,1996-12-13,1996-12-17,0.7455
1997-02-27,N/A,1996-12-13,1996-12-17,0.7455
1997-10-14,N/A,1997-06-13,1997-06-17,1.1237
1997-10-14,N/A,1997-06-13,1997-06-17,1.1237
1998-02-26,N/A,1997-12-03,1997-12-05,0.8193
1998-02-26,N/A,1997-12-03,1997-12-05,0.8193
1998-02-26,N/A,1998-01-07,1998-01-09,7.7476
1998-10-13,N/A,1998-06-15,1998-06-17,0.6322
1998-10-13,N/A,1998-06-15,1998-06-17,0.6322
1999-02-25,N/A,1998-12-02,1998-12-04,0.435
1999-02-25,N/A,1998-12-02,1998-12-04,0.435
1999-08-26,N/A,1999-06-03,1999-06-07,0.6067
1999-08-26,N/A,1999-06-03,1999-06-07,0.6067
2000-01-27,N/A,1999-12-08,1999-12-10,0.4562
2000-01-27,N/A,1999-12-08,1999-12-10,0.4562
2000-08-25,N/A,2000-06-01,2000-06-05,0.6275
2000-08-25,N/A,2000-06-01,2000-06-05,0.6275
2001-01-25,N/A,2000-12-05,2000-12-07,0.4452
2001-01-25,N/A,2000-12-05,2000-12-07,0.4452
2001-08-27,N/A,2001-06-04,2001-06-06,0.6453
2001-08-27,N/A,2001-06-04,2001-06-06,0.6453
2002-01-25,N/A,2001-11-28,2001-11-30,0.4652
2002-01-25,N/A,2001-11-28,2001-11-30,0.4652
2002-08-26,N/A,2002-06-05,2002-06-07,0.7334
2002-08-26,N/A,2002-06-05,2002-06-07,0.7334
2003-08-20,N/A,2003-05-28,2003-05-30,0.8396
2004-01-21,N/A,2003-11-25,2003-11-28,0.669
2004-08-23,N/A,2004-06-02,2004-06-04,1.05
2005-01-24,N/A,2004-12-01,2004-12-03,0.7865
2005-08-24,N/A,2005-06-08,2005-06-10,1.3869
2006-08-23,N/A,2006-06-07,2006-06-09,1.5115
2007-01-24,N/A,2006-11-29,2006-12-01,1.0279
2007-08-22,N/A,2007-06-06,2007-06-08,1.7638
2008-01-23,N/A,2007-11-28,2007-11-30,1.2153
2008-08-20,N/A,2008-06-04,2008-06-06,2.0497
2009-01-21,N/A,2008-12-03,2008-12-05,0.9476
2009-08-19,N/A,2009-06-03,2009-06-05,1.7437
2010-01-20,N/A,2009-12-02,2009-12-04,1.148
2010-06-22,N/A,2010-06-15,2010-05-27,4.233004
2010-08-18,N/A,2010-06-02,2010-06-04,1.7737
2011-01-19,N/A,2010-12-01,2010-12-03,1.0239
2011-08-17,N/A,2011-06-01,2011-06-03,1.9005
2012-01-18,N/A,2011-11-30,2011-12-02,1.0967
2012-08-15,N/A,2012-05-30,2012-06-01,2.0166
2013-01-16,N/A,2012-11-28,2012-11-30,1.1497
2013-08-21,N/A,2013-06-05,2013-06-07,1.9888
2014-01-22,N/A,2013-12-04,2013-12-06,1.1594
2014-08-20,N/A,2014-07-29,2014-06-06,2.2907
2015-01-07,N/A,2014-11-19,2014-11-21,1.1618
2015-08-05,N/A,2015-06-03,2015-06-05,2.1666
2016-01-13,N/A,2015-11-24,2015-11-27,1.1223
2016-08-10,N/A,2016-06-01,2016-06-03,2.0245
2017-01-11,N/A,2016-11-22,2016-11-25,0.9327
2017-06-02,N/A,2017-05-17,2017-05-19,5.4074
2017-08-16,N/A,2017-05-31,2017-06-02,1.8724
2018-01-10,2017-11-14,2017-11-22,2017-11-24,1.0069
2018-08-15,2018-05-19,2018-05-31,2018-06-01,2.0606
2019-01-09,2018-11-12,2018-11-21,2018-11-23,1.0616
2019-08-14,2019-05-21,2019-05-30,2019-05-31,2.0256
2020-01-15,2019-11-15,2019-11-27,2019-11-29,1.0673
2020-08-19,N/A,2020-07-01,2020-07-02,2.0126
2021-01-13,N/A,2020-11-25,2020-11-27,1.1285
2021-08-18,N/A,2021-06-03,2021-06-04,2.2812
2022-01-19,N/A,2021-12-02,2021-12-03,1.1573
2022-08-17,2022-05-23,2022-06-03,2022-06-06,2.0929
2023-01-11,2022-11-10,2022-11-23,2022-11-25,1.0307
2023-08-09,2023-05-23,2023-06-01,2023-06-02,2.3458
