date,close,volume,open,high,low
2013-07-11,63.338,303167,62.9452,63.4034,62.6725
2013-07-12,62.9561,279347,62.7925,63.0216,62.6398
2013-07-15,63.087,431481,62.978,63.1743,62.847
2013-07-16,63.1307,352589,63.0761,63.3488,62.8689
2013-07-17,62.7925,572801,63.2289,63.2999,62.5416
2013-07-18,63.6434,281016,63.4689,63.807,63.3816
2013-07-19,64.4289,313310,64.1234,64.5489,64.047
2013-07-22,64.8543,308868,64.5052,64.9416,64.4834
2013-07-23,64.407,412084,64.7234,64.9296,64.1016
2013-07-24,64.3634,238992,64.6579,64.6579,64.1998
2013-07-25,64.2652,375884,64.0034,64.3089,63.927
2013-07-26,63.9707,366319,64.1779,64.1779,63.6539
2013-07-29,63.9707,469324,63.7525,64.0907,63.7307
2013-07-30,63.8943,274672,64.9852,65.0398,63.8834
2013-07-31,65.007,418409,64.9089,65.3889,64.7889
2013-08-01,65.2907,265081,65.4979,65.6506,65.0452
2013-08-02,65.5416,274186,65.367,65.6398,65.0354
2013-08-05,65.5089,228909,65.7489,65.7816,65.1379
2013-08-06,65.247,268710,65.4543,65.6398,65.067
2013-08-07,65.3779,315121,65.4543,65.7085,65.2143
2013-08-08,65.4216,1826056,65.3779,65.5634,64.9852
2013-08-09,64.9634,505742,65.1052,65.247,64.7998
2013-08-12,64.0143,771987,64.3525,64.4616,63.8289
2013-08-13,64.1125,254581,63.8179,64.3089,63.5234
2013-08-14,63.6543,228168,63.807,63.807,63.3816
2013-08-15,63.087,341198,63.1416,63.207,62.5852
2013-08-16,62.8361,510405,63.0325,63.0543,62.5089
2013-08-19,62.3998,368321,62.7489,62.8841,62.3125
2013-08-20,63.3816,511348,63.1416,63.6434,63.1198
2013-08-21,63.1961,677991,63.5125,63.6679,63.1089
2013-08-22,62.8252,262370,62.487,62.978,62.3561
2013-08-23,63.3052,265396,62.8907,63.3161,62.8034
2013-08-26,62.8907,249408,63.338,63.338,62.7489
2013-08-27,62.607,298290,62.3889,62.9234,62.378
2013-08-28,62.8361,172539,62.607,63.0545,62.4661
