date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,53.12,442007,53.41,53.41,53.07,,,,,,,,,-312004.94,,0.0,,,,,
2018-08-29,53.32,385524,53.26,53.4,53.11,,,,,,,,,-139183.84,,385524.0,,53.32,,,
2018-08-30,53.09,313239,52.93,53.26,52.9,,,,,,,,,-121781.67,,72285.0,,53.17421,,,
2018-08-31,53.0,454204,53.47,53.62,52.84,,,,,,,,53.62,-389645.56,,-381919.0,,53.02842,,,
2018-09-04,52.51,654399,52.25,52.65,52.25,,,,,,,,53.54,-193325.88,,-1036318.0,,52.882633,,,
2018-09-05,52.63,586386,52.57,52.84,52.4175,,,,,,,,53.46,-189856.12,,-449932.0,,52.736843,,,
2018-09-06,53.17,558590,53.13,53.38,52.92,,,,,,,,53.38,-141283.08,,108658.0,,52.591053,,,
2018-09-07,52.39,492156,52.62,52.79,52.32,,,,,,,,53.33286,-486839.44,,-383498.0,,52.445263,,,
2018-09-10,52.93,569979,53.04,53.07,52.7501,,,,,,,,53.285713,-415747.97,,186481.0,,52.299473,,,
2018-09-11,52.79,675048,52.94,53.0224,52.65,,,,,,,,53.23857,-583241.06,,-488567.0,,52.153683,,,
2018-09-12,52.76,410291,52.46,52.93,52.46,,,,,,,,53.19143,-469756.3,,-898858.0,,52.007896,,,
2018-09-13,52.91,318835,52.85,52.91,52.61,,,,,,,,53.144287,-150921.33,,-580023.0,,51.862106,,,
2018-09-14,52.43,618838,52.46,52.56,52.25,,,,,,,,53.09714,-51108.742,,-1198861.0,,51.716316,,-0.89,
2018-09-17,52.98,445139,52.79,53.05,52.715,,,,,,,,53.05,208002.02,,-753722.0,,51.570526,0.010534291,0.027857143,
2018-09-18,52.91,374447,52.84,52.97,52.6938,,47.61905,,,,,,53.015,419763.88,48.546474,-1128169.0,,51.424736,0.089561485,-0.08517959,65.176254
2018-09-19,51.36,956649,51.89,51.96,51.275,,34.543842,,,,,,52.98,-299468.6,39.719715,-2084818.0,,51.278946,0.019517258,-2.0812683,50.946438
2018-09-20,52.45,592744,52.16,52.52,51.95,,45.811947,,,,,,52.945,147689.16,45.961468,-1492074.0,,51.13316,0.024112077,-0.78680134,53.941807
2018-09-21,52.07,465657,52.03,52.3,51.895,,43.030815,,,,25.167524,,52.91,84451.79,39.992764,-1957731.0,,50.98737,0.074207045,-0.9022583,57.147076
2018-09-24,51.46,543911,51.73,51.8228,51.41,,38.94375,,,,32.20298,,52.875,-327697.8,40.62312,-2501642.0,,50.84158,-0.018940795,-1.5534214,56.786808
2018-09-25,50.79,528013,51.4,51.41,50.77,,35.01043,,,-0.17720996,-5.007474,,52.84,-822710.0,33.217518,-3029655.0,,50.69579,-0.097164854,-2.1481898,49.699554
