Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.335,3000,3103.0,103.46,11.38,2,1,0,103.46,103.46,10,28,5,130,rsi,0,I/D,IGNORE,0.005,-0.07,1,1,1
2023-06-13,2023-07-11,0.8988,3000,3103.0,103.46,11.38,2,1,0,103.46,103.46,10,28,5,195,obv/chop/adx,0,I/I/I/D,IGNORE,0.01,-0.2,1,1,1
2023-06-13,2023-07-11,1.2053,3000,3065.0,65.96,7.26,2,1,0,65.96,65.96,10,28,5,150,pivots/macd,1,I/I/D,D/I/D,0.015,-0.21,1,1,1
2023-06-13,2023-07-11,1.1297,3000,3103.0,103.46,11.38,2,1,0,103.46,103.46,10,28,5,80,pvo,2,I/D,D/D,0.005,-0.19,1,1,1
2023-06-14,2023-07-12,1.1009,3000,3107.0,107.21,11.79,2,1,0,107.21,107.21,10,28,5,120,bop,1,I/D,I/I,0.005,-0.11,1,1,1
2023-06-14,2023-07-12,0.9423,3000,3069.0,69.66,7.66,2,1,0,69.66,69.66,10,28,5,200,stochastic,0,I/I,D/D,0.015,-0.29,1,1,1
2023-06-14,2023-07-12,0.9834,3000,3069.0,69.66,7.66,2,1,0,69.66,69.66,10,28,5,155,elder,2,I/D,IGNORE,0.015,-0.25,1,1,1
2023-06-14,2023-07-12,1.4756,3000,0,69.66,7.66,1,1,0,69.66,69.66,10,28,5,15,aroon/elder/zigzag,0,D/D/I/D,D/D/D/D,0.02,-0.24,1,1,1
2023-06-14,2023-07-12,1.3574,3000,0,107.21,11.79,1,1,0,107.21,107.21,10,28,5,15,chop/stochastic/obv/pivots,0,D/I/I/I/D,IGNORE,0.01,-0.05,1,1,1
2023-06-14,2023-07-12,1.4069,3000,0,54.6,6.01,2,2,0,27.3,27.3,10,28,5,165,mfi,0,I/D,D/D,0.015,-0.01,1,1,1
2023-06-14,2023-07-12,0.9896,3000,3069.0,69.66,7.66,2,1,0,69.66,69.66,10,28,5,15,macd,1,D/I,IGNORE,0.015,-0.15,1,1,1
2023-06-14,2023-07-12,1.065,3000,3069.0,69.66,7.66,2,1,0,69.66,69.66,10,28,5,195,pvo/obv,1,I/I/I,I/I/D,0.015,-0.08,1,1,1
2023-06-14,2023-07-12,1.3413,3000,3076.0,76.93,8.46,3,2,0,38.47,38.47,10,28,5,65,chop/bop/chandelier,0,D/I/D/I,D/D/I/I,0.005,-0.21,1,1,1
2023-06-14,2023-07-12,0.7322,3000,3069.0,69.66,7.66,2,1,0,69.66,69.66,10,28,5,105,macd/bop/chop,1,I/D/D/D,IGNORE,0.015,-0.14,1,1,1
2023-06-15,2023-07-13,1.2108,3000,0,63.25,6.96,1,1,0,63.25,63.25,10,28,5,165,adl/adx/pvo/mfi,1,I/I/D/D/D,D/I/I/D/I,0.01,-0.05,1,1,1
2023-06-15,2023-07-13,1.2715,3000,0,63.25,6.96,1,1,0,63.25,63.25,10,28,5,5,aroon/stochastic,0,I/I/I,D/D/I,0.095,-0.01,1,1,1
2023-06-15,2023-07-13,0.7993,3000,3016.0,16.13,1.77,2,1,0,16.13,16.13,10,28,5,20,adl/obv,0,I/I/D,I/D/I,0.005,-0.22,1,1,1
2023-06-15,2023-07-13,1.1142,3000,3088.0,88.12,9.69,2,1,0,88.12,88.12,10,28,5,105,adx,1,I/I,IGNORE,0.005,-0.17,1,1,1
2023-06-15,2023-07-13,1.2291,3000,0,47.17,5.19,2,2,0,23.58,23.58,10,28,5,195,chop/pivots,0,I/I/I,D/I/I,0.005,-0.02,1,1,1
2023-06-15,2023-07-13,1.2108,3000,0,63.25,6.96,1,1,0,63.25,63.25,10,28,5,60,pvo,5,D/D,I/I,0.005,-0.14,1,1,1
2023-06-15,2023-07-13,1.3734,3000,0,13.41,1.47,1,1,0,13.41,13.41,10,28,5,40,bop,0,D/D,IGNORE,0.005,-0.04,1,1,1
2023-06-15,2023-07-13,0.9087,3000,3050.0,50.8,5.59,2,1,0,50.8,50.8,10,28,5,95,zigzag/bop,0,I/I/D,D/D/D,0.015,-0.27,1,1,1
2023-06-15,2023-07-13,1.372,3000,0,50.8,5.59,1,1,0,50.8,50.8,10,28,5,15,obv/elder,0,D/I/I,D/D/I,0.1,-0.02,1,1,1
2023-06-15,2023-07-13,1.5883,3000,0,50.8,5.59,1,1,0,50.8,50.8,10,28,5,10,elder,1,D/I,I/I,0.01,-0.22,1,1,1
2023-06-18,2023-07-16,1.3261,3000,3109.0,109.79,12.08,2,1,0,109.79,109.79,10,28,5,20,bollinger/chandelier,0,D/D/D,D/D/I,0.015,-0.25,1,1,1
2023-06-18,2023-07-16,2.079,3000,0,150.56,16.56,1,1,0,150.56,150.56,10,28,5,15,bollinger/chop,0,D/D/D,I/I/D,0.045,-0.07,1,1,1
2023-06-18,2023-07-16,1.8395,3000,0,169.15,18.61,1,1,0,169.15,169.15,10,28,5,90,bop,1,I/D,D/I,0.045,-0.13,1,1,1
2023-06-18,2023-07-16,1.2066,3000,0,26.7,2.94,1,1,0,26.7,26.7,10,28,5,155,chop,0,I/D,I/I,0.005,-0.26,1,1,1
2023-06-18,2023-07-16,1.2108,3000,0,63.25,6.96,1,1,0,63.25,63.25,10,28,5,160,pvo/adl/macd,5,I/D/I/D,D/I/I/I,0.01,-0.14,1,1,1
2023-06-18,2023-07-16,1.2671,3000,0,13.41,1.47,1,1,0,13.41,13.41,10,28,5,30,mfi/stochastic/chandelier/bop/obv,0,D/D/D/D/D/D,I/I/D/I/I/D,0.005,-0.3,1,1,1
2023-06-18,2023-07-16,1.6616,3000,0,150.56,16.56,1,1,0,150.56,150.56,10,28,5,60,macd,0,D/D,IGNORE,0.04,-0.2,1,1,1
2023-06-18,2023-07-16,1.5862,3000,0,129.89,14.29,2,2,0,64.94,64.94,10,28,5,190,stochastic,1,I/D,I/I,0.025,-0.26,1,1,1
2023-06-18,2023-07-16,1.3179,3000,0,26.7,2.94,1,1,0,26.7,26.7,10,28,5,30,bollinger,1,D/I,I/D,0.005,-0.1,1,1,1
2023-06-18,2023-07-16,2.0776,3000,0,129.03,14.19,2,2,0,64.52,64.52,10,28,5,60,zigzag,0,D/D,D/I,0.015,-0.07,1,1,1
2023-06-18,2023-07-16,1.3237,3000,0,64.44,7.09,1,1,0,64.44,64.44,10,28,5,55,rsi/bop,0,D/D/D,IGNORE,0.005,-0.25,1,1,1
2023-06-18,2023-07-16,1.5019,3000,0,150.56,16.56,1,1,0,150.56,150.56,10,28,5,30,bollinger,2,D/I,IGNORE,0.03,-0.28,1,1,1
2023-06-18,2023-07-16,1.2052,3000,0,61.57,6.77,1,1,0,61.57,61.57,10,28,5,80,pvo/obv,4,D/D/I,D/D/D,0.01,-0.08,1,1,1
2023-06-18,2023-07-16,1.1885,3000,0,22.87,2.52,1,1,0,22.87,22.87,10,28,5,60,pvo,1,D/D,IGNORE,0.005,-0.21,1,1,1
