date,close,volume,open,high,low
2013-07-11,44.43,1840405,44.015,44.81,43.90
2013-07-12,45.46,3342527,44.84,46.535,44.82
2013-07-15,45.26,959869,45.43,45.92,44.96
2013-07-16,43.99,1891082,45.31,45.3825,43.91
2013-07-17,43.73,1135474,44.36,44.62,43.70
2013-07-18,44.84,1359531,43.73,45.07,43.53
2013-07-19,43.89,717793,44.55,44.55,43.84
2013-07-22,43.83,787051,44.00,44.01,43.62
2013-07-23,43.52,670814,44.00,44.00,43.41
2013-07-24,44.54,1067711,43.95,44.94,43.95
2013-07-25,45.38,805428,44.47,45.57,44.47
2013-07-26,44.14,712979,45.09,45.29,44.05
2013-07-29,43.75,889802,44.10,44.62,43.60
2013-07-30,43.21,1061061,43.75,43.91,42.89
2013-07-31,43.58,1652124,43.29,43.91,43.16
2013-08-01,46.40,4927017,46.09,47.43,42.57
2013-08-02,45.62,3899374,45.60,46.00,45.19
2013-08-05,44.01,1146878,45.36,45.36,43.91
2013-08-06,42.30,2022355,43.50,43.68,41.93
2013-08-07,41.64,1371536,42.24,42.31,41.35
2013-08-08,42.68,928916,41.71,42.88,41.33
2013-08-09,42.49,1123300,42.60,42.96,42.17
2013-08-12,42.06,964475,41.90,43.00,41.77
2013-08-13,41.59,690683,42.16,42.16,41.35
2013-08-14,43.51,1712350,41.59,43.56,41.53
2013-08-15,43.61,1890947,42.92,43.61,42.68
2013-08-16,44.47,2291121,43.69,44.61,43.32
2013-08-19,43.88,1747441,44.35,44.38,43.6625
2013-08-20,44.48,895767,43.65,44.61,43.52
2013-08-21,45.46,3527247,44.20,46.03,44.02
2013-08-22,45.56,1814773,45.14,46.60,45.04
2013-08-23,45.74,1788446,45.45,46.27,45.45
2013-08-26,47.35,2248969,45.82,47.83,45.58
2013-08-27,46.08,1731510,46.72,46.72,45.61
2013-08-28,46.43,1026767,46.46,46.83,45.87
2013-08-29,47.00,766858,45.92,47.03,45.90
2013-08-30,46.88,2180021,46.90,47.05,45.98
2013-09-03,46.90,1930448,47.10,47.64,46.41
2013-09-04,47.20,1213111,47.60,47.60,46.12
2013-09-05,47.60,1251117,47.25,48.09,46.80
2013-09-06,46.95,1980283,47.81,48.00,46.52
2013-09-09,49.14,1801535,47.02,49.47,46.61
2013-09-10,49.88,927188,49.30,49.97,49.15
2013-09-11,49.89,1185110,49.86,50.27,49.55
2013-09-12,49.45,1246351,50.00,50.35,49.41
2013-09-13,48.79,1667086,49.44,49.55,47.34
2013-09-16,48.75,1324390,48.96,49.85,48.215
2013-09-17,49.34,1454753,48.62,49.41,48.62
2013-09-18,51.22,2185496,50.668,51.65,50.44
2013-09-19,51.57,990212,51.40,51.75,51.08
2013-09-20,52.23,3875145,51.63,52.26,51.26
2013-09-23,51.82,1414366,52.00,52.39,51.50
2013-09-24,52.59,1064398,51.72,53.11,51.57
2013-09-25,52.35,1009900,52.68,53.11,52.18
2013-09-26,52.39,1147424,52.58,52.78,52.13
2013-09-27,52.52,838420,52.44,53.00,52.36
2013-09-30,51.95,1383145,52.10,52.34,51.17
2013-10-01,51.49,1288635,51.60,51.89,50.61
2013-10-02,52.27,1158196,51.35,52.42,51.215
2013-10-03,52.15,1512797,52.39,52.90,51.56
2013-10-04,54.43,1688824,53.09,55.46,52.81
2013-10-07,53.25,1235713,54.26,55.46,53.135
2013-10-08,48.91,4258244,53.06,53.06,47.64
2013-10-09,48.08,1583064,48.92,49.08,47.3701
2013-10-10,51.60,1422388,49.05,51.82,48.70
