date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,194.26,1187034,193.78,194.77,191.52,,,,,,,,,814487.94,,0.0,,,,,
2018-08-29,200.23,2993241,194.27,201.0,194.27,,,,,,,,,3122797.2,,2993241.0,,,,,
2018-08-30,198.45,1649675,199.5,200.0395,196.46,,,,,,,,,3307374.5,,1343566.0,,,,,
2018-08-31,196.36,1082996,198.0,199.44,195.37,,,,,,,,,2751241.5,,260570.0,,,,,
2018-09-04,200.26,1692422,195.95,200.66,195.3,,,,,,,,200.66,4191063.2,,1952992.0,,,,,
2018-09-05,190.76,2704156,200.0,200.0,188.3,,,,,,,,201.465,2624039.5,,-751164.0,,,,,
2018-09-06,193.18,1840553,191.92,194.33,189.24,,,,,,,,202.27,3632908.2,,1089389.0,,,,,
2018-09-07,196.98,1631581,192.94,198.5,191.33,,,,,,,,203.075,4572717.0,,2720970.0,,,,,
2018-09-10,199.01,2147656,199.88,199.88,195.5,,,,,,,,203.88,5867195.0,,4868626.0,,,,,
2018-09-11,199.5,1765007,198.0,202.72,197.245,,,,,,,,204.685,5556102.0,,6633633.0,,,,,
2018-09-12,202.77,1605323,199.84,203.34,195.29,,,,,,,,205.49,6934087.5,,8238956.0,,,,,
2018-09-13,204.58,1469688,204.0,206.295,203.06,,,,,,,,206.295,6845497.5,,9708644.0,,204.58,,,
2018-09-14,202.97,1222809,204.12,205.34,202.15,,,,,,,,205.47166,6251342.5,,8485835.0,,199.935,,10.673077,
2018-09-17,192.82,2312441,201.88,201.95,192.65,,,,,,,,204.64833,4023442.5,,6173394.0,,195.29,0.031876374,-0.62021977,
2018-09-18,191.88,2295300,193.02,195.78,191.55,,47.60852,,,,,,203.825,2086274.4,50.856655,3878094.0,,190.645,0.0020766712,-6.2530456,58.078114
2018-09-19,186.0,3928715,191.5,192.61,182.73,,42.233955,,,,,,203.00166,758146.0,38.41686,-50621.0,,186.0,-0.1009424,-15.159753,49.261337
2018-09-20,187.35,2883786,187.0,188.94,184.25,,43.80257,,,,,,202.17833,1686614.4,36.95544,2833165.0,,188.9025,-0.074659266,-15.052646,49.662365
2018-09-21,189.69,2880716,188.37,190.57,187.8,,46.513714,,,,24.065525,,201.355,2736983.8,44.125378,5713881.0,,191.805,-0.011839076,-8.606553,49.292
2018-09-24,193.12,2061465,187.63,194.07,185.67,,50.298725,,,,46.648167,,200.53166,4332165.0,44.663067,7775346.0,,194.7075,-0.022591436,-7.1313314,50.600246
2018-09-25,197.61,2105914,194.28,198.47,193.94,,54.80721,,,0.5841144,71.655235,,199.70833,5638482.5,52.571594,9881260.0,,197.61,0.08632591,4.3460016,47.695686
2018-09-26,195.71,1332256,197.61,198.885,194.69,,52.6315,,,0.4876757,75.13497,,198.885,4954093.5,53.413612,8549004.0,,195.29454,0.036292747,5.031573,47.28472
2018-09-27,195.08,1119741,196.05,197.5,193.81,,51.895855,,,0.4688554,66.25174,,199.0,4605123.0,48.715816,7429263.0,,192.9791,-0.02273093,2.5356338,45.64302
2018-09-28,195.63,1203048,194.58,197.8,194.55,,52.519794,,,0.5033708,52.191338,189.1125,199.115,4201639.0,46.93496,8632311.0,,190.66364,0.01453386,3.2205431,45.094273
2018-10-01,194.61,1311247,197.25,199.23,193.63,,51.19363,,,0.45646158,48.57958,189.12988,199.23,3349328.5,41.2031,7321064.0,,188.34818,-0.03870908,3.7176085,45.155365
2018-10-02,192.9,1316995,195.72,195.97,192.33,,48.96155,,,0.38675776,44.288845,189.41376,198.69545,2444799.0,35.650517,6004069.0,,186.03273,-0.12004483,-0.364907,42.938046
2018-10-03,196.2,1580895,194.28,198.31,192.26,,53.202103,-16.0,,0.54296744,51.141106,189.35608,198.1609,2922987.0,35.752842,7584964.0,,183.71727,-0.11018294,1.3715082,45.791046
2018-10-04,187.44,3488848,195.49,195.5,184.62,,42.990913,-16.0,,0.12202002,31.972153,188.54695,197.62636,1242696.2,33.18284,4096116.0,,181.40182,-0.1372821,-7.032993,53.96951
2018-10-05,186.6,2242543,187.11,190.12,181.65,,42.155388,-64.0,9.777147,0.12840721,24.988602,188.19867,197.09181,1621307.4,33.389465,1853573.0,,179.08636,-0.07199774,-13.3897085,58.4656
2018-10-08,180.26,2625277,184.39,185.81,177.27,,36.404514,-68.0,11.114231,-0.048582796,-1.6671422,187.74896,196.55727,834339.1,33.20073,-771704.0,,176.7709,-0.08729081,-18.55975,52.31577
2018-10-09,181.41,2338938,179.9,187.29,179.11,,38.055252,-68.0,12.010813,0.06375132,7.482535,187.4765,196.02272,-189303.67,42.986332,1567234.0,,174.45546,-0.03434247,-12.551214,51.571
2018-10-10,172.14,3538581,180.45,180.83,171.81,,31.057152,-76.0,13.750809,-0.13726003,-2.0117373,187.0228,195.48817,-3468964.0,42.35861,-1971347.0,,172.14,-0.10547911,-21.358183,45.269375
2018-10-11,174.97,3509233,172.85,178.21,172.14,,34.987694,-76.0,15.366519,0.015564636,3.607697,187.07109,194.95364,-3705996.2,43.074272,1537886.0,,177.285,-0.11457022,-20.2113,46.44356
2018-10-12,184.45,2939724,182.32,188.07,180.29,,46.07784,-76.0,14.852457,0.34595588,31.252853,186.15854,194.4191,-3501953.8,44.551163,4477610.0,,182.43,-0.14169826,-1.9639716,48.303825
2018-10-15,180.91,1462528,184.16,184.25,179.62,-1.3577713,43.11984,-76.0,14.472897,0.2464359,50.539474,185.46019,193.88455,-4149509.2,38.2906,3015082.0,3.512541,187.575,-0.2443442,-5.2391186,48.102448
2018-10-16,192.72,2794809,185.21,193.35,184.66,-0.261947,53.780075,-76.0,14.15844,0.6553533,87.72591,181.27745,193.35,-1759931.6,45.63944,5809891.0,3.391707,192.72,-0.15026335,6.5678983,51.1759
2018-10-17,190.26,1910278,193.11,193.195,188.4328,0.31231666,51.610313,-76.0,13.866445,0.56271714,82.71335,178.84773,192.81154,-2204307.2,50.625546,3899613.0,0.7827834,189.55444,-0.17423409,8.888856,51.55787
2018-10-18,185.18,2237543,189.14,191.54,182.02,0.36165828,47.360943,-76.0,13.160141,0.39065373,75.73142,178.47601,192.27307,-2956422.5,45.305943,1662070.0,-0.0676224,186.38889,-0.2270229,1.160905,53.717587
2018-10-19,177.15,2259717,186.46,187.6499,176.66,-0.10968404,41.53885,-72.0,13.211059,0.15348715,23.92322,177.92075,191.73462,-5014634.5,44.22045,-597647.0,-0.5717796,183.22333,-0.25385952,-5.50361,56.77376
2018-10-22,178.84,2708622,178.91,180.9486,174.3777,-0.26211476,43.12355,-68.0,13.535919,0.23674217,1.2299887,177.99332,191.19615,-4044404.5,42.682926,2110975.0,0.31866038,180.05779,-0.19928294,-12.753852,57.699085
2018-10-23,181.78,3024179,174.2,184.66,172.85,-0.1262977,45.872356,-28.0,13.221599,0.35088482,17.5642,177.34818,190.6577,-2495185.0,44.66852,5135154.0,1.6192869,176.89223,-0.17610626,-9.924416,62.598263
2018-10-24,170.21,3790253,181.78,183.78,169.65,-0.7426387,38.073883,-68.0,13.342958,0.031961367,14.269722,176.41599,190.11923,-5985007.5,44.65841,1344901.0,4.105773,173.72667,-0.1817445,-10.145213,64.43751
2018-10-25,172.63,5153421,173.4,175.0,162.18,-0.9036065,40.35779,-72.0,14.294137,0.14785647,25.148426,175.7048,189.58076,-2736985.5,41.826004,6498322.0,8.0958395,170.56111,-0.18173379,-23.778755,55.30478
2018-10-26,166.76,3125174,164.24,172.16,162.43,-1.2977058,36.81134,-72.0,15.177375,0.028545951,6.241708,175.38322,189.04231,-3080658.2,41.556915,3373148.0,5.5485964,167.39555,-0.12869097,-22.448933,55.549725
2018-10-29,164.23,2519357,172.09,173.5,160.66,-1.6011595,35.368717,-80.0,16.188894,0.020754693,17.429882,174.71626,188.50385,-4199064.5,35.727234,853791.0,2.3191247,164.23,-0.18560141,-18.796228,55.031254
2018-10-30,168.5,3131064,160.0,169.0,157.6,-1.3942811,39.66629,-84.0,17.449581,0.1766301,19.253582,174.27597,187.96538,-1342655.0,36.237293,3984855.0,1.3915659,168.03,-0.06653712,-24.076767,52.125782
2018-10-31,181.04,4013052,174.31,185.12,174.31,-0.34743163,50.149708,-84.0,16.323318,0.5699849,57.59431,172.22388,187.42693,-358881.9,37.18861,7997907.0,2.4529948,171.83,-0.047014758,7.1242003,54.850925
2018-11-01,183.73,1527814,181.03,184.315,177.0581,0.5432059,52.073498,-84.0,15.277504,0.6664409,95.31853,172.42004,186.88846,922609.0,34.821346,9525721.0,-2.3037317,175.63,-0.0399947,6.9024143,53.36588
2018-11-02,178.78,1527034,184.87,186.35,178.36,0.80043906,48.374023,-84.0,14.569063,0.51640576,92.563065,169.69731,186.35,-443885.78,34.766487,7998687.0,-5.458757,179.43,-0.04429891,9.797984,54.176224
2018-11-05,180.41,1368184,178.98,180.73,176.71,1.0652779,49.642708,-84.0,13.673212,0.5715531,71.20289,168.17198,188.91333,706477.9,28.347607,9366871.0,-7.80691,183.23,-0.08061965,1.6839861,52.142006
2018-11-06,177.37,1184899,179.5,182.48,176.26,1.020544,47.307705,-76.0,13.085334,0.47497278,53.599655,168.46825,191.47667,-55515.05,23.469673,8181972.0,-9.633314,187.03,-0.062332567,3.1291308,54.336044
2018-11-07,190.83,2980471,182.35,194.04,180.78,1.8347865,56.960533,-76.0,13.881695,0.8836187,82.074615,168.01605,194.04,1481922.5,31.31937,11162443.0,-5.5275126,190.83,0.01305913,15.487826,53.499462
2018-11-08,186.16,1784395,190.0,191.58,185.18,1.9835387,53.311447,-72.0,14.621173,0.71101946,89.39053,168.32623,191.15999,243998.45,31.663198,9378048.0,-5.906118,186.57625,0.030712092,15.572423,52.318172
2018-11-09,177.59,2178736,184.23,184.23,173.91,1.4539667,47.32034,24.0,13.679711,0.4460069,76.47641,167.82458,188.27997,-380910.34,32.113205,7199312.0,-4.794765,182.3225,-0.014484895,-2.189352,53.77446
2018-11-12,172.37,2615659,175.2,176.99,166.52,0.7374708,44.071568,24.0,13.4307785,0.29401135,34.652855,167.50665,185.39996,-73626.61,24.17019,4583653.0,-2.6446142,178.06876,-0.079636686,-14.592301,53.587845
2018-11-13,168.67,2133843,174.35,174.8699,167.08,0.036696386,41.876934,24.0,13.199626,0.19943547,9.333455,167.65045,182.51994,-1336390.2,25.339746,2449810.0,-2.466039,173.815,-0.073231265,-13.186358,51.95014
2018-11-14,167.38,1440927,171.26,172.67,166.85,-0.4637714,41.108322,24.0,13.011434,0.18275239,9.464569,168.05635,179.63992,-2514880.5,28.234875,1008883.0,-4.1915655,169.56125,-0.11656014,-12.705364,50.055767
2018-11-15,172.97,1589829,166.67,173.55,166.63,-0.372333,45.75456,24.0,12.704755,0.39523414,27.637516,168.29378,176.75992,-1191554.5,34.71924,2598712.0,-4.704887,165.3075,-0.07003072,-11.147455,49.13444
2018-11-16,171.09,1107260,170.73,173.8799,169.2495,-0.39056188,44.483467,24.0,12.36796,0.3398746,38.66325,168.83264,173.8799,-1418583.0,40.044846,1491452.0,-6.351867,161.05376,-0.020752395,-6.891276,46.725174
2018-11-19,156.8,3163210,169.56,169.855,156.09,-1.2676595,36.24186,-32.0,13.523891,-0.048961554,17.402197,167.93298,175.70792,-4255475.5,40.10611,-1671758.0,-0.63863355,156.8,-0.14022402,-18.872723,46.26205
2018-11-20,157.24,4066296,148.99,161.285,147.63,-1.6941773,36.63117,-36.0,15.281051,0.039317973,4.774214,167.25761,177.53592,-2598285.0,26.256199,2394538.0,5.2895293,158.75937,-0.14153813,-31.568762,37.75292
2018-11-21,159.14,1821674,160.22,163.0,157.64,-1.7188861,38.380856,-36.0,16.632313,0.1317355,5.5904794,167.68954,179.36394,-3400365.5,26.45991,4216212.0,2.5576532,160.71875,-0.18250614,-16.671797,37.29894
