Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.195,3000,0,12.42,1.37,1,1,0,12.42,12.42,10,28,5,180,chop,0,I/I,I/D,0.085,-0.2,1,1,1
2023-06-13,2023-07-11,1.2944,3000,3099.0,99.13,10.9,2,1,0,99.13,99.13,10,28,5,45,chandelier/obv,0,I/I/I,D/D/I,0.025,-0.06,1,1,1
2023-06-13,2023-07-11,1.3245,3000,0,97.35,10.71,1,1,0,97.35,97.35,10,28,5,185,bop/chop/adl/macd,1,I/I/I/I/I,I/I/D/I/I,0.03,-0.1,1,1,1
2023-06-13,2023-07-11,1.0458,3000,0,13.73,1.51,1,1,0,13.73,13.73,10,28,5,135,elder/zigzag,4,I/I/I,D/D/I,0.005,-0.04,1,1,1
2023-06-13,2023-07-11,0.846,3000,3043.0,43.79,4.82,2,1,0,43.79,43.79,10,28,5,80,pvo/stochastic,2,I/D/I,D/D/I,0.01,-0.07,1,1,1
2023-06-13,2023-07-11,0.7571,3000,3038.0,38.05,4.19,2,1,0,38.05,38.05,10,28,5,15,chandelier/adl,0,I/I/D,IGNORE,0.01,-0.19,1,1,1
2023-06-13,2023-07-11,1.4057,3000,0,77.11,8.48,1,1,0,77.11,77.11,10,28,5,95,bop,3,I/I,IGNORE,0.02,-0.02,1,1,1
2023-06-13,2023-07-11,1.3888,3000,0,77.11,8.48,1,1,0,77.11,77.11,10,28,5,40,macd/bop,1,I/D/D,IGNORE,0.01,-0.29,1,1,1
2023-06-13,2023-07-11,0.6007,3000,3038.0,38.05,4.19,2,1,0,38.05,38.05,10,28,5,100,stochastic/bollinger,0,I/I/I,I/D/I,0.015,-0.11,1,1,1
2023-06-13,2023-07-11,1.3283,3000,0,59.32,6.53,1,1,0,59.32,59.32,10,28,5,175,pvo,0,I/D,IGNORE,0.02,-0.25,1,1,1
2023-06-13,2023-07-11,1.441,3000,0,64.47,7.09,1,1,0,64.47,64.47,10,28,5,135,stochastic/chop,0,I/I/I,I/D/D,0.005,-0.02,1,1,1
2023-06-13,2023-07-11,1.5773,3000,0,122.03,13.42,1,1,0,122.03,122.03,10,28,5,125,macd/adl,1,I/I/I,IGNORE,0.03,-0.27,1,1,1
2023-06-14,2023-07-12,1.9269,3000,0,128.37,14.12,3,3,0,42.79,59.32,10,28,5,185,chop/aroon/adl/zigzag,0,I/D/I/I/I,I/I/D/D/D,0.015,-0.29,1,1,1
2023-06-14,2023-07-12,1.6064,3000,3043.0,43.79,4.82,2,1,0,43.79,43.79,10,28,5,190,rsi,0,I/I,D/D,0.01,-0.3,1,1,1
2023-06-14,2023-07-12,1.5125,3000,3104.0,104.99,11.55,2,1,0,104.99,104.99,10,28,5,150,pivots/chop/rsi,0,I/I/D/I,I/I/D/D,0.03,-0.12,1,1,1
2023-06-14,2023-07-12,1.4867,3000,3043.0,43.79,4.82,2,1,0,43.79,43.79,10,28,5,60,pivots/chandelier/stochastic,0,I/I/I/I,D/D/D/D,0.005,-0.16,1,1,1
