Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2013-09-13,2013-08-08,2013-08-20,2013-08-22,0.075
2013-12-13,2013-11-07,2013-11-19,2013-11-21,0.085
2014-03-20,2014-02-12,2014-02-25,2014-02-27,0.085
2014-06-13,2014-05-08,2014-05-20,2014-05-22,0.085
2014-09-12,2014-08-07,2014-08-19,2014-08-21,0.085
2014-12-15,2014-11-06,2014-11-19,2014-11-21,0.085
2015-03-19,2015-02-11,2015-02-24,2015-02-26,0.085
2015-06-12,2015-05-07,2015-05-19,2015-05-21,0.0975
2015-09-11,2015-08-06,2015-08-18,2015-08-20,0.0975
2015-12-14,2015-11-05,2015-11-18,2015-11-20,0.115
2016-03-23,2016-02-17,2016-02-29,2016-03-02,0.115
2016-06-20,2016-05-12,2016-05-24,2016-05-26,0.115
2016-09-16,2016-08-11,2016-08-23,2016-08-25,0.115
2016-12-19,2016-11-10,2016-11-23,2016-11-28,0.14
2017-03-17,2017-02-09,2017-02-22,2017-02-24,0.14
2017-06-14,2017-05-09,2017-05-19,2017-05-23,0.14
2017-09-18,2017-08-10,2017-08-22,2017-08-24,0.14
2017-12-15,2017-11-09,2017-11-22,2017-11-24,0.15
2018-03-16,2018-02-08,2018-02-22,2018-02-23,0.15
2018-06-15,2018-05-10,2018-05-23,2018-05-24,0.15
2018-09-21,2018-08-16,2018-08-29,2018-08-30,0.15
2018-12-21,2018-11-15,2018-11-29,2018-11-30,0.16
2019-03-22,2019-02-13,2019-02-28,2019-03-01,0.16
2019-06-21,2019-05-16,2019-05-30,2019-05-31,0.16
2019-09-20,2019-08-15,2019-08-28,2019-08-29,0.16
2019-12-20,2019-11-14,2019-11-27,2019-11-29,0.16
2020-03-20,2020-02-13,2020-02-27,2020-02-28,0.16
2020-06-26,2020-05-22,2020-06-04,2020-06-05,0.16
2020-09-24,2020-08-19,2020-09-01,2020-09-02,0.16
2020-12-29,2020-11-18,2020-12-03,2020-12-04,0.16
2021-03-31,2021-02-24,2021-03-09,2021-03-10,0.16
2021-07-01,2021-05-26,2021-06-09,2021-06-10,0.16
2021-09-23,2021-08-18,2021-08-31,2021-09-01,0.04
2021-12-23,2021-11-17,2021-12-01,2021-12-02,0.04
2022-03-24,2022-02-16,2022-03-02,2022-03-03,0.04
2022-07-01,2022-05-25,2022-06-08,2022-06-09,0.04
2022-09-29,2022-08-24,2022-09-07,2022-09-08,0.04
2022-12-22,2022-11-16,2022-11-30,2022-12-01,0.04
2023-03-29,2023-02-22,2023-03-07,2023-03-08,0.04
2023-06-30,2023-05-24,2023-06-07,2023-06-08,0.04
