date,close,volume,open,high,low
2013-03-08,3.205,24646328,3.1975,3.22,3.1825
2013-03-11,3.1738,29974548,3.1725,3.1875,3.1475
2013-03-12,3.185,31084388,3.17,3.195,3.14
2013-03-13,3.185,48583600,3.185,3.2391,3.155
2013-03-14,3.1875,38330164,3.205,3.215,3.1675
2013-03-15,3.16,35528640,3.1875,3.1875,3.1475
2013-03-18,3.1375,29831168,3.14,3.1675,3.115
2013-03-19,3.1175,35473500,3.14,3.155,3.095
2013-03-20,3.155,34052804,3.1475,3.165,3.1187
2013-03-21,3.105,33903008,3.1375,3.1425,3.10
2013-03-22,3.12,23056996,3.115,3.1325,3.1025
2013-03-25,3.1025,36207604,3.1375,3.14,3.08
2013-03-26,3.125,23253984,3.11,3.1275,3.0975
2013-03-27,3.1625,25489244,3.1125,3.18,3.105
2013-03-28,3.2075,34927312,3.155,3.21,3.1325
2013-04-01,3.1025,44282560,3.20,3.20,3.08
2013-04-02,3.0688,37148296,3.105,3.1125,3.05
2013-04-03,3.0315,35236480,3.065,3.0825,3.01
2013-04-04,3.0612,29467400,3.0225,3.0725,3.0125
2013-04-05,3.115,55133080,3.0175,3.115,3.01
2013-04-08,3.1075,32665676,3.1175,3.1175,3.0488
2013-04-09,3.1575,38058092,3.11,3.18,3.0875
2013-04-10,3.2075,38468416,3.16,3.2125,3.1525
2013-04-11,3.1925,96919840,3.1625,3.2125,3.075
2013-04-12,3.2725,77040520,3.2075,3.3075,3.18
2013-04-15,3.205,43021880,3.2625,3.2725,3.185
2013-04-16,3.24,46884120,3.235,3.2625,3.2175
2013-04-17,3.1963,53294520,3.215,3.245,3.1775
2013-04-18,3.135,40254760,3.205,3.225,3.135
2013-04-19,3.1425,30302788,3.1325,3.1513,3.0925
2013-04-22,3.1475,24556476,3.14,3.175,3.115
2013-04-23,3.23,37689264,3.175,3.2625,3.17
2013-04-24,3.34,55653880,3.24,3.3675,3.2375
2013-04-25,3.3675,35322244,3.3575,3.375,3.3275
2013-04-26,3.3525,32433076,3.3625,3.3675,3.3338
2013-04-29,3.3925,26968840,3.3575,3.405,3.3425
2013-04-30,3.4425,27323548,3.40,3.4425,3.3775
2013-05-01,3.4125,34131288,3.4425,3.465,3.4006
2013-05-02,3.4525,32347000,3.41,3.4625,3.39
2013-05-03,3.4675,29382652,3.475,3.4925,3.455
2013-05-06,3.4575,21709988,3.4675,3.4863,3.4375
2013-05-07,3.4125,44806640,3.4575,3.465,3.38
2013-05-08,3.4747,33394212,3.4175,3.495,3.405
2013-05-09,3.4775,56299280,3.4125,3.4925,3.4075
