Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,2.4875,3000,3364.0,364.81,40.13,2,1,0,364.81,364.81,10,28,5,55,pvo,1,I/D,I/I,0.01,-0.3,1,1,1
2023-02-08,2023-03-08,1.4579,3000,0,112.29,12.35,1,1,0,112.29,112.29,10,28,5,130,bollinger,1,I/I,I/D,0.05,-0.15,1,1,1
2023-02-08,2023-03-08,1.5212,3000,3221.0,221.08,24.32,2,1,0,221.08,221.08,10,28,5,115,bollinger,1,I/I,D/D,0.025,-0.26,1,1,1
2023-02-08,2023-03-08,2.2542,3000,0,348.59,38.34,2,2,0,174.29,174.29,10,28,5,65,zigzag/macd,3,I/I/I,IGNORE,0.02,-0.27,1,1,1
2023-02-08,2023-03-08,1.443,3000,0,90.42,9.95,1,1,0,90.42,90.42,10,28,5,50,aroon,4,I/I,IGNORE,0.025,-0.29,1,1,1
2023-02-08,2023-03-08,2.2766,3000,0,134.99,14.85,1,1,0,134.99,134.99,10,28,5,35,pvo,1,I/I,IGNORE,0.01,-0.02,1,1,1
2023-02-08,2023-03-08,1.2237,3000,0,21.7,2.39,1,1,0,21.7,21.7,10,28,5,130,elder/chop/zigzag,0,I/I/D/I,D/I/D/D,0.025,-0.06,1,1,1
2023-02-08,2023-03-08,1.0847,3000,3112.0,112.29,12.35,2,1,0,112.29,112.29,10,28,5,5,elder/obv/mfi/aroon/pivots,0,I/D/D/D/D/I,D/I/D/D/I/D,0.055,-0.15,1,1,1
2023-02-08,2023-03-08,1.7077,3000,0,212.32,23.36,1,1,0,212.32,212.32,10,28,5,30,stochastic/pvo/bop,3,I/I/I/I,D/D/D/I,0.07,-0.3,1,1,1
2023-02-08,2023-03-08,2.7046,3000,0,317.85,34.96,1,1,0,317.85,317.85,10,28,5,5,chandelier,0,D/D,I/I,0.02,-0.23,1,1,1
2023-02-08,2023-03-08,2.5793,3000,0,364.81,40.13,1,1,0,364.81,364.81,10,28,5,115,bop,4,I/I,I/D,0.06,-0.17,1,1,1
2023-02-08,2023-03-08,1.5685,3000,0,148.01,16.28,1,1,0,148.01,148.01,10,28,5,90,elder/pvo/chandelier/bop/macd,2,I/I/I/I/I/I,D/D/D/I/D/I,0.015,-0.24,1,1,1
2023-02-08,2023-03-08,0.9826,3000,3073.0,73.46,8.08,2,1,0,73.46,73.46,10,28,5,200,adx,1,I/I,D/I,0.005,-0.05,1,1,1
2023-02-08,2023-03-08,1.932,3000,0,140.83,15.49,1,1,0,140.83,140.83,10,28,5,15,bop,0,I/D,D/I,0.03,-0.19,1,1,1
2023-02-08,2023-03-08,0.9215,3000,3021.0,21.7,2.39,2,1,0,21.7,21.7,10,28,5,100,bollinger,1,I/I,IGNORE,0.005,-0.17,1,1,1
2023-02-08,2023-03-08,1.92,3000,0,148.01,16.28,1,1,0,148.01,148.01,10,28,5,130,pvo,2,I/I,D/I,0.04,-0.3,1,1,1
2023-02-08,2023-03-08,2.0595,3000,0,317.85,34.96,1,1,0,317.85,317.85,10,28,5,45,elder/stochastic/chop,3,I/I/I/I,IGNORE,0.03,-0.07,1,1,1
2023-02-08,2023-03-08,1.2805,3000,0,21.7,2.39,1,1,0,21.7,21.7,10,28,5,200,pvo/zigzag/bollinger/adx,1,D/I/D/I/I,D/D/I/D/D,0.015,-0.12,1,1,1
2023-02-08,2023-03-08,2.2773,3000,0,327.75,36.05,1,1,0,327.75,327.75,10,28,5,160,macd/pvo/stochastic,3,I/I/I/I,IGNORE,0.1,-0.15,1,1,1
2023-02-08,2023-03-08,0.7444,3000,3112.0,112.29,12.35,2,1,0,112.29,112.29,10,28,5,45,elder/adx/mfi/bollinger/rsi,1,I/I/I/I/I/I,IGNORE,0.04,-0.21,1,1,1
2023-02-08,2023-03-08,1.9199,3000,3289.0,289.62,31.86,3,2,0,144.81,144.81,10,28,5,80,elder/pvo,1,I/I/I,I/D/D,0.03,-0.21,1,1,1
2023-02-08,2023-03-08,0.9769,3000,3066.0,66.62,7.33,2,1,0,66.62,66.62,10,28,5,80,rsi,1,I/I,IGNORE,0.015,-0.19,1,1,1
2023-02-08,2023-03-08,2.6459,3000,3364.0,364.81,40.13,2,1,0,364.81,364.81,10,28,5,25,aroon/bop/pivots,1,I/I/D/I,IGNORE,0.02,-0.2,1,1,1
2023-02-08,2023-03-08,1.4836,3000,3187.0,187.16,20.59,2,1,0,187.16,187.16,10,28,5,150,elder/macd,3,I/I/I,I/I/D,0.045,-0.09,1,1,1
2023-02-08,2023-03-08,1.861,3000,3234.0,234.99,25.85,2,1,0,234.99,234.99,10,28,5,15,zigzag/elder,0,I/I/D,D/I/I,0.08,-0.2,1,1,1
2023-02-08,2023-03-08,1.7251,3000,3221.0,221.08,24.32,2,1,0,221.08,221.08,10,28,5,145,pvo,2,I/I,D/I,0.065,-0.06,1,1,1
2023-02-08,2023-03-08,2.1842,3000,3200.0,200.35,22.04,4,3,0,66.78,29.6,10,28,5,70,zigzag,0,I/I,D/I,0.005,-0.09,1,1,1
2023-02-08,2023-03-08,1.7116,3000,0,212.32,23.36,1,1,0,212.32,212.32,10,28,5,30,bollinger/chop,2,I/I/D,D/D/I,0.07,-0.09,1,1,1
2023-02-08,2023-03-08,1.3743,3000,0,112.29,12.35,1,1,0,112.29,112.29,10,28,5,70,bollinger/bop,5,I/D/I,IGNORE,0.035,-0.11,1,1,1
2023-02-08,2023-03-08,1.6279,3000,3200.0,200.35,22.04,4,3,0,66.78,29.6,10,28,5,130,bollinger/rsi/adl/macd,1,I/I/I/I/I,I/I/D/I/D,0.005,-0.24,1,1,1
2023-02-08,2023-03-08,1.2632,3000,3228.0,228.97,25.19,2,1,0,228.97,228.97,10,28,5,155,aroon/mfi/chop/macd/stochastic,0,I/I/I/D/I/I,IGNORE,0.085,-0.23,1,1,1
2023-02-08,2023-03-08,1.9519,3000,0,272.66,29.99,2,2,0,136.33,136.33,10,28,5,90,pvo,2,I/I,IGNORE,0.025,-0.29,1,1,1
2023-02-08,2023-03-08,1.848,3000,3112.0,112.29,12.35,2,1,0,112.29,112.29,10,28,5,165,chandelier,0,I/I,D/I,0.055,-0.28,1,1,1
2023-02-08,2023-03-08,1.0684,3000,3170.0,170.53,18.76,2,1,0,170.53,170.53,10,28,5,130,bop,3,I/I,IGNORE,0.055,-0.29,1,1,1
2023-02-08,2023-03-08,1.8547,3000,0,221.08,24.32,1,1,0,221.08,221.08,10,28,5,40,stochastic,4,I/I,D/I,0.005,-0.14,1,1,1
2023-02-08,2023-03-08,1.8418,3000,3289.0,289.62,31.86,3,2,0,144.81,144.81,10,28,5,90,adx,0,I/I,IGNORE,0.065,-0.23,1,1,1
2023-02-08,2023-03-08,1.4706,3000,0,66.62,7.33,1,1,0,66.62,66.62,10,28,5,5,rsi/macd/bop/pivots/stochastic,1,I/I/I/D/I/I,IGNORE,0.015,-0.23,1,1,1
2023-02-08,2023-03-08,2.1217,3000,0,201.54,22.17,1,1,0,201.54,201.54,10,28,5,40,adx,0,I/I,IGNORE,0.06,-0.3,1,1,1
2023-02-08,2023-03-08,1.4694,3000,0,140.83,15.49,1,1,0,140.83,140.83,10,28,5,190,pivots/zigzag,0,I/D/I,D/D/I,0.065,-0.08,1,1,1
2023-02-08,2023-03-08,1.2086,3000,0,82.14,9.04,1,1,0,82.14,82.14,10,28,5,30,bollinger,5,I/I,D/D,0.035,-0.3,1,1,1
2023-02-08,2023-03-08,1.4682,3000,3140.0,140.83,15.49,2,1,0,140.83,140.83,10,28,5,15,elder,0,I/D,IGNORE,0.05,-0.03,1,1,1
2023-02-08,2023-03-08,1.7378,3000,0,187.16,20.59,1,1,0,187.16,187.16,10,28,5,185,macd,2,I/I,IGNORE,0.055,-0.3,1,1,1
2023-02-08,2023-03-08,1.2998,3000,0,89.95,9.89,1,1,0,89.95,89.95,10,28,5,115,stochastic,2,I/I,D/I,0.04,-0.3,1,1,1
2023-02-08,2023-03-08,1.8476,3000,0,134.99,14.85,1,1,0,134.99,134.99,10,28,5,5,mfi/chop/adl/zigzag,0,D/D/I/D/I,D/D/I/I/D,0.05,-0.07,1,1,1
2023-02-08,2023-03-08,2.0977,3000,3170.0,170.75,18.78,3,2,0,85.38,85.38,10,28,5,60,stochastic,0,I/I,I/D,0.02,-0.07,1,1,1
2023-02-08,2023-03-08,2.3192,3000,0,317.85,34.96,1,1,0,317.85,317.85,10,28,5,65,mfi/macd,2,I/I/I,IGNORE,0.01,-0.15,1,1,1
2023-02-08,2023-03-08,2.9348,3000,0,364.81,40.13,1,1,0,364.81,364.81,10,28,5,10,pivots,0,D/I,IGNORE,0.065,-0.23,1,1,1
2023-02-08,2023-03-08,1.4102,3000,3112.0,112.29,12.35,2,1,0,112.29,112.29,10,28,5,50,adl,0,I/I,D/D,0.04,-0.26,1,1,1
2023-02-08,2023-03-08,2.1986,3000,0,234.99,25.85,1,1,0,234.99,234.99,10,28,5,140,macd,4,I/I,IGNORE,0.075,-0.08,1,1,1
2023-02-08,2023-03-08,2.0244,3000,0,234.99,25.85,1,1,0,234.99,234.99,10,28,5,160,pvo/rsi,2,I/I/I,D/I/I,0.07,-0.09,1,1,1
2023-02-08,2023-03-08,1.5692,3000,0,170.75,18.78,2,2,0,85.38,85.38,10,28,5,120,bollinger/adl,2,I/I/I,D/D/D,0.01,-0.22,1,1,1
2023-02-08,2023-03-08,1.2738,3000,0,82.14,9.04,1,1,0,82.14,82.14,10,28,5,165,pvo/stochastic,5,I/I/I,IGNORE,0.03,-0.25,1,1,1
2023-02-08,2023-03-08,3.602,3000,0,516.09,56.77,2,2,0,258.05,258.05,10,28,5,5,stochastic/chop,0,D/D/I,D/I/D,0.02,-0.3,1,1,1
