Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1996-05-14,N/A,1996-05-01,1996-05-03,0.1806
1997-05-07,N/A,1997-04-25,1997-04-29,0.239
1998-04-08,N/A,1998-03-27,1998-03-31,0.3051
1999-04-06,N/A,1999-03-25,1999-03-29,0.4182
2000-04-06,N/A,2000-03-24,2000-03-28,0.4672
2001-04-02,N/A,2001-03-21,2001-03-23,0.5681
2002-03-25,N/A,2002-03-13,2002-03-15,0.2848
2003-04-07,N/A,2003-03-26,2003-03-28,0.37647
2004-03-29,N/A,2004-03-17,2004-03-19,0.52096
2005-03-22,N/A,2005-03-10,2005-03-14,0.61725
2006-03-21,N/A,2006-03-09,2006-03-13,0.691753
2007-03-20,N/A,2007-03-08,2007-03-12,0.891779
2008-03-25,N/A,2008-03-13,2008-03-17,0.678462
2009-03-31,N/A,2009-03-19,2009-03-23,0.781532
2010-04-07,N/A,2010-03-25,2010-03-29,0.978615
2011-04-05,N/A,2011-03-24,2011-03-28,1.357901
2012-04-03,N/A,2012-03-22,2012-03-26,1.831902
2013-04-02,N/A,2013-03-21,2013-03-25,2.264307
2014-04-02,N/A,2014-03-21,2014-03-25,0.606122
2015-03-31,N/A,2015-03-19,2015-03-23,0.532885
2016-03-30,N/A,2016-03-18,2016-03-22,0.69943
2016-08-23,N/A,2016-08-11,2016-08-15,0.331026
2017-04-04,N/A,2017-03-23,2017-03-27,0.479369
2017-08-29,N/A,2017-08-17,2017-08-21,0.33589
2018-04-03,2018-03-24,2018-03-23,2018-03-26,0.805982
2018-08-28,2018-08-09,2018-08-17,2018-08-20,0.462327
2019-04-02,2019-02-05,2019-03-22,2019-03-25,0.777006
2019-08-27,2019-08-10,2019-08-16,2019-08-19,0.449438
2020-04-07,2020-02-06,2020-03-27,2020-03-30,0.7826048
2020-08-25,2020-08-06,2020-08-14,2020-08-17,0.5177774
2021-04-07,N/A,2021-03-26,2021-03-29,0.922122
2021-08-25,N/A,2021-08-16,2021-08-17,0.5502889
2022-04-05,2022-03-02,2022-03-25,2022-03-28,1.022423
2022-08-23,2022-08-04,2022-08-12,2022-08-15,0.5835507
2023-04-04,2023-02-02,2023-03-24,2023-03-27,1.1887415
2023-08-29,2023-08-10,2023-08-18,2023-08-21,0.8835613
