date,close,volume,open,high,low
2013-03-08,34.938,1466455,34.966,35.04,34.724
2013-03-11,35.33,1465470,35.11,35.4456,35.044
2013-03-12,34.968,1437700,35.122,35.2096,34.91
2013-03-13,34.93,1451125,34.922,35.096,34.76
2013-03-14,34.60,2235325,34.832,34.862,34.452
2013-03-15,34.976,3048180,34.994,35.186,34.708
2013-03-18,33.29,3520795,33.70,33.842,33.052
2013-03-19,33.402,1673590,33.60,33.754,33.262
2013-03-20,33.35,2165805,33.56,33.56,33.0709
2013-03-21,32.24,2142975,32.516,32.659,32.20
2013-03-22,32.322,2700110,32.15,32.632,32.106
2013-03-25,32.346,2182550,32.432,32.526,32.1612
2013-03-26,32.776,1541050,32.538,32.838,32.538
2013-03-27,32.278,1798870,32.65,32.65,32.266
2013-03-28,32.30,1863690,32.346,32.492,32.216
2013-04-01,32.466,881470,32.248,32.558,32.248
2013-04-02,32.87,941010,32.696,32.98,32.694
2013-04-03,33.052,1592840,33.284,33.378,32.982
2013-04-04,32.886,1382525,32.778,33.002,32.72
2013-04-05,32.908,788255,32.566,32.954,32.48
2013-04-08,33.238,875935,33.102,33.33,33.059
2013-04-09,33.284,729895,33.118,33.53,33.094
2013-04-10,33.154,863130,33.208,33.3478,33.154
2013-04-11,33.756,1260545,33.826,33.828,33.684
2013-04-12,33.598,856475,33.764,33.776,33.412
2013-04-15,33.44,1084925,33.739,33.94,33.428
2013-04-16,33.736,1183740,34.012,34.018,33.468
2013-04-17,33.276,999155,33.656,33.656,33.072
2013-04-18,33.076,850640,33.36,33.40,32.94
2013-04-19,33.32,684565,33.316,33.456,33.224
2013-04-22,33.202,804920,33.242,33.29,33.083
2013-04-23,33.164,907055,33.26,33.324,33.076
2013-04-24,34.042,2665255,34.236,34.378,33.94
2013-04-25,33.978,1209590,34.396,34.40,33.836
2013-04-26,34.032,1373750,33.992,34.15,33.884
2013-04-29,35.006,4709930,34.948,35.072,34.607
2013-04-30,35.326,1731430,35.004,35.356,34.944
2013-05-01,34.43,1184385,35.156,35.156,34.36
2013-05-02,34.464,721000,34.30,34.604,34.2778
2013-05-03,34.436,1425530,34.472,34.6158,34.272
2013-05-06,34.662,667225,34.694,34.824,34.544
2013-05-07,34.554,444340,34.756,34.756,34.431
2013-05-08,34.488,1201225,34.536,34.712,34.354
2013-05-09,34.458,438435,34.48,34.556,34.2702
2013-05-10,34.406,544715,34.444,34.448,34.16
2013-05-13,34.696,612260,34.476,34.798,34.452
2013-05-14,34.952,868165,34.788,35.03,34.788
2013-05-15,35.174,1487080,34.952,35.21,34.942
2013-05-16,34.398,1501340,34.356,34.682,34.328
2013-05-17,34.398,1098835,34.19,34.486,34.132
2013-05-20,34.336,1007735,34.398,34.486,34.272
2013-05-21,34.228,1456135,34.164,34.3544,34.092
2013-05-22,33.91,1615820,34.404,34.536,33.814
2013-05-23,33.784,1162880,33.768,33.9262,33.538
2013-05-24,33.728,957520,33.704,33.788,33.424
2013-05-28,33.538,1152690,33.796,33.934,33.40
2013-05-29,32.978,981520,33.19,33.2512,32.906
2013-05-30,33.28,1068830,33.148,33.332,33.14
