date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,49.66,681130,49.75,49.82,49.55,,,,,,,,,-126135.19,,0.0,,,,,
2018-08-29,49.94,704805,49.63,49.98,49.5,,,,,,,,,461202.3,,704805.0,,,,,
2018-08-30,49.59,564580,49.66,49.78,49.455,,,,,,,,,365658.0,,140225.0,,,,,
2018-08-31,49.17,819594,49.26,49.41,48.95,,,,,,,,,330023.5,,-679369.0,,,,,
2018-09-04,48.8,1223273,48.43,48.87,48.39,,,,,,,,,1196508.5,,-1902642.0,,,,,
2018-09-05,48.05,1886340,48.09,48.31,47.85,,,,,,,,,950464.2,,-3788982.0,,,,,
2018-09-06,47.94,760978,47.66,48.01,47.62,,,,,,,,,1438270.6,,-4549960.0,,,,,
2018-09-07,47.96,726547,47.67,48.15,47.63,,,,,,,,,1633879.4,,-3823413.0,,,,,
2018-09-10,48.43,1014898,48.55,48.675,48.37,,,,,,,,,1018285.5,,-2808515.0,,,,,
2018-09-11,48.51,1021385,48.01,48.51,47.995,,,,,,,,,2039670.5,,-1787130.0,,,,,
2018-09-12,48.97,1828519,48.86,49.16,48.83,,,,,,,,49.16,1762622.2,,41389.0,,,,,
2018-09-13,49.02,1002171,48.96,49.11,48.81,,,,,,,,49.09778,2163490.5,,1043560.0,,,,,
2018-09-14,47.97,1042258,48.3,48.35,47.89,,,,,,,,49.035557,1483757.1,,1302.0,,,,-1.3,
2018-09-17,47.64,1397746,47.81,47.9,47.56,,,,,,,,48.97333,743773.94,,-1396444.0,,,0.12531102,-1.7571429,
2018-09-18,47.43,1328941,47.35,47.53,47.19,,27.474747,,,,,,48.91111,1290985.0,28.132002,-2725385.0,,,0.16592726,-2.1604083,42.011833
2018-09-19,47.0,991948,47.1,47.13,46.875,,25.124342,,,,,,48.84889,1271535.0,23.04238,-3717333.0,,,0.0917851,-2.4639213,38.78437
2018-09-20,47.5,1536114,47.12,47.57,47.07,,32.36935,,,,,,48.786667,2377537.0,30.868406,-2181219.0,,,0.16145544,-1.6190754,43.75475
2018-09-21,47.66,1084625,47.41,47.85,47.38,,34.55173,,,,37.293797,,48.724445,2585231.2,36.81706,-1096594.0,,,0.21342452,-0.8949218,49.36769
2018-09-24,47.97,1237601,47.58,48.05,47.5,,38.680428,,,,60.752167,,48.662224,3462802.8,44.150013,141007.0,,,0.20901434,-0.54850435,48.486847
2018-09-25,48.19,1614381,48.12,48.6,48.1,,41.500824,,,0.44332826,70.921005,,48.6,2429599.0,54.643887,1755388.0,,,0.22522552,0.561282,46.981308
2018-09-26,47.55,1767720,47.38,48.0,47.37,,36.273888,,,0.2633628,50.173958,,48.362,1672004.8,51.5503,-12332.0,,,0.19321784,-0.62032974,48.80836
2018-09-27,47.63,1577447,47.39,47.79,47.36,,37.33632,,,0.30354863,32.360806,,48.124,2075537.6,45.268044,1565115.0,,,0.19324979,-0.7359969,48.394485
2018-09-28,47.14,1004709,47.17,47.38,47.09,,33.637234,,,0.13480723,0.9968393,48.204544,47.886,1417280.0,39.784554,560406.0,,,0.21396367,-1.1865687,47.57655
2018-10-01,46.56,1518433,46.79,46.985,46.45,,29.865435,,,-0.03250239,-5.303946,47.991158,47.648,523249.38,38.83921,-958027.0,,,0.11390793,-1.8592018,41.930714
2018-10-02,47.25,1732647,46.85,47.41,46.74,,38.675304,,,0.2655267,8.262931,47.58656,47.41,1428363.5,38.299625,774620.0,,,0.13274233,-1.0307444,43.550026
2018-10-03,46.69,1258639,46.95,47.14,46.65,,34.849224,-88.0,,0.09273413,14.246661,47.337624,,375216.56,37.88324,-484019.0,,,0.080555744,-1.1334952,46.184757
2018-10-04,43.26,5832985,43.29,43.7,42.9,,21.088202,-100.0,,-0.40733618,16.75768,46.90364,,-208081.92,30.96686,-6317004.0,,,0.12911941,-7.122996,26.115082
2018-10-05,43.96,3199487,44.27,44.5,43.81,,27.389708,-96.0,32.43082,-0.09967143,7.4248805,46.837112,,-2016487.6,40.944366,-3117517.0,,,0.1327426,-4.5839963,28.788292
2018-10-08,43.14,1841459,42.56,43.21,42.49,,24.88299,-100.0,33.821854,-0.09538306,9.066263,46.742245,,-533090.06,40.39409,-4958976.0,,,0.17347556,-6.24914,29.202427
2018-10-09,42.5,3078003,42.2,42.88,42.09,,23.105587,-76.0,35.263844,-0.06509428,11.719805,46.70896,,-416203.9,37.74481,-8036979.0,,,0.22861153,-5.9864054,28.194021
2018-10-10,41.73,3200804,42.57,42.58,41.72,,21.148302,-80.0,36.74004,-0.05398964,-2.510577,46.7031,,-3542570.5,30.602003,-11237783.0,,,0.10455838,-5.5854907,26.893093
2018-10-11,41.54,3024419,41.93,42.03,41.229,,20.682724,-84.0,38.288105,0.0051058917,-3.398973,46.705547,,-4218439.5,25.362377,-14262202.0,,41.54,0.0317865,-5.654278,25.167078
2018-10-12,42.53,1863881,42.21,42.6,42.07,,29.403702,-84.0,38.98119,0.1559929,10.957265,46.62257,,-2846904.5,26.39057,-12398321.0,,41.66163,0.024263836,-3.6928093,26.493029
2018-10-15,42.3,1952326,42.07,42.64,42.06,-0.40156347,28.616491,-84.0,39.57247,0.17013219,22.050419,46.14654,,-3183512.2,20.903847,-14350647.0,-6.8133445,41.783257,0.04258896,-3.1252651,28.533651
2018-10-16,43.39,2004828,42.89,43.455,42.765,-0.23834081,37.197693,-84.0,39.09151,0.30406588,38.381084,46.100563,,-1556405.6,26.85929,-12345819.0,-7.8196034,41.904884,0.07507442,-1.4559416,31.625336
2018-10-17,43.5,1738479,43.34,43.57,43.15,-0.10337298,38.007607,-84.0,38.50578,0.3333797,43.365505,46.156902,,-397419.6,32.069523,-10607340.0,-9.018076,42.026512,0.062418193,-0.85937846,32.535778
2018-10-18,43.36,1785959,43.6,43.66,43.17,-0.008908787,37.347454,-80.0,37.847767,0.3378092,47.253925,46.201134,,-798349.2,31.416174,-12393299.0,-9.387058,42.14814,0.03482193,-0.6266101,33.735397
2018-10-19,43.17,1153916,43.6,43.66,43.13,0.052045975,36.422844,-48.0,37.266087,0.33724967,37.67152,46.2379,,-1778089.1,31.866625,-13547215.0,-11.29621,42.269768,0.0075780596,-0.5070944,33.330563
2018-10-22,43.12,860248,43.2,43.25,42.98,0.09761817,36.169075,-48.0,36.84104,0.35119778,30.171234,46.30845,,-1746228.1,27.085478,-14407463.0,-13.237693,42.391396,-0.056229886,-0.9160809,32.81946
2018-10-23,42.77,1730417,42.3,42.965,42.15,0.11179212,34.364185,-48.0,37.035896,0.33041632,41.394573,46.28034,,-843863.44,26.803816,-16137880.0,-10.977516,42.513023,0.022862926,-1.8016407,37.48546
2018-10-24,41.77,1433302,42.89,43.06,41.6945,0.06380694,29.790121,-48.0,37.50306,0.23090684,28.082165,46.199574,,-2118667.8,30.97595,-17571182.0,-10.160181,42.63465,-0.033045102,-1.6797636,50.069717
2018-10-25,42.2,1787148,41.65,42.42,41.59,0.07049093,33.866467,-48.0,38.00182,0.30353343,34.761784,45.5955,,-1278923.5,20.644598,-15784034.0,-7.9276156,42.75628,0.046378184,-2.1336544,55.617836
2018-10-26,42.39,1514322,42.0,42.61,41.84,0.0956132,35.644455,-48.0,38.149193,0.3482078,36.801163,45.389797,,-629928.4,26.468058,-14269712.0,-7.1756244,42.877907,0.025016608,-1.4988467,57.720284
2018-10-29,42.62,1395193,42.85,43.15,41.99,0.13331006,37.823627,-48.0,37.42937,0.40484437,66.53039,44.960716,,-509653.1,33.708855,-12874519.0,-6.8430657,42.999535,-0.016270727,-0.70758283,58.092224
2018-10-30,42.57,1458467,42.11,42.68,42.08,0.15873952,37.526142,-48.0,36.760963,0.41658053,69.184425,44.990227,,414042.7,36.13332,-14332986.0,-6.092904,43.121162,0.10825862,-0.9864996,57.20713
2018-10-31,43.18,1733691,43.3,43.46,43.09,0.2169048,43.37725,-44.0,34.9927,0.6701981,79.35934,44.978855,,-476231.1,45.87625,-12599295.0,-4.264986,43.24279,0.11987055,0.7158575,62.699387
2018-11-01,43.85,1587981,43.71,44.24,43.47,0.29587385,49.024433,-40.0,32.587902,0.9009325,91.348145,44.674816,44.24,-496854.22,45.340508,-11011314.0,-3.4650376,43.364418,0.08973088,1.6093065,54.24396
2018-11-02,43.72,1218497,44.0,44.03,43.44,0.3320141,48.02363,-28.0,30.319372,0.8674485,98.26699,42.066414,44.383335,-558811.7,46.788746,-12229811.0,-4.246168,43.486046,0.027507452,1.177977,54.278114
2018-11-05,43.32,1951886,42.98,43.535,42.96,0.3214281,44.980885,-28.0,28.655848,0.7076394,77.460625,42.073395,44.52667,-66596.95,37.454605,-14181697.0,-1.6151438,43.607674,0.017983643,0.15326594,52.905178
2018-11-06,43.15,2039956,43.31,43.4407,42.945,0.29605535,43.713238,-28.0,27.12852,0.62995833,53.874153,41.856102,44.67,-419278.47,28.829987,-16221653.0,0.43459824,43.7293,-0.03228266,0.04992795,53.172176
2018-11-07,44.54,1192383,44.24,44.61,44.04,0.3616254,54.903965,-24.0,26.051037,1.0611078,75.765335,42.13537,44.81333,480238.53,35.460632,-15029270.0,-1.5377967,43.85093,0.04029675,1.9221954,51.484238
2018-11-08,44.67,984111,44.88,44.96,44.58,0.39952493,55.789272,80.0,25.395193,1.0389367,98.09891,42.54058,44.956665,-37714.633,40.59165,-14045159.0,-3.6109922,43.972557,0.058774546,2.4390247,46.972748
2018-11-09,44.94,1514063,45.05,45.1,44.63,0.4261182,57.64889,84.0,24.923285,1.0259312,116.89701,42.726463,45.1,445496.97,46.55153,-12531096.0,-2.5720544,44.094185,0.06322124,2.232021,46.075882
2018-11-12,44.54,1150516,44.9,44.92,44.485,0.40050182,54.023457,84.0,24.272074,0.86050755,92.36075,42.772305,45.23,-414083.97,47.7001,-13681612.0,-3.2994118,44.215813,-0.037084,1.6810181,44.39095
2018-11-13,44.19,1145043,44.38,44.525,44.075,0.34578237,51.00113,84.0,23.079935,0.73765194,73.79204,42.8147,45.36,-973882.75,48.218872,-14826655.0,-3.6283052,44.33744,-0.008656128,0.7823012,41.25177
2018-11-14,44.46,1163033,44.55,44.73,44.16,0.31446898,53.177315,84.0,22.216084,0.7917708,68.94757,42.84085,45.49,-912670.5,55.42591,-13663622.0,-3.5674095,44.45907,-0.06726651,0.9148296,43.094635
2018-11-15,43.57,1286522,43.47,43.69,43.115,0.22472234,45.935184,84.0,21.177818,0.53753096,50.291576,42.760128,45.62,-163131.6,48.554806,-14950144.0,-2.7532072,44.580696,-0.09102226,-1.0508603,46.964405
2018-11-16,44.17,1101936,43.61,44.32,43.48,0.19763167,50.799843,44.0,19.873703,0.6902301,57.241467,42.75194,45.75,545255.8,47.896713,-13848208.0,-2.9159846,44.702324,-0.029240647,-0.12502314,46.931053
