Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.8171,3000,3129.0,129.79,14.28,4,3,0,43.26,43.27,10,28,5,190,obv,0,I/I,IGNORE,0.01,-0.04,1,1,1
2023-02-08,2023-03-08,1.305,3000,0,59.45,6.54,1,1,0,59.45,59.45,10,28,5,25,elder,0,I/D,IGNORE,0.015,-0.15,1,1,1
2023-02-08,2023-03-08,2.0366,3000,3129.0,129.79,14.28,4,3,0,43.26,43.27,10,28,5,85,zigzag,0,I/I,IGNORE,0.01,-0.29,1,1,1
2023-02-08,2023-03-08,1.6579,3000,0,90.33,9.94,2,2,0,45.17,45.17,10,28,5,90,aroon,1,I/I,I/D,0.015,-0.08,1,1,1
2023-02-08,2023-03-08,1.1981,3000,3064.0,64.17,7.06,2,1,0,64.17,64.17,10,28,5,90,mfi,0,I/D,I/I,0.015,-0.27,1,1,1
2023-02-08,2023-03-08,1.4264,3000,0,68.77,7.56,1,1,0,68.77,68.77,10,28,5,50,pvo,1,I/D,IGNORE,0.02,-0.02,1,1,1
2023-02-08,2023-03-08,1.0467,3000,3063.0,63.53,6.99,2,1,0,63.53,63.53,10,28,5,55,adx,1,I/D,I/I,0.01,-0.16,1,1,1
2023-02-08,2023-03-08,1.5029,3000,0,43.27,4.76,1,1,0,43.27,43.27,10,28,5,75,pvo,1,I/D,IGNORE,0.005,-0.23,1,1,1
2023-02-08,2023-03-08,1.3359,3000,0,32.55,3.58,1,1,0,32.55,32.55,10,28,5,20,mfi/bop/rsi,0,I/D/D/D,IGNORE,0.005,-0.1,1,1,1
2023-02-08,2023-03-08,1.486,3000,0,145.81,16.04,1,1,0,145.81,145.81,10,28,5,15,mfi/macd,2,D/I/D,D/I/I,0.035,-0.13,1,1,1
2023-02-08,2023-03-08,1.4252,3000,0,127.56,14.03,1,1,0,127.56,127.56,10,28,5,145,bop,5,I/I,D/I,0.03,-0.08,1,1,1
2023-02-08,2023-03-08,1.358,3000,3040.0,40.52,4.46,2,1,0,40.52,40.52,10,28,5,5,obv,0,I/D,D/I,0.07,-0.21,1,1,1
2023-02-08,2023-03-08,1.376,3000,0,76.27,8.39,2,2,0,38.14,38.14,10,28,5,105,chandelier/adl/rsi/bop/adx,1,I/I/I/I/I/I,IGNORE,0.01,-0.29,1,1,1
2023-02-08,2023-03-08,1.0945,3000,0,28.35,3.12,1,1,0,28.35,28.35,10,28,5,100,mfi/aroon/adl,1,I/I/I/I,I/I/D/I,0.05,-0.04,1,1,1
2023-02-08,2023-03-08,1.2419,3000,0,43.27,4.76,1,1,0,43.27,43.27,10,28,5,105,bop,3,I/I,IGNORE,0.01,-0.27,1,1,1
2023-02-08,2023-03-08,1.3441,3000,0,68.77,7.56,1,1,0,68.77,68.77,10,28,5,45,pvo,0,I/I,I/D,0.015,-0.3,1,1,1
2023-02-08,2023-03-08,1.4922,3000,3080.0,80.58,8.86,2,1,0,80.58,80.58,10,28,5,5,bop,1,I/D,D/D,0.035,-0.25,1,1,1
