Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1995-05-31,N/A,1995-05-01,1995-05-05,0.418
1996-05-16,N/A,1996-04-17,1996-04-19,0.5156
1997-03-19,N/A,1997-02-26,1997-02-25,3.234
1997-05-15,N/A,1997-04-16,1997-04-18,0.5785
1998-05-19,N/A,1998-04-21,1998-04-23,0.7109
1999-05-24,N/A,1999-04-21,1999-04-23,0.8097
2000-05-11,N/A,2000-04-12,2000-04-14,0.8195
2001-04-20,N/A,2001-03-22,2001-03-26,0.4213
2002-04-22,N/A,2002-03-21,2002-03-25,0.4557
2003-04-07,N/A,2003-03-04,2003-03-06,0.70553
2004-03-30,N/A,2004-02-24,2004-02-26,0.78117
2005-04-06,N/A,2005-03-01,2005-03-03,0.88322
2006-04-03,N/A,2006-02-28,2006-03-02,0.880052
2007-04-10,N/A,2007-03-06,2007-03-08,1.096517
2008-04-11,N/A,2008-02-26,2008-02-28,1.537471
2009-04-06,N/A,2009-02-24,2009-02-26,1.714383
2010-04-13,N/A,2010-03-02,2010-03-04,1.948359
2011-04-08,N/A,2011-02-24,2011-02-28,2.36336
2012-04-05,N/A,2012-02-27,2012-02-29,2.482145
2013-04-05,N/A,2013-02-26,2013-02-28,2.42647
2014-04-10,N/A,2014-02-27,2014-03-03,2.759789
2015-04-20,N/A,2015-03-02,2015-03-04,2.665947
2016-04-15,N/A,2016-02-24,2016-02-26,2.717946
2017-04-20,N/A,2017-03-01,2017-03-03,2.717759
2018-04-25,2018-03-07,2018-03-06,2018-03-07,2.936451
2019-03-13,2019-01-31,2019-03-04,2019-03-05,2.834128
2020-03-12,2020-01-31,2020-03-03,2020-03-04,3.0873655
2021-03-15,2021-01-26,2021-03-04,2021-03-05,3.1990725
2022-03-17,2022-02-03,2022-03-08,2022-03-09,3.3252497
2023-03-20,2023-02-02,2023-03-09,2023-03-10,3.4693612
