date,close,volume,open,high,low
2013-07-11,73.48,1122348,73.43,73.54,72.95
2013-07-12,73.65,1070661,73.37,73.65,73.22
2013-07-15,73.71,891157,73.62,73.74,73.17
2013-07-16,73.47,1028159,73.32,73.645,73.27
2013-07-17,72.88,1641718,73.24,73.32,72.61
2013-07-18,72.65,1822048,72.53,72.85,72.21
2013-07-19,72.57,901852,72.11,72.8146,72.07
2013-07-22,72.86,1775200,72.45,72.96,72.38
2013-07-23,72.70,1142996,72.56,72.879,72.36
2013-07-24,72.71,1325423,72.98,73.00,72.3442
2013-07-25,72.23,1798709,71.92,72.2748,71.47
2013-07-26,71.80,1306989,71.05,71.82,70.95
2013-07-29,71.32,1548487,71.46,71.97,71.30
2013-07-30,71.12,1038665,71.36,71.42,71.00
2013-07-31,71.61,2228201,71.47,72.02,71.36
2013-08-01,71.98,2244792,72.36,72.435,71.68
2013-08-02,72.73,1052702,72.55,72.94,72.35
2013-08-05,72.48,784880,72.32,72.65,72.15
2013-08-06,73.28,1364663,74.01,74.09,73.24
2013-08-07,73.73,1102386,73.85,73.94,73.45
2013-08-08,73.72,954747,73.89,73.96,73.59
2013-08-09,73.42,972346,73.64,73.86,73.24
2013-08-12,73.21,915743,73.17,73.41,73.06
2013-08-13,73.78,977680,73.33,73.81,72.95
2013-08-14,73.62,868955,73.78,74.00,73.47
2013-08-15,73.34,1019618,72.93,73.415,72.46
2013-08-16,72.84,970845,73.33,73.4335,72.6399
2013-08-19,72.90,1534082,73.03,73.2136,72.81
2013-08-20,74.73,2207804,74.97,75.15,74.58
2013-08-21,74.25,2492183,74.43,74.79,74.075
2013-08-22,74.74,1095235,74.67,74.92,74.55
2013-08-23,75.42,1079724,74.89,75.49,74.82
2013-08-26,75.13,1982740,75.55,75.73,75.02
2013-08-27,74.29,1062852,74.50,74.85,74.09
2013-08-28,73.45,1265010,73.35,73.64,73.16
2013-08-29,72.59,1608338,72.28,72.84,72.24
2013-08-30,72.98,1767629,72.78,73.129,72.62
2013-09-03,74.69,1416735,75.41,75.47,74.45
2013-09-04,74.61,901280,74.49,74.812,74.41
2013-09-05,74.93,934925,74.78,75.095,74.57
2013-09-06,75.92,2096078,75.25,76.10,75.16
2013-09-09,75.76,990534,75.66,75.97,75.33
2013-09-10,76.07,700946,75.88,76.26,75.85
2013-09-11,76.46,605989,76.12,76.58,76.11
2013-09-12,76.18,880067,76.33,76.758,76.15
2013-09-13,76.20,724021,76.00,76.35,75.85
2013-09-16,75.30,1814615,76.01,76.01,75.23
2013-09-17,75.20,969054,75.02,75.28,74.91
2013-09-18,76.70,1658970,75.42,76.77,75.19
2013-09-19,76.11,1388740,76.21,76.27,75.91
2013-09-20,76.45,1170896,76.85,76.9301,76.45
2013-09-23,76.74,963960,76.98,77.02,76.29
2013-09-24,76.37,720587,76.59,76.71,76.17
2013-09-25,76.44,1346075,76.71,76.80,76.34
2013-09-26,76.68,1037304,77.05,77.10,76.42
2013-09-27,77.08,1779046,77.02,77.095,76.72
2013-09-30,76.71,1637852,76.77,77.09,76.54
2013-10-01,76.72,891229,76.70,76.898,76.41
2013-10-02,75.96,1115752,76.45,76.50,75.72
2013-10-03,75.78,767088,76.15,76.198,75.68
2013-10-04,75.74,672189,75.55,75.90,75.53
2013-10-07,75.35,623605,75.20,75.495,75.13
2013-10-08,73.84,1886750,74.47,74.64,73.83
2013-10-09,72.96,2415162,73.04,73.49,72.91
2013-10-10,73.96,1876810,72.78,74.1203,72.77
2013-10-11,74.95,1561360,74.69,74.97,74.57
2013-10-14,75.19,1287815,74.62,75.21,74.52
2013-10-15,73.86,3572774,74.29,74.46,73.56
2013-10-16,73.98,2342780,73.53,74.18,73.45
2013-10-17,75.24,1948677,75.09,75.31,74.63
2013-10-18,75.02,1206943,74.54,75.054,74.54
2013-10-21,75.30,977724,74.81,75.34,74.72
2013-10-22,77.76,1815894,76.75,78.11,76.73
2013-10-23,78.12,1844064,77.82,78.22,77.70
2013-10-24,78.10,1015356,78.41,78.46,78.01
2013-10-25,78.88,1032114,79.12,79.1899,78.615
2013-10-28,79.16,876568,79.11,79.38,79.005
2013-10-29,79.11,980802,79.35,79.409,78.78
2013-10-30,78.87,807601,79.56,79.64,78.52
2013-10-31,77.55,1733994,78.10,78.29,77.52
2013-11-01,77.25,1241536,77.25,77.30,76.91
2013-11-04,78.40,2298962,77.04,78.53,76.97
2013-11-05,77.00,2649483,77.03,77.35,76.831
2013-11-06,77.91,1344829,77.92,78.15,77.55
2013-11-07,76.89,2792173,77.05,77.408,76.89
2013-11-08,77.25,1881810,76.43,77.41,76.36
2013-11-11,77.79,667472,78.02,78.07,77.55
2013-11-12,78.04,905128,78.23,78.41,77.92
2013-11-13,78.85,864812,77.99,78.88,77.87
2013-11-14,78.86,1121654,78.34,78.94,78.31
2013-11-15,79.16,1651124,78.78,79.27,78.71
2013-11-18,78.44,1551446,79.01,79.06,78.37
2013-11-19,78.51,1599970,78.35,78.53,78.24
2013-11-20,78.30,1524413,78.84,79.07,78.28
2013-11-21,79.17,1140964,79.04,79.25,78.95
2013-11-22,79.71,1133885,80.36,80.43,79.50
2013-11-25,79.53,718381,79.97,80.05,79.42
2013-11-26,79.28,791528,79.45,79.73,79.205
2013-11-27,78.62,623169,79.24,79.24,78.51
2013-11-29,79.12,353200,79.20,79.476,79.05
2013-12-02,79.21,645465,79.32,79.52,79.185
2013-12-03,78.53,887584,79.16,79.23,78.345
2013-12-04,78.05,831084,77.82,78.1978,77.68
2013-12-05,77.96,631552,78.21,78.38,77.86
2013-12-06,78.79,860590,78.23,78.8601,78.07
2013-12-09,78.37,765958,78.29,78.54,78.10
2013-12-10,78.01,648942,78.11,78.39,77.77
2013-12-11,77.54,1067274,78.67,78.71,77.44
2013-12-12,76.63,1534705,77.30,77.435,76.42
2013-12-13,76.84,675537,76.96,77.00,76.439
2013-12-16,76.93,828687,76.85,77.29,76.68
2013-12-17,76.69,1149530,76.84,76.97,76.36
2013-12-18,77.53,1445219,77.01,77.79,76.60
2013-12-19,78.57,2729558,78.08,78.70,78.02
2013-12-20,78.32,1439725,78.69,78.78,78.24
2013-12-23,78.66,982437,78.95,79.01,78.535
2013-12-24,78.78,260326,78.64,78.80,78.53
2013-12-26,78.96,413720,78.89,79.06,78.66
2013-12-27,80.39,940467,80.25,80.55,80.031
2013-12-30,80.34,663973,80.24,80.38,79.77
2013-12-31,80.38,377360,80.22,80.38,80.03
2014-01-02,78.72,1345379,79.04,79.31,78.544
2014-01-03,79.11,736915,78.92,79.34,78.78
2014-01-06,79.19,1056530,79.29,79.63,79.15
2014-01-07,79.47,2908532,79.72,79.83,79.35
2014-01-08,79.71,1078049,79.80,80.01,79.5201
2014-01-09,80.81,2696098,79.80,81.04,79.271
2014-01-10,81.34,1641110,80.63,81.37,80.59
2014-01-13,80.39,1175251,80.94,81.20,80.335
2014-01-14,80.74,917411,80.53,80.94,80.39
2014-01-15,80.84,1533035,80.76,81.09,80.51
2014-01-16,81.78,1404698,81.68,81.881,81.51
2014-01-17,81.18,1006095,81.58,81.64,81.03
2014-01-21,81.37,1190466,81.38,81.6199,81.17
