date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,83.81,1087338,83.81,83.95,83.7,,,,,,,,,-130480.56,,0.0,,,,,
2018-08-29,83.67,1279677,83.19,83.8,83.125,,,,,,,,,656283.8,,-1279677.0,,,,,
2018-08-30,83.49,1044791,83.42,83.8,83.27,,,,,,,,,478866.47,,-2324468.0,,,,,
2018-08-31,83.01,968137,83.16,83.39,82.695,,,,,,,,,388321.28,,-3292605.0,,,,,
2018-09-04,82.56,902015,82.25,82.6643,82.25,,,,,,,,,836171.9,,-4194620.0,,,,,
2018-09-05,82.1,1326343,81.71,82.185,81.7,,,,,,,,,1697611.1,,-5520963.0,,,,,
2018-09-06,81.54,1471858,82.11,82.17,81.17,,,,,,,,,1314928.0,,-6992821.0,,,,,
2018-09-07,81.78,1230930,81.28,81.92,81.22,,,,,,,,,2053486.0,,-5761891.0,,,,,
2018-09-10,82.53,1360596,82.62,83.02,82.4301,,,,,,,,,1153725.9,,-4401295.0,,,,,
2018-09-11,83.97,1956480,83.91,84.075,83.535,,,,,,,,,2349352.5,,-2444815.0,,,,,
2018-09-12,84.43,1158470,84.4,84.75,84.38,,,,,,,,,1503982.6,,-1286345.0,,,,,
2018-09-13,85.3,1982367,85.04,85.4,84.79,,,,,,,,,2836393.2,,696022.0,,,,,
2018-09-14,85.22,1333816,85.17,85.34,84.85,,,,,,,,,3516911.5,,-637794.0,,,,3.5115385,
2018-09-17,85.13,2468338,84.83,85.4,84.8,,,,,,,,,3763745.2,,-3106132.0,,,0.2422795,3.00989,
2018-09-18,85.03,1878986,84.1,85.0618,84.05,,59.68254,,,,,,,5524621.5,37.770405,-4985118.0,,,0.30793336,1.5117058,39.620853
2018-09-19,84.9,2539358,84.17,84.91,84.15,,58.385094,,,,,,,7997154.5,35.51832,-7524476.0,,,0.32574874,1.1456336,40.229893
2018-09-20,85.97,3142388,84.69,85.98,84.69,,65.10847,,,,,,85.98,11090823.0,45.765446,-4382088.0,,,0.38718963,2.180543,37.645363
2018-09-21,85.46,2938397,85.16,85.67,85.12,,60.12253,,,,92.841995,,86.17375,11785353.0,42.15856,-7320485.0,,,0.4415669,1.9533226,37.80546
2018-09-24,85.29,1799626,85.31,85.5,84.92,,58.51399,,,,89.96465,,86.3675,12281802.0,40.674408,-9120111.0,,,0.38565743,1.3342766,37.27897
2018-09-25,85.9,1330722,86.07,86.32,85.79,,62.401173,,,0.8349419,84.802986,,86.56125,11503455.0,45.659466,-7789389.0,,,0.30530897,2.6365228,35.188374
2018-09-26,86.41,1417645,85.87,86.755,85.82,,65.326385,,,0.8790064,90.69062,,86.755,11874924.0,51.049465,-6371744.0,,,0.3872761,2.6234481,32.267105
2018-09-27,86.11,1614940,85.88,86.59,85.85,,62.257973,,,0.7965107,90.99725,,86.95672,11394806.0,45.79929,-7986684.0,,,0.35845646,2.1643841,36.425617
2018-09-28,86.16,1217050,86.44,86.56,86.1,,62.5735,,,0.7756835,82.07738,84.19136,87.15844,10495248.0,45.62198,-6769634.0,,,0.32587594,2.0923293,40.27471
2018-10-01,86.33,1249068,86.45,86.63,86.2,,63.68513,,,0.7735941,77.125465,84.243805,87.36016,10001430.0,44.250275,-5520566.0,,,0.29800588,1.963425,52.580894
2018-10-02,86.34,1892277,85.89,86.47,85.66,,63.75333,,,0.75000316,81.192665,84.24749,87.56188,11286309.0,38.720486,-3628289.0,,,0.3318969,1.0043643,53.78707
2018-10-03,87.45,2261312,87.28,87.7636,87.231,,70.398705,76.0,,0.89316547,91.19813,85.17594,87.7636,10884657.0,39.486183,-1366977.0,,87.45,0.32425115,3.3297694,43.28536
2018-10-04,85.85,1121016,86.57,86.695,85.48,,54.802097,76.0,,0.610694,61.205273,85.024925,87.45088,10446400.0,39.77998,-2487993.0,,86.575,0.27463448,0.5051452,47.821217
2018-10-05,85.51,1203592,85.83,86.0299,85.12,,52.157696,76.0,17.374514,0.51123554,31.668257,85.02534,87.13816,10274571.0,41.719788,-3691585.0,,85.7,0.2137997,-0.4271184,48.705936
2018-10-08,85.26,1833397,84.62,85.415,84.56,,50.238102,76.0,16.771782,0.38785604,2.385523,85.020256,86.82544,11443228.0,41.78054,-5524982.0,,84.825,0.20161285,-1.4510158,49.371674
2018-10-09,85.08,3587325,84.43,85.24,84.25,,48.844234,76.0,16.487408,0.28642002,6.655122,85.007225,86.51272,13871013.0,40.143486,-9112307.0,,83.95,0.17990136,-1.7551564,50.803677
2018-10-10,84.39,2824210,86.18,86.2,84.29,,43.82465,76.0,15.3926525,0.03407368,-1.7827563,84.87206,86.2,11342532.0,39.37662,-11936517.0,,83.075,0.042085595,-0.40299118,52.513996
2018-10-11,82.2,3572877,83.58,83.72,81.69,,32.432323,76.0,16.125975,-0.3140728,-5.7700014,84.635315,86.41333,9564894.0,38.624226,-15509394.0,,82.2,-0.0454328,-4.555421,36.462765
2018-10-12,82.78,1793159,83.16,83.19,82.1521,,37.096123,72.0,16.806915,-0.053244185,2.6266258,84.63598,86.62666,9941355.0,45.178623,-13716235.0,,82.46657,-0.06912145,-3.9939752,37.538696
2018-10-15,83.15,2065289,83.45,83.63,83.12,-0.70775807,39.943966,-24.0,16.995272,0.08100819,24.44553,84.66223,86.84,8119041.5,46.52198,-11650946.0,3.2607198,82.73315,-0.088227205,-2.1523502,37.119385
2018-10-16,85.72,2827088,84.49,85.81,84.32,-0.48397124,55.13696,-24.0,16.173923,0.5799818,66.32712,84.440475,87.05334,10604602.0,49.093437,-8823858.0,3.5270875,82.99972,-0.07051555,0.86512846,40.958847
2018-10-17,85.28,3122207,85.4,85.57,84.73,-0.3520788,52.67979,-24.0,15.4112425,0.4897532,81.006325,84.45653,87.26667,11571000.0,46.695133,-11946065.0,4.101272,83.26629,-0.1029204,0.8501101,41.484364
2018-10-18,86.24,5483764,85.96,86.72,85.54,-0.19455084,57.165108,-24.0,15.46768,0.67514294,98.55038,84.410484,87.48,12593396.0,53.306114,-6462301.0,9.443428,83.53286,-0.04249299,2.3772373,43.476868
2018-10-19,87.19,3400344,87.3,87.57,87.03,-0.029407652,61.095066,-24.0,16.015148,0.8282937,96.922195,84.38154,87.69334,11208071.0,56.1032,-3061957.0,6.954387,83.79943,-0.0371097,4.0747747,45.14304
2018-10-22,87.1,2843099,86.68,87.24,86.38,0.06554819,60.528496,-24.0,15.962648,0.78445727,103.54467,84.41799,87.90667,13125510.0,54.64607,-5905056.0,3.6856139,84.066,-0.041908517,2.569807,45.237694
2018-10-23,88.01,4343016,86.68,88.12,86.2247,0.17520249,64.14873,32.0,16.428669,0.900281,109.68761,84.668015,88.12,16964404.0,57.06066,-1562040.0,4.3688436,84.33257,-0.014583731,2.5845346,43.95847
2018-10-24,84.25,3823790,87.12,87.36,84.22,-0.010106584,45.556427,32.0,15.35079,0.28908053,58.367764,84.308105,88.27778,13213679.0,53.468204,-5385830.0,3.2080214,84.599144,-0.037542313,0.28557244,47.17955
2018-10-25,85.74,3975509,84.01,86.445,83.67,-0.035513,51.549217,32.0,14.510047,0.5397443,44.158768,84.10297,88.435555,15169200.0,58.947796,-1410321.0,2.3648732,84.865715,0.03210843,-1.2059379,50.21883
2018-10-26,85.29,4323607,85.06,85.78,84.26,-0.08308901,49.767498,32.0,13.729357,0.47187033,28.33088,84.078285,88.59333,16705218.0,55.896736,-5733928.0,2.0939775,85.132286,-0.010550299,-1.1750896,51.10105
2018-10-29,86.09,4175941,86.99,87.13,85.29,-0.06210502,52.885212,32.0,13.391126,0.608273,65.78538,84.01109,88.751114,16160530.0,63.818375,-1557987.0,1.28668,85.39886,-0.09238573,1.0670661,52.350037
2018-10-30,86.63,4109530,86.69,86.92,85.92,-0.015700009,54.919125,32.0,13.077053,0.6953062,79.592186,84.06149,88.90889,17886532.0,64.79768,2551543.0,0.37085682,85.66543,-0.029730536,1.214628,50.978462
