Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.6882,3000,0,10.83,1.19,1,1,0,10.83,10.83,10,28,5,5,macd/chop/bollinger,1,I/I/I/I,D/D/D/D,0.1,-0.21,1,1,1
2023-06-13,2023-07-11,0.8759,3000,3080.0,80.91,8.9,2,1,0,80.91,80.91,10,28,5,145,rsi/bop,1,I/D/D,D/D/D,0.015,-0.16,1,1,1
2023-06-13,2023-07-11,1.361,3000,3080.0,80.91,8.9,2,1,0,80.91,80.91,10,28,5,135,zigzag/pivots,0,I/I/I,IGNORE,0.01,-0.25,1,1,1
2023-06-13,2023-07-11,0.6699,3000,3050.0,50.98,5.61,2,1,0,50.98,50.98,10,28,5,105,mfi/bollinger/chandelier,0,I/I/I/I,D/D/I/D,0.02,-0.16,1,1,1
2023-06-13,2023-07-11,1.3327,3000,3080.0,80.91,8.9,2,1,0,80.91,80.91,10,28,5,10,macd,1,I/I,IGNORE,0.015,-0.23,1,1,1
2023-06-14,2023-07-12,1.071,3000,0,21.29,2.34,1,1,0,21.29,21.29,10,28,5,35,adl/pvo,4,D/I/I,IGNORE,0.01,-0.17,1,1,1
2023-06-14,2023-07-12,1.0569,3000,0,5.73,0.63,1,1,0,5.73,5.73,10,28,5,15,chandelier/stochastic/elder,0,I/D/D/D,IGNORE,0.01,-0.12,1,1,1
2023-06-14,2023-07-12,0.735,3000,3023.0,23.97,2.64,2,1,0,23.97,23.97,10,28,5,90,bollinger/adx,0,I/I/D,IGNORE,0.015,-0.24,1,1,1
2023-06-14,2023-07-12,0.7138,3000,3014.0,14.14,1.56,3,2,0,7.07,7.07,10,28,5,140,bop,3,I/D,IGNORE,0.005,-0.03,1,1,1
2023-06-14,2023-07-12,1.1358,3000,0,5.73,0.63,1,1,0,5.73,5.73,10,28,5,10,obv/elder/chandelier,0,I/I/D/D,IGNORE,0.005,-0.22,1,1,1
2023-06-14,2023-07-12,0.8247,3000,3045.0,45.33,4.99,2,1,0,45.33,45.33,10,28,5,155,mfi/macd,2,I/I/D,IGNORE,0.005,-0.29,1,1,1
2023-06-14,2023-07-12,1.2281,3000,0,23.97,2.64,1,1,0,23.97,23.97,10,28,5,115,pvo/obv/chandelier/rsi/macd,0,I/D/I/I/I/D,IGNORE,0.01,-0.3,1,1,1
2023-06-14,2023-07-12,1.385,3000,0,80.91,8.9,1,1,0,80.91,80.91,10,28,5,10,stochastic,3,I/I,D/D,0.01,-0.06,1,1,1
2023-06-14,2023-07-12,1.091,3000,3080.0,80.91,8.9,2,1,0,80.91,80.91,10,28,5,65,adl/macd,1,I/I/D,D/D/I,0.015,-0.13,1,1,1
2023-06-14,2023-07-12,1.695,3000,3080.0,80.91,8.9,2,1,0,80.91,80.91,10,28,5,20,chandelier,0,D/D,I/D,0.07,-0.26,1,1,1
2023-06-14,2023-07-12,1.5407,3000,3050.0,50.98,5.61,2,1,0,50.98,50.98,10,28,5,5,zigzag/bop,0,I/I/I,IGNORE,0.02,-0.22,1,1,1
2023-06-15,2023-07-13,1.6464,3000,0,42.14,4.64,1,1,0,42.14,42.14,10,28,5,5,bollinger/adx/rsi,0,D/D/I/D,IGNORE,0.01,-0.13,1,1,1
2023-06-15,2023-07-13,0.6698,3000,3050.0,50.93,5.6,2,1,0,50.93,50.93,10,28,5,160,mfi/aroon,1,I/D/D,D/I/D,0.005,-0.17,1,1,1
2023-06-15,2023-07-13,0.6095,3000,3032.0,32.86,3.61,2,1,0,32.86,32.86,10,28,5,15,bop/elder/stochastic,1,D/I/D/D,I/D/D/D,0.02,-0.09,1,1,1
2023-06-15,2023-07-13,0.5799,3000,3023.0,23.97,2.64,2,1,0,23.97,23.97,10,28,5,100,bop,4,I/D,D/I,0.01,-0.29,1,1,1
2023-06-15,2023-07-13,0.8761,3000,3023.0,23.97,2.64,2,1,0,23.97,23.97,10,28,5,25,pvo/obv/aroon,1,I/D/I/I,IGNORE,0.015,-0.23,1,1,1
2023-06-18,2023-07-16,1.0708,3000,0,21.23,2.33,1,1,0,21.23,21.23,10,28,5,125,macd/pvo/bop,2,I/D/D/D,D/D/I/D,0.005,-0.16,1,1,1
2023-06-18,2023-07-16,1.4014,3000,0,58.9,6.48,1,1,0,58.9,58.9,10,28,5,105,elder/zigzag,0,I/D/I,I/I/I,0.005,-0.1,1,1,1
2023-06-18,2023-07-16,1.9215,3000,0,25.75,2.83,2,2,0,12.87,12.87,10,28,5,5,obv,0,D/D,I/I,0.025,-0.2,1,1,1
2023-06-18,2023-07-16,0.6697,3000,3005.0,5.73,0.63,2,1,0,5.73,5.73,10,28,5,70,adl/chandelier/elder,0,I/I/I/D,I/I/D/I,0.005,-0.23,1,1,1
2023-06-18,2023-07-16,1.4703,3000,0,8.39,0.92,1,1,0,8.39,8.39,10,28,5,40,chandelier/macd/bollinger,0,D/D/D/D,D/D/I/D,0.01,-0.29,1,1,1
2023-06-18,2023-07-16,1.6705,3000,0,58.9,6.48,1,1,0,58.9,58.9,10,28,5,5,bollinger,2,D/D,D/I,0.005,-0.06,1,1,1
2023-06-18,2023-07-16,0.6907,3000,3023.0,23.97,2.64,2,1,0,23.97,23.97,10,28,5,90,macd/mfi/zigzag,0,I/D/D/I,D/I/D/I,0.02,-0.27,1,1,1
2023-06-18,2023-07-16,1.131,3000,0,5.73,0.63,1,1,0,5.73,5.73,10,28,5,50,macd/chop,3,D/D/I,I/D/D,0.01,-0.2,1,1,1
2023-06-21,2023-07-19,1.7821,3000,0,172.12,18.93,3,3,0,57.37,37.2,10,28,5,60,aroon,2,D/D,IGNORE,0.005,-0.23,1,1,1
2023-06-21,2023-07-19,1.9882,3000,0,88.88,9.78,1,1,0,88.88,88.88,10,28,5,10,elder,1,D/D,I/I,0.06,-0.08,1,1,1
2023-06-21,2023-07-19,1.3839,3000,0,5.73,0.63,1,1,0,5.73,5.73,10,28,5,140,elder,2,I/I,D/I,0.01,-0.29,1,1,1
2023-06-21,2023-07-19,1.3261,3000,0,8.39,0.92,1,1,0,8.39,8.39,10,28,5,195,aroon/pvo/chandelier,0,I/I/I/I,IGNORE,0.005,-0.22,1,1,1
2023-06-21,2023-07-19,0.7208,3000,3032.0,32.86,3.61,2,1,0,32.86,32.86,10,28,5,10,zigzag/pvo,0,D/D/I,D/D/D,0.02,-0.19,1,1,1
2023-06-21,2023-07-19,1.3979,3000,0,1.52,0.17,1,1,0,1.52,1.52,10,28,5,10,bop,0,D/D,D/I,0.035,-0.24,1,1,1
2023-06-21,2023-07-19,0.9417,3000,3043.0,43.71,4.81,2,1,0,43.71,43.71,10,28,5,95,obv,1,I/I,I/D,0.02,-0.02,1,1,1
2023-06-23,2023-07-21,1.4414,3000,0,132.41,14.57,1,1,0,132.41,132.41,10,28,5,5,macd,3,I/D,IGNORE,0.01,-0.16,1,1,1
2023-06-24,2023-07-22,1.4581,3000,0,137.42,15.12,1,1,0,137.42,137.42,10,28,5,45,chop/rsi,0,D/I/D,IGNORE,0.045,-0.06,1,1,1
2023-06-24,2023-07-22,1.6825,3000,0,204.74,22.52,1,1,0,204.74,204.74,10,28,5,15,macd,3,D/D,IGNORE,0.025,-0.27,1,1,1
2023-06-24,2023-07-22,1.5194,3000,0,155.83,17.14,1,1,0,155.83,155.83,10,28,5,50,adx/adl/macd,0,D/D/I/D,IGNORE,0.045,-0.06,1,1,1
