Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2009-05-08,2009-03-17,2009-04-06,2009-04-08,0.05
2009-08-13,2009-06-22,2009-07-13,2009-07-15,0.05
2009-11-04,2009-09-16,2009-10-09,2009-10-14,0.05
2010-02-09,2009-12-17,2010-01-14,2010-01-19,0.05
2010-05-05,2010-03-23,2010-04-12,2010-04-14,0.05
2010-08-04,2010-06-24,2010-07-12,2010-07-14,0.05
2010-11-03,2010-09-16,2010-10-04,2010-10-06,0.05
2011-02-09,2010-12-15,2011-01-14,2011-01-19,0.05
2011-05-04,2011-03-24,2011-04-11,2011-04-13,0.06
2011-08-03,2011-06-23,2011-07-11,2011-07-13,0.06
2011-11-02,2011-09-20,2011-10-07,2011-10-12,0.06
2012-02-01,2011-12-20,2012-01-09,2012-01-11,0.06
2012-05-02,2012-03-20,2012-04-09,2012-04-11,0.06
2012-08-03,2012-06-18,2012-07-11,2012-07-13,0.06
2012-11-02,2012-09-20,2012-10-10,2012-10-12,0.06
2012-12-21,2012-12-03,2012-12-12,2012-12-14,0.18
2013-08-02,2013-06-20,2013-07-10,2013-07-12,0.12
2013-10-29,2013-09-18,2013-10-04,2013-10-08,0.12
2014-01-28,2013-12-18,2014-01-03,2014-01-07,0.12
2014-04-29,2014-03-18,2014-04-04,2014-04-08,0.12
2014-07-30,2014-06-19,2014-07-07,2014-07-09,0.12
2014-10-29,2014-09-18,2014-10-06,2014-10-08,0.12
2015-01-28,2014-12-17,2015-01-05,2015-01-07,0.12
2015-04-28,2015-03-17,2015-04-02,2015-04-07,0.15
2015-07-29,2015-06-17,2015-07-06,2015-07-08,0.15
2015-10-28,2015-09-15,2015-10-09,2015-10-14,0.15
2016-01-27,2015-12-15,2016-01-04,2016-01-06,0.15
2016-04-28,2016-03-14,2016-04-12,2016-04-14,0.15
2016-07-27,2016-06-16,2016-07-01,2016-07-06,0.15
2016-10-26,2016-09-15,2016-10-07,2016-10-12,0.15
2017-01-26,2016-12-15,2017-01-03,2017-01-05,0.15
2017-04-26,2017-03-15,2017-04-10,2017-04-12,0.19
2017-08-02,2017-06-21,2017-07-17,2017-07-19,0.19
2017-10-25,2017-09-14,2017-10-10,2017-10-11,0.19
2018-01-24,2017-12-14,2018-01-09,2018-01-10,0.19
2018-05-01,2018-03-16,2018-04-16,2018-04-17,0.19
2018-07-31,2018-06-20,2018-07-16,2018-07-17,0.19
2018-10-30,2018-09-18,2018-10-15,2018-10-16,0.19
2019-01-30,2018-12-18,2019-01-15,2019-01-16,0.19
2019-04-25,2019-03-15,2019-04-10,2019-04-11,0.24
2019-07-31,2019-06-20,2019-07-16,2019-07-17,0.24
2019-10-24,2019-09-12,2019-10-09,2019-10-10,0.24
2020-01-23,2019-12-13,2020-01-08,2020-01-09,0.24
2020-04-23,2020-03-12,2020-04-08,2020-04-09,0.24
2020-07-28,2020-06-16,2020-07-14,2020-07-15,0.24
2020-10-22,2020-09-10,2020-10-07,2020-10-08,0.24
2021-01-21,2020-12-10,2021-01-06,2021-01-07,0.24
2021-04-22,2021-03-10,2021-04-07,2021-04-08,0.32
2021-07-29,2021-06-15,2021-07-14,2021-07-15,0.32
2021-10-26,2021-09-13,2021-10-08,2021-10-12,0.32
2022-01-19,2021-12-09,2022-01-06,2022-01-07,0.32
2022-04-21,2022-03-10,2022-04-07,2022-04-08,0.32
2022-07-26,2022-06-13,2022-07-11,2022-07-12,0.32
2022-10-25,2022-09-12,2022-10-11,2022-10-12,0.32
2023-01-24,2022-12-12,2023-01-09,2023-01-10,0.32
2023-04-24,2023-03-09,2023-04-10,2023-04-11,0.40
2023-07-26,2023-06-12,2023-07-11,2023-07-12,0.40
