date,close,volume,open,high,low
2013-03-08,35.71,14984980,35.94,36.09,35.67
2013-03-11,35.88,14111580,35.70,35.98,35.64
2013-03-12,35.43,18410990,35.85,35.85,35.16
2013-03-13,35.575,21228680,35.82,35.85,35.35
2013-03-14,36.30,21040480,35.80,36.325,35.62
2013-03-15,36.34,56174420,36.11,36.43,36.10
2013-03-18,36.04,20648020,36.10,36.415,36.00
2013-03-19,35.69,20543830,36.18,36.23,35.41
2013-03-20,35.765,39873990,35.98,36.07,35.40
2013-03-21,32.30,132633000,32.78,32.94,32.18
2013-03-22,31.98,64275090,32.40,32.50,31.64
2013-03-25,31.25,39690780,32.05,32.20,31.16
2013-03-26,31.535,29418430,31.41,31.79,31.41
2013-03-27,31.95,35017640,31.41,32.105,31.29
2013-03-28,32.33,23675690,31.89,32.39,31.79
2013-04-01,32.41,18657690,32.36,32.46,32.04
2013-04-02,32.745,22617910,32.65,32.94,32.53
2013-04-03,32.40,25535320,32.93,32.94,32.20
2013-04-04,32.365,18163740,32.36,32.51,32.23
2013-04-05,32.03,24413980,31.77,32.12,31.67
2013-04-08,32.36,14133020,32.07,32.36,31.90
2013-04-09,33.04,30085330,32.50,33.08,32.46
2013-04-10,33.73,35940310,33.15,33.95,33.15
2013-04-11,33.615,23080030,33.62,33.915,33.56
2013-04-12,33.46,18408080,33.64,33.6701,33.02
2013-04-15,32.80,19614050,33.39,33.50,32.80
2013-04-16,33.415,17308510,32.95,33.49,32.91
2013-04-17,32.485,25276840,33.10,33.13,32.45
2013-04-18,32.12,24892490,32.65,32.80,31.90
2013-04-19,32.37,30391350,31.75,32.46,31.67
2013-04-22,32.515,18754850,32.488,32.66,32.16
2013-04-23,32.46,23963560,32.72,33.00,32.37
2013-04-24,32.51,22601640,32.49,32.8333,32.44
2013-04-25,32.27,25909830,32.56,32.575,32.21
2013-04-26,32.359,22375840,32.20,32.53,32.17
2013-04-29,32.24,31380570,32.39,32.50,32.14
2013-04-30,32.78,50028060,32.2201,32.87,32.2201
2013-05-01,33.16,32711930,32.75,33.62,32.72
2013-05-02,33.69,22992660,33.11,33.78,32.98
2013-05-03,33.38,23972170,33.93,33.95,33.28
2013-05-06,33.51,17963500,33.44,33.51,33.08
2013-05-07,33.26,17709910,33.53,33.785,33.19
2013-05-08,33.46,21382560,33.09,33.57,33.09
2013-05-09,33.70,18714620,33.30,34.00,33.28
2013-05-10,34.02,17363020,33.83,34.03,33.65
2013-05-13,33.78,12193260,33.95,34.00,33.655
2013-05-14,33.67,23560300,33.65,34.25,33.55
2013-05-15,33.985,18344320,33.74,34.095,33.71
2013-05-16,34.37,25509150,34.09,34.61,34.09
2013-05-17,35.03,26986650,34.59,35.03,34.44
2013-05-20,34.90,18326350,34.81,35.03,34.56
2013-05-21,35.10,19678360,34.90,35.32,34.90
2013-05-22,34.12,33738670,35.07,35.15,33.92
2013-05-23,34.23,20442430,33.95,34.41,33.86
2013-05-24,34.05,22641500,33.69,34.14,33.42
2013-05-28,34.53,21431480,34.67,34.78,34.255
2013-05-29,34.40,15991220,34.40,34.56,34.12
2013-05-30,34.34,17928250,34.49,34.79,34.34
2013-05-31,33.78,24410470,34.12,34.46,33.75
2013-06-03,34.39,19781960,33.85,34.40,33.73
2013-06-04,34.16,20324870,34.34,34.75,33.955
2013-06-05,34.12,22005580,34.095,34.605,34.00
2013-06-06,33.35,29158610,33.98,33.98,33.13
2013-06-07,33.815,20548860,33.59,34.03,33.32
2013-06-10,34.05,16901430,33.98,34.09,33.8151
2013-06-11,33.57,15274450,33.66,34.15,33.495
2013-06-12,33.52,13731030,33.83,33.87,33.50
2013-06-13,34.25,15727340,33.47,34.32,33.41
2013-06-14,33.77,17550800,34.15,34.32,33.70
2013-06-17,34.27,19397190,34.03,34.63,34.00
2013-06-18,34.40,16742870,34.26,34.59,34.21
2013-06-19,34.09,19402370,34.43,34.59,34.08
2013-06-20,33.21,34567690,33.88,34.015,33.03
2013-06-21,30.135,140778500,30.71,30.84,29.98
2013-06-24,30.17,78906600,30.12,30.44,30.03
2013-06-25,29.96,64047680,30.50,30.53,29.89
2013-06-26,30.14,52429750,30.19,30.23,29.86
2013-06-27,30.45,43010510,30.31,31.14,30.291
2013-06-28,30.71,39787060,30.28,30.81,30.25
2013-07-01,30.11,33955040,30.89,30.98,30.07
2013-07-02,30.10,33114370,30.09,30.35,29.95
2013-07-03,30.70,18629690,30.05,30.80,30.04
2013-07-05,31.19,22193580,30.99,31.20,30.54
2013-07-08,31.645,28898800,31.35,31.65,31.25
2013-07-09,31.515,28854210,31.50,31.60,31.23
2013-07-10,31.23,28478820,31.36,31.44,31.05
2013-07-11,31.86,33192350,31.57,32.00,31.57
2013-07-12,31.25,157649500,31.90,32.00,31.24
2013-07-15,32.01,36543270,31.48,32.05,31.32
2013-07-16,32.00,22531480,31.99,32.15,31.86
2013-07-17,32.16,22357650,32.07,32.44,32.05
2013-07-18,32.01,23613180,31.96,32.46,31.81
2013-07-19,31.86,28395880,32.03,32.03,31.51
2013-07-22,31.87,16760130,31.79,31.90,31.70
2013-07-23,32.07,16771210,31.87,32.19,31.81
2013-07-24,32.39,20003570,32.38,32.56,32.30
2013-07-25,32.37,21050250,32.41,32.41,31.97
2013-07-26,32.54,17308560,32.36,32.60,32.16
2013-07-29,32.48,16119340,32.39,32.56,32.17
2013-07-30,32.55,18340660,32.60,32.71,32.49
2013-07-31,32.35,30540520,32.58,32.75,31.95
2013-08-01,32.75,15800480,32.62,32.83,32.40
2013-08-02,32.57,18974360,32.62,32.70,32.475
2013-08-05,32.78,11151270,32.59,32.90,32.55
2013-08-06,33.00,18620850,32.75,33.215,32.70
