date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,48.64,15475700,49.39,49.43,48.595,,,,,,,,,-13807660.0,,0.0,,,,,
2018-08-29,48.89,17306730,48.64,49.1,48.64,,,,,,,,,-12302727.0,,17306730.0,,,,,
2018-08-30,48.38,15154200,48.89,48.89,48.31,,,,,,,,,-23799018.0,,2152530.0,,,,,
2018-08-31,48.58,17830990,48.38,48.63,48.35,,,,,,,,,-12336238.0,,19983520.0,,,,,
2018-09-04,48.58,17284970,48.36,48.83,48.16,,,,,,,,,-7950499.0,,19983520.0,,,,,
2018-09-05,48.04,16437680,48.41,48.485,47.785,,,,,,,,,-12412155.0,,3545840.0,,,,,
2018-09-06,47.71,18421600,47.95,48.22,47.52,,,,,,,,,-20833458.0,,-14875760.0,,,,,
2018-09-07,47.81,20513900,47.46,47.99,47.33,,,,,,,,,-11508958.0,,5638140.0,,,,,
2018-09-10,48.86,20390570,48.0,49.05,48.0,,,,,,,,,1502167.6,,26028710.0,,,,,
2018-09-11,48.92,14876990,48.52,49.05,48.52,,,,,,,,,9081012.0,,40905700.0,,,,,
2018-09-12,49.34,17031210,48.75,49.465,48.62,,,,,,,,,21073402.0,,57936910.0,,,,,
2018-09-13,48.96,22073440,49.28,49.745,48.88,,,,,,,,,3082910.5,,35863470.0,,,,,
2018-09-14,49.25,19971250,48.94,49.45,48.94,,,,,,,,,7390435.0,,55834720.0,,,,1.1653847,
2018-09-17,49.18,29101860,49.31,49.94,49.105,,,,,,,,49.94,-16483546.0,,26732860.0,,,0.13012032,1.6581868,
2018-09-18,49.03,33448720,47.51,49.54,47.36,,54.482758,,,,,,50.25,1314855.5,50.648434,-6715860.0,,,0.24408112,-0.5829827,55.02303
2018-09-19,49.43,20904240,48.92,49.54,48.66,,58.584072,,,,,,50.56,16993036.0,57.428383,14188380.0,,,0.24665736,0.5203005,56.424137
2018-09-20,50.43,26973330,49.66,51.075,49.56,,66.669655,,,,,,50.87,20998976.0,64.362206,41161710.0,,,0.34576887,2.5009718,46.07892
2018-09-21,51.1,50519700,50.83,51.12,50.35,,70.78503,,,,105.47463,,51.18,68894270.0,73.48867,91681410.0,,,0.31979483,2.7551188,47.06805
2018-09-24,51.24,23779460,50.81,51.6,50.71,,71.574814,,,,103.84099,,51.49,73436420.0,74.09618,115460870.0,,,0.3308511,3.0572445,43.179356
2018-09-25,51.72,18590030,51.39,51.93,50.97,,74.15461,,,1.0821532,103.58646,,51.8,83893310.0,79.096695,134050900.0,,,0.39315978,3.0490668,40.824192
