Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.7293,3000,0,4.04,0.44,2,2,0,2.02,2.02,10,28,5,165,mfi,0,I/I,I/D,0.005,-0.21,1,1,1
2023-02-08,2023-03-08,1.4638,3000,0,64.04,7.04,1,1,0,64.04,64.04,10,28,5,15,adl/elder,1,I/I/D,I/D/D,0.015,-0.12,1,1,1
2023-02-08,2023-03-08,1.223,3000,0,66.89,7.36,1,1,0,66.89,66.89,10,28,5,145,aroon,5,I/I,D/I,0.02,-0.17,1,1,1
2023-02-08,2023-03-08,1.3718,3000,0,43.92,4.83,1,1,0,43.92,43.92,10,28,5,200,elder,4,I/I,I/D,0.005,-0.11,1,1,1
2023-02-08,2023-03-08,1.3439,3000,3071.0,71.43,7.86,2,1,0,71.43,71.43,10,28,5,135,chop,0,I/I,I/D,0.015,-0.07,1,1,1
2023-02-08,2023-03-08,1.2534,3000,0,76.03,8.36,1,1,0,76.03,76.03,10,28,5,35,pivots/obv/elder/stochastic/aroon,1,I/I/I/D/D/I,D/I/I/I/I/D,0.02,-0.15,1,1,1
2023-02-08,2023-03-08,1.0254,3000,0,7.62,0.84,1,1,0,7.62,7.62,10,28,5,35,chop,1,I/I,D/I,0.08,-0.23,1,1,1
2023-02-08,2023-03-08,0.8893,3000,3116.0,116.78,12.85,2,1,0,116.78,116.78,10,28,5,15,mfi/elder,1,D/D/I,IGNORE,0.025,-0.05,1,1,1
2023-02-08,2023-03-08,1.6779,3000,0,97.51,10.73,1,1,0,97.51,97.51,10,28,5,10,mfi,0,I/D,D/I,0.03,-0.06,1,1,1
2023-02-08,2023-03-08,0.8304,3000,3059.0,59.12,6.5,2,1,0,59.12,59.12,10,28,5,175,pvo,1,I/I,IGNORE,0.025,-0.09,1,1,1
