Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2013-03-05,2012-12-04,2013-02-13,2013-02-15,0.20
2013-09-05,2013-07-09,2013-08-14,2013-08-16,0.20
2013-12-05,2013-09-10,2013-11-13,2013-11-15,0.20
2014-01-07,2013-12-10,2013-12-18,2013-12-20,0.90
2014-03-05,2013-12-10,2014-02-12,2014-02-14,0.20
2014-06-05,2014-04-29,2014-05-15,2014-05-19,0.22
2014-09-05,2014-07-08,2014-08-13,2014-08-15,0.22
2014-12-05,2014-09-09,2014-11-12,2014-11-14,0.22
2015-01-06,2014-12-09,2014-12-17,2014-12-19,1.00
2015-03-05,2014-12-09,2015-02-11,2015-02-13,0.22
2015-06-05,2015-04-21,2015-05-15,2015-05-19,0.22
2015-09-04,2015-07-07,2015-08-12,2015-08-14,0.24
2015-12-04,2015-09-23,2015-11-10,2015-11-13,0.24
2016-01-05,2015-12-08,2015-12-16,2015-12-18,1.40
2016-03-03,2015-12-08,2016-02-10,2016-02-12,0.24
2016-06-06,2016-04-26,2016-05-17,2016-05-19,0.24
2016-09-02,2016-07-11,2016-08-10,2016-08-12,0.24
2016-12-02,2016-09-13,2016-11-16,2016-11-18,0.24
2017-01-06,2016-12-06,2016-12-14,2016-12-16,0.60
2017-03-07,2016-12-06,2017-02-10,2017-02-14,0.24
2017-06-06,2017-04-25,2017-05-17,2017-05-19,0.25
2017-09-06,2017-07-11,2017-08-14,2017-08-16,0.25
2017-12-05,2017-09-12,2017-11-13,2017-11-14,0.25
2018-01-04,2017-12-05,2017-12-13,2017-12-14,1.20
2018-03-06,2017-12-05,2018-02-12,2018-02-13,0.25
2018-06-05,2018-05-01,2018-05-14,2018-05-15,0.28
2018-09-05,2018-07-09,2018-08-13,2018-08-14,0.28
2018-12-04,2018-09-11,2018-11-09,2018-11-13,0.28
2019-01-04,2018-12-04,2018-12-13,2018-12-14,2.00
2019-03-05,2018-12-04,2019-02-11,2019-02-12,0.32
2019-06-04,2019-04-30,2019-05-13,2019-05-14,0.32
2019-09-04,2019-07-09,2019-08-13,2019-08-14,0.32
2019-12-03,2019-09-11,2019-11-08,2019-11-12,0.32
2020-01-08,2019-12-10,2019-12-19,2019-12-20,2.30
2020-03-03,2019-12-10,2020-02-10,2020-02-11,0.32
2020-06-02,2020-04-14,2020-05-11,2020-05-12,0.32
2020-09-01,2020-07-14,2020-08-10,2020-08-11,0.32
2020-12-01,2020-09-14,2020-11-09,2020-11-10,0.32
2021-01-06,2020-12-08,2020-12-17,2020-12-18,0.70
2021-03-02,2020-12-08,2021-02-08,2021-02-09,0.32
2021-06-02,2021-04-27,2021-05-11,2021-05-12,0.34
2021-09-08,2021-07-13,2021-08-17,2021-08-18,0.34
2021-12-07,2021-09-14,2021-11-15,2021-11-16,0.34
2022-01-05,2021-12-07,2021-12-16,2021-12-17,1.50
2022-03-01,2021-12-07,2022-02-07,2022-02-08,0.34
2022-06-01,2022-04-26,2022-05-10,2022-05-11,0.34
2022-09-07,2022-07-11,2022-08-16,2022-08-17,0.34
2022-12-06,2022-09-13,2022-11-14,2022-11-15,0.37
2023-01-05,N/A,2022-12-15,2022-12-16,2.80
2023-03-08,N/A,2023-02-13,2023-02-14,0.25
2023-06-07,2023-04-25,2023-05-16,2023-05-17,0.25
2023-09-07,2023-07-11,2023-08-16,2023-08-17,0.27
