date,close,volume,open,high,low
2013-07-11,37.88,3629881,36.9933,37.94,36.8667
2013-07-12,37.7667,2546709,37.8533,37.9333,37.54
2013-07-15,38.1067,1630683,37.8733,38.2267,37.78
2013-07-16,37.8333,1537104,38.1667,38.2733,37.7067
2013-07-17,37.9733,1418049,37.8733,38.12,37.70
2013-07-18,38.36,1852983,37.8333,38.52,37.8133
2013-07-19,38.42,3124867,38.54,38.62,38.2133
2013-07-22,38.54,3492168,38.94,39.0467,38.4533
2013-07-23,38.1667,4669911,39.6867,40.00,38.0133
2013-07-24,37.4667,5074332,37.1533,37.6667,37.0867
2013-07-25,37.42,1985763,37.4733,37.6133,37.1367
2013-07-26,37.40,1963014,37.0867,37.54,37.0133
2013-07-29,37.3667,1362562,37.3667,37.56,37.1933
2013-07-30,37.5733,2333625,37.68,37.9267,37.40
2013-07-31,37.5133,1914580,37.7333,37.8067,37.4867
2013-08-01,37.88,2156376,37.8333,38.0867,37.6933
2013-08-02,37.96,2057869,37.6867,38.05,37.4867
2013-08-05,37.59,1311085,37.7667,37.9267,37.5067
2013-08-06,37.42,1869318,37.40,37.4867,37.0933
2013-08-07,37.1333,1692816,37.2667,37.3333,36.8533
2013-08-08,37.34,1392721,37.40,37.52,37.0533
2013-08-09,37.2867,1018885,37.1867,37.3667,36.9667
2013-08-12,37.5733,1185270,37.0533,37.66,36.9333
2013-08-13,37.5933,1109506,37.5467,37.7333,37.34
2013-08-14,37.1867,1302006,37.4667,37.48,37.0467
2013-08-15,36.56,1440373,36.7867,36.8133,36.32
2013-08-16,36.4933,1608348,36.4333,36.78,36.345
2013-08-19,36.2733,1416984,36.5133,36.6399,36.2267
2013-08-20,36.5533,1136394,36.2933,36.6933,36.0817
2013-08-21,36.1533,1604473,36.2867,36.5633,35.9667
2013-08-22,36.8267,1273545,36.1933,36.9333,36.1733
2013-08-23,36.8067,1626460,36.9467,36.9787,36.40
2013-08-26,36.54,1217677,36.70,36.9333,36.4867
2013-08-27,35.7067,2189310,36.1267,36.18,35.6067
