date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,45.66,2364211,45.88,46.0767,45.6133,,,,,,,,,-1887695.5,,0.0,,,,,
2018-08-29,45.62,1451079,45.6467,45.78,45.2467,,,,,,,,,-1307318.2,,-1451079.0,,,,,
2018-08-30,45.24,2513028,45.5,45.7067,45.0067,,,,,,,,,-2145233.5,,-3964107.0,,,,,
2018-08-31,45.6133,2423647,45.2067,45.6667,45.0467,,,,,,,,,-139079.34,,-1540460.0,,,,,
2018-09-04,45.56,3093285,45.3,45.6133,45.12,,,,,,,,,2285760.2,,-4633745.0,,,,,
2018-09-05,46.6067,5275062,45.3667,46.62,45.26,,,,,,,,,7457648.0,,641317.0,,,,,
2018-09-06,46.12,2902891,46.5867,46.8667,45.9933,,,,,,,,,5396974.5,,-2261574.0,,,,,
2018-09-07,46.0067,2794491,45.8467,46.1767,45.4933,,,,,,,,,6801171.5,,-5056065.0,,,,,
2018-09-10,46.66,2677641,46.2933,47.26,46.2382,,,,,,,,47.26,6334196.0,,-2378424.0,,,,,
2018-09-11,46.04,3388404,46.4933,46.6267,45.8333,,,,,,,,47.404,4711315.0,,-5766828.0,,,,,
2018-09-12,46.4267,2630676,45.96,46.5233,45.5467,,,,,,,,47.548,6821566.5,,-3136152.0,,,,,
2018-09-13,46.5933,1563883,46.6533,46.9,46.3267,,,,,,,,47.692,6712179.5,,-1572269.0,,,,,
2018-09-14,46.8933,2312494,46.6533,47.1,46.5933,,,,,,,,47.836,7137985.0,,740225.0,,,,1.5333,
2018-09-17,47.0867,2439025,47.0733,47.98,47.0067,,,,,,,,47.98,5099909.5,,3179250.0,,,0.11045332,2.5390713,
2018-09-18,47.4133,1850190,47.2533,47.5617,46.55,,67.05578,,,,,,48.133324,6407313.5,52.78638,5029440.0,,,0.15566057,1.3242184,51.2507
2018-09-19,47.5467,2302468,47.3733,47.9667,47.3733,,67.951546,,,,,,48.28665,5450474.0,57.68974,7331908.0,,,0.18010914,2.2231014,51.448242
2018-09-20,48.2733,2504881,47.8667,48.42,47.7333,,72.35991,,,,,,48.439976,6885117.5,64.26868,9836789.0,,48.2733,0.24893312,2.5464442,47.229424
2018-09-21,48.1333,3472878,48.4867,48.5933,48.02,,70.351906,,,,97.57289,,48.5933,4784913.5,65.38896,6363911.0,,47.7883,0.158059,2.6264806,45.971317
2018-09-24,46.9067,2796091,47.8933,47.9667,46.68,,55.75372,,,,62.550648,,48.4158,2974093.2,65.69741,3567820.0,,47.3033,0.06564256,0.68465483,50.52209
2018-09-25,46.1667,2786380,46.8533,47.0267,46.0667,,49.13025,,,0.3915105,11.763929,,48.2383,768209.1,55.83661,781440.0,,46.8183,-0.050569806,-0.63598156,52.053577
2018-09-26,45.8533,2710702,46.4,46.46,45.7733,,46.605045,,,0.29233536,-22.246557,,48.0608,-1310903.6,48.24101,-1929262.0,,46.3333,-0.06926823,-1.2071128,51.471386
2018-09-27,46.04,1714720,46.0933,46.2467,45.6213,,48.30951,,,0.33897448,-14.9492445,,47.8833,-729642.6,49.68618,-214542.0,,45.8483,-0.092078865,-1.3780681,51.9471
2018-09-28,45.46,3111040,45.96,46.0333,45.3133,,43.648056,,,0.14829746,-4.287508,46.14005,47.7058,-2572933.8,41.67941,-3325582.0,,45.3633,-0.16731608,-1.5671726,47.449623
2018-10-01,46.0,2624584,45.84,46.3867,45.72,,48.61903,,,0.3086185,14.177035,46.125195,47.5283,-2992977.5,49.997955,-700998.0,,44.8783,-0.109364174,-0.6765337,47.778442
2018-10-02,46.4533,1809183,45.96,46.58,45.8933,,52.413837,,,0.43844548,30.377462,46.143738,47.3508,-1851403.4,56.438614,1108185.0,,44.3933,-0.09218698,-0.32755744,46.81723
2018-10-03,46.82,2316274,46.5333,47.1733,46.4467,,55.290554,60.0,,0.55963963,56.429596,46.156002,47.1733,-1787646.9,57.389275,3424459.0,,43.9083,-0.056527358,0.69926506,47.32856
2018-10-04,46.5867,2389989,46.6667,47.16,46.3267,,53.09153,60.0,,0.47197688,57.002373,46.153156,,-2686223.0,50.635624,1034470.0,,43.4233,-0.097217135,0.52987003,48.395447
2018-10-05,45.32,2656615,46.1267,46.5067,44.9333,,43.07443,-40.0,14.147355,0.07383072,24.998495,46.03861,,-4036987.0,43.40896,-1622145.0,,42.9383,-0.13482277,-1.1858542,46.02449
2018-10-08,45.42,2642796,45.1267,45.4667,44.94,,43.973145,-40.0,14.256249,0.14657065,1.0139982,46.08291,,-1862839.5,42.567493,1020651.0,,42.4533,-0.10634322,-1.9640322,44.503956
2018-10-09,44.24,2251791,45.5067,45.5733,44.1867,,36.625237,-48.0,15.05192,-0.086435564,-15.612444,46.007935,,-3941515.8,36.197483,-1231140.0,,41.9683,-0.19246778,-2.0549133,39.925625
2018-10-10,42.5667,3352018,44.2067,44.3,42.5267,,29.179188,-52.0,16.935675,-0.2261094,-7.705779,45.883636,,-7142312.0,28.524824,-4583158.0,,41.4833,-0.30082038,-4.0337114,30.418207
2018-10-11,41.9,4134429,42.4733,43.1273,41.6467,,26.837997,-56.0,19.142004,-0.15090977,-4.371293,45.804905,,-9862111.0,18.50257,-8717587.0,,40.9983,-0.28444728,-5.077781,30.339584
2018-10-12,41.42,4095618,42.5133,42.5867,40.86,,25.266191,-60.0,21.54544,-0.081920415,5.8527684,45.69619,,-11301163.0,18.09051,-12813205.0,,40.5133,-0.27490482,-5.403398,32.076145
2018-10-15,41.3933,2985051,41.2333,41.78,41.1933,-0.71276724,25.177858,-60.0,23.777205,0.0057039396,12.272087,45.74787,,-12251067.0,18.149212,-15798256.0,6.7731752,40.0283,-0.2043391,-5.0105844,31.102758
2018-10-16,41.96,2629728,41.7667,42.06,41.1533,-0.62457234,30.714561,-60.0,25.437008,0.12259048,19.273458,45.75357,,-10201405.0,24.726456,-13168528.0,4.1877103,39.5433,-0.13224502,-4.190029,31.679432
2018-10-17,41.16,2273049,41.9067,41.98,40.78,-0.5824148,27.608658,-72.0,27.173088,0.086593054,12.285443,45.71901,,-11034856.0,24.510452,-15441577.0,1.5469024,39.0583,-0.17060392,-3.9171393,32.668327
2018-10-18,40.2267,3738493,41.0533,41.1533,39.7667,-0.5785021,24.496489,-76.0,29.254732,0.04388258,8.21496,45.659664,,-12292884.0,24.381838,-19180070.0,3.0156574,38.5733,-0.16358177,-4.868034,28.726181
2018-10-19,40.1533,3832887,40.06,40.6467,39.94,-0.54257023,24.264828,-76.0,31.187685,0.083398394,-0.12959954,45.696644,,-13812046.0,17.084126,-23012956.0,3.8825362,38.0883,-0.17129363,-4.418272,28.195105
2018-10-22,40.3333,6916045,40.1933,40.81,40.0533,-0.471045,26.11025,-76.0,32.716114,0.14363202,4.4064393,45.725124,,-15609834.0,25.347052,-16096912.0,9.786642,37.6033,-0.20939001,-3.5219045,28.364893
2018-10-23,38.2667,8241573,38.6667,39.3667,36.5067,-0.5232591,20.065086,-88.0,35.34856,0.0134390015,14.758161,44.707085,,-13707932.0,17.947634,-24338484.0,13.865812,37.1183,-0.24756412,-7.390118,21.436188
2018-10-24,36.6333,6535470,38.3533,38.3867,36.6067,-0.6214551,16.761848,-88.0,37.792976,-0.034026355,9.01281,43.819122,,-20048072.0,16.920689,-30873956.0,12.395082,36.6333,-0.30972758,-6.841987,25.398024
2018-10-25,36.8133,4300770,37.0533,37.5267,36.52,-0.62618065,18.35693,-88.0,40.08464,0.049765434,4.2805037,43.83431,,-21842802.0,16.646908,-26573184.0,7.622257,36.81971,-0.2901341,-6.616003,28.148418
2018-10-26,36.8667,3985897,36.0533,37.3333,35.9667,-0.5787252,18.853731,-100.0,42.351685,0.10645706,0.54482764,43.799725,,-20578724.0,16.45879,-22587288.0,3.6901104,37.006123,-0.2873958,-6.3728027,27.590483
2018-10-29,37.2067,3774481,37.4667,38.1667,36.58,-0.48144215,22.103865,-96.0,43.2922,0.16866839,13.671415,43.736702,,-21371586.0,22.04107,-18812808.0,0.6063621,37.192535,-0.23384812,-4.1747594,33.35759
2018-10-30,37.6533,6123333,37.3667,38.2933,37.0667,-0.35012767,26.280619,-68.0,43.995724,0.22810888,27.924961,43.725647,,-21638166.0,30.540857,-12689474.0,1.7934984,37.378944,-0.15109931,-3.0450509,38.059505
2018-10-31,38.14,4985907,38.0733,38.455,37.7867,-0.20100951,30.64505,-68.0,44.423733,0.28527486,38.66414,43.773037,,-21352426.0,37.93703,-7703567.0,0.6759096,37.565357,-0.11631264,-1.8597722,39.694782
2018-11-01,39.4267,3480757,38.3667,39.6733,38.3534,0.0029628659,40.649063,-68.0,43.287354,0.413533,61.559624,43.718506,,-19172304.0,43.974705,-4222810.0,-2.2505772,37.75177,-0.013722336,-0.18219046,42.44594
2018-11-02,38.8667,3206671,39.64,39.8333,38.5067,0.11276542,38.07493,-68.0,42.049957,0.38081202,65.73149,43.681343,39.8333,-20638584.0,43.947426,-7429481.0,-4.532877,37.93818,-0.0748388,0.19903675,43.91799
2018-11-05,38.9733,2474251,39.1,39.3,38.5933,0.20007195,38.868523,-68.0,40.900944,0.41297206,64.43183,43.089798,39.96165,-20451974.0,39.725616,-4955230.0,-7.0368314,38.12459,-0.10287271,-0.21989708,44.02648
2018-11-06,39.5733,2140705,39.0067,39.6667,38.88,0.29973328,43.274952,-68.0,39.383144,0.5131037,65.19338,42.204433,40.09,-18819574.0,43.32086,-2814525.0,-9.044505,38.311005,-0.0069817277,0.28587395,48.75787
2018-11-07,39.9333,3760347,39.8533,39.96,38.8267,0.38591456,45.799374,-68.0,37.62013,0.5861476,85.22583,42.203022,40.21835,-15236410.0,49.436974,945822.0,-7.2556233,38.497414,0.040641468,0.29647765,50.87417
2018-11-08,40.1,2574549,39.7467,40.3467,39.5733,0.44591352,46.9761,-64.0,35.528423,0.63079304,102.25611,40.97745,40.3467,-14304326.0,54.79099,3520371.0,-7.8839006,38.683826,0.063840896,1.1855237,51.010212
2018-11-09,38.9067,2456673,39.5733,39.9267,38.7933,0.39854833,40.24106,-60.0,34.29043,0.46380565,84.901794,39.77759,40.432415,-16269405.0,46.702084,1063698.0,-8.216619,38.87024,0.008615485,0.117106035,55.92374
2018-11-12,38.92,2371102,38.9333,39.4333,38.7133,0.3624663,40.34372,-52.0,33.20947,0.4852047,66.32868,39.29107,40.518127,-17279098.0,51.88173,3434800.0,-8.279367,39.05665,0.017286051,-0.3473091,49.221046
2018-11-13,39.2333,2437834,39.26,40.0333,39.0867,0.35366705,42.835026,-52.0,31.46845,0.5709913,61.71158,38.762356,40.603844,-18961838.0,61.22321,5872634.0,-7.849312,39.24306,0.08429219,0.6299922,47.613926
2018-11-14,39.7867,2608882,39.4667,40.1667,39.2467,0.37694588,47.04196,-48.0,29.693827,0.70702106,82.94537,38.78497,40.689556,-18508120.0,68.9015,8481516.0,-6.872215,39.429474,0.12616567,0.76862186,47.433
2018-11-15,40.3733,2418652,39.4533,40.5333,39.1867,0.42036992,51.146107,-44.0,27.613949,0.82612854,103.05863,38.670204,40.775272,-16664225.0,76.42298,10900168.0,-6.3158927,39.615883,0.13245156,0.7749616,51.267372
2018-11-16,40.5133,2006778,40.0867,40.7733,40.0067,0.4446852,52.10021,-40.0,25.876667,0.8450666,106.570274,37.889416,40.860985,-16018684.0,75.58561,12906946.0,-6.5594144,39.802296,0.1839048,1.5375956,51.620747
2018-11-19,40.3267,2331357,40.32,40.9467,40.0967,0.4338924,50.679527,-32.0,24.464155,0.807075,90.82507,37.715263,40.9467,-17088366.0,73.43106,10575589.0,-5.67963,39.98871,0.16777824,1.5994248,55.1005
