Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-06-13,2023-07-11,1.8597,3000,0,257.92,28.37,1,1,0,257.92,257.92,10,28,5,25,chop,1,I/D,IGNORE,0.08,-0.1,1,1,1
2023-06-13,2023-07-11,1.6549,3000,0,76.18,8.38,1,1,0,76.18,76.18,10,28,5,60,chop,0,I/I,D/D,0.015,-0.05,1,1,1
2023-06-13,2023-07-11,1.8957,3000,0,123.45,13.58,1,1,0,123.45,123.45,10,28,5,150,zigzag/pvo,1,I/I/D,IGNORE,0.01,-0.2,1,1,1
2023-06-13,2023-07-11,2.4117,3000,0,189.59,20.85,2,2,0,94.8,94.8,10,28,5,5,zigzag,0,D/I,I/I,0.1,-0.07,1,1,1
2023-06-13,2023-07-11,1.942,3000,0,195.23,21.48,1,1,0,195.23,195.23,10,28,5,175,obv,1,I/I,IGNORE,0.055,-0.27,1,1,1
2023-06-13,2023-07-11,1.7361,3000,0,154.24,16.97,3,3,0,51.41,47.63,10,28,5,180,aroon,2,I/D,I/I,0.01,-0.17,1,1,1
2023-06-13,2023-07-11,1.8336,3000,0,195.23,21.48,1,1,0,195.23,195.23,10,28,5,140,obv/mfi,0,I/I/D,D/D/D,0.06,-0.16,1,1,1
2023-06-13,2023-07-11,1.5645,3000,0,80.9,8.9,1,1,0,80.9,80.9,10,28,5,5,zigzag/macd/pvo/chandelier,0,I/I/D/I/I,I/D/D/I/D,0.025,-0.03,1,1,1
2023-06-13,2023-07-11,1.8577,3000,0,197.53,21.73,1,1,0,197.53,197.53,10,28,5,95,bollinger,0,D/D,IGNORE,0.03,-0.27,1,1,1
2023-06-13,2023-07-11,2.0636,3000,0,254.18,27.96,1,1,0,254.18,254.18,10,28,5,40,macd/chandelier,0,I/D/I,IGNORE,0.075,-0.25,1,1,1
2023-06-13,2023-07-11,1.1584,3000,3197.0,197.53,21.73,2,1,0,197.53,197.53,10,28,5,150,mfi/macd/aroon,1,I/D/I/D,D/D/I/D,0.035,-0.26,1,1,1
2023-06-13,2023-07-11,1.4115,3000,0,123.45,13.58,1,1,0,123.45,123.45,10,28,5,45,chop/bollinger,2,I/D/I,IGNORE,0.035,-0.02,1,1,1
2023-06-13,2023-07-11,1.4088,3000,0,80.9,8.9,1,1,0,80.9,80.9,10,28,5,100,bop,1,I/I,D/I,0.015,-0.29,1,1,1
2023-06-13,2023-07-11,1.8597,3000,0,257.92,28.37,1,1,0,257.92,257.92,10,28,5,50,aroon,0,I/I,D/D,0.075,-0.13,1,1,1
2023-06-14,2023-07-12,1.801,3000,0,206.42,22.71,2,2,0,103.21,103.21,10,28,5,50,aroon,0,I/I,D/D,0.02,-0.15,1,1,1
2023-06-14,2023-07-12,2.1757,3000,0,227.17,24.99,1,1,0,227.17,227.17,10,28,5,30,pvo,2,I/I,IGNORE,0.045,-0.28,1,1,1
2023-06-14,2023-07-12,2.0191,3000,3167.0,167.4,18.41,3,2,0,83.7,83.7,10,28,5,40,zigzag/rsi/obv,0,I/I/I/I,IGNORE,0.015,-0.22,1,1,1
2023-06-14,2023-07-12,2.031,3000,0,173.29,19.06,1,1,0,173.29,173.29,10,28,5,170,bollinger,0,I/D,I/I,0.08,-0.01,1,1,1
