Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2020-08-17,2020-07-08,2020-08-13,2020-08-14,0.6875
2021-02-16,2021-01-12,2021-02-11,2021-02-12,1.375
2021-05-17,2021-04-08,2021-05-13,2021-05-14,1.375
2021-08-16,2021-07-08,2021-08-12,2021-08-13,1.375
2021-11-16,2021-10-11,2021-11-12,2021-11-15,1.375
2022-02-16,2022-01-13,2022-02-14,2022-02-15,1.375
2022-05-16,2022-04-07,2022-05-12,2022-05-13,1.375
2022-08-16,2022-07-12,2022-08-12,2022-08-15,1.375
2022-11-16,2022-10-11,2022-11-14,2022-11-15,1.375
2023-02-16,2023-01-12,2023-02-14,2023-02-15,1.375
2023-05-16,2023-04-13,2023-05-12,2023-05-15,1.375
2023-08-16,2023-06-29,2023-08-14,2023-08-15,1.375
