date,close,volume,open,high,low
2020-06-26,96.7982,5956168,100.00,103.00,96.00
2020-06-29,95.51,303810,95.44,97.375,94.11
2020-06-30,96.00,278963,97.00,97.00,93.95
2020-07-01,96.0901,611477,96.85,96.87,95.62
2020-07-02,99.00,1038237,98.918,100.672,96.90
2020-07-06,96.85,234688,101.06,101.06,96.50
2020-07-07,96.00,456266,96.75,96.75,95.4528
2020-07-08,94.485,306456,94.97,94.97,93.63
2020-07-09,92.35,224331,93.20,93.768,91.416
2020-07-10,96.45,175747,92.80,96.71,92.28
2020-07-13,96.42,162792,97.75,101.06,96.42
2020-07-14,98.93,93797,97.60,98.93,97.41
2020-07-15,97.95,185984,99.70,100.39,97.86
2020-07-16,96.62,58837,97.92,98.33,95.90
2020-07-17,98.55,317159,96.64,100.00,96.23
2020-07-20,99.32,160553,98.61,99.76,97.86
2020-07-21,100.53,809201,100.45,100.93,98.8224
2020-07-22,100.58,547535,100.53,101.00,99.25
2020-07-23,100.28,1784,102.27,102.27,99.97
2020-07-24,99.61,128427,100.30,101.95,99.61
2020-07-27,97.45,220022,100.44,101.75,97.3115
2020-07-28,97.03,276191,97.45,98.21,96.95
2020-07-29,98.52,53679,96.46,98.60,96.03
2020-07-30,99.30,393664,97.75,101.95,97.40
2020-07-31,100.25,2086170,98.69,100.32,97.64
2020-08-03,97.92,155719,100.20,100.20,97.54
2020-08-04,97.45,1070182,98.08,99.25,97.45
2020-08-05,96.04,32975,97.394,97.394,95.96
2020-08-06,97.89,237741,96.65,97.89,95.85
2020-08-07,97.67,195279,97.30,98.22,97.16
2020-08-10,98.04,188392,97.67,98.18,97.05
2020-08-11,97.80,30831,97.92,98.81,97.42
2020-08-12,98.93,179019,98.45,99.43,97.77
2020-08-13,101.17,292356,99.05,101.65,99.05
2020-08-14,98.25,10983,101.25,101.25,98.25
2020-08-17,97.36,36832,99.39,99.39,97.06
2020-08-18,99.07,19543,96.87,99.07,96.87
2020-08-19,97.895,193029,98.90,98.93,97.32
2020-08-20,95.30,86665,97.10,98.65,95.30
2020-08-21,96.56,7019,95.62,96.56,94.50
2020-08-24,96.57,335521,96.76,97.78,94.9933
2020-08-25,96.52,206011,96.80,97.21,95.30
2020-08-26,94.54,146435,96.11,98.07,93.43
2020-08-27,96.64,46507,95.04,97.15,94.78
2020-08-28,96.61,5407,96.57,97.90,95.995
2020-08-31,96.86,50196,96.66,98.1703,96.38
2020-09-01,96.23,52285,96.63,97.65,95.47
2020-09-02,97.45,10801,96.62,97.80,96.58
2020-09-03,96.36,75199,97.85,98.02,96.30
2020-09-04,94.37,60859,96.45,97.10,94.37
2020-09-08,96.09,28850,95.51,96.92,95.39
2020-09-09,95.93,33079,97.38,97.40,95.73
2020-09-10,94.89,85430,96.90,96.90,94.89
2020-09-11,94.8447,7549,95.33,95.68,94.83
2020-09-14,101.25,221636,95.78,101.25,95.78
2020-09-15,99.94,195638,101.56,102.60,99.94
2020-09-16,101.03,81763,101.14,102.18,100.01
2020-09-17,100.75,150881,99.98,100.75,99.81
2020-09-18,99.25,133728,100.71,101.14,98.49
2020-09-21,99.48,10355,99.11,99.48,96.29
2020-09-22,101.22,165394,99.05,101.64,99.04
2020-09-23,99.20,53085,100.21,100.73,98.64
2020-09-24,100.50,40928,100.00,101.235,97.08
2020-09-25,102.78,183246,100.70,102.85,100.46
2020-09-28,98.34,20126,102.85,102.85,96.42
2020-09-29,98.04,159665,97.75,98.88,97.35
2020-09-30,98.09,286051,98.29,99.39,97.71
2020-10-01,102.85,18904,97.36,102.85,97.36
2020-10-02,102.27,71749,100.61,103.22,100.18
2020-10-05,102.77,151875,102.30,103.01,102.01
2020-10-06,104.29,330069,102.80,106.53,102.52
