Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2000-09-30,N/A,2000-09-06,2000-09-10,0.14
2004-09-30,2004-07-23,2004-09-08,2004-09-10,0.23
2005-01-03,2004-11-19,2004-12-08,2004-12-10,0.23
2005-03-31,2005-01-27,2005-03-09,2005-03-11,0.23
2005-06-30,2005-05-04,2005-06-08,2005-06-10,0.26
2005-09-30,2005-07-22,2005-09-07,2005-09-09,0.26
2006-01-03,2005-11-18,2005-12-07,2005-12-09,0.26
2006-03-31,2006-02-03,2006-03-08,2006-03-10,0.26
2006-06-30,2006-05-03,2006-06-07,2006-06-09,0.30
2006-09-29,2006-07-21,2006-09-06,2006-09-08,0.30
2007-01-02,2006-11-17,2006-12-06,2006-12-08,0.30
2007-03-30,2007-02-02,2007-03-07,2007-03-09,0.30
2007-06-29,2007-05-02,2007-06-06,2007-06-08,0.375
2007-09-28,2007-07-19,2007-09-05,2007-09-07,0.375
2008-01-02,2007-11-16,2007-12-05,2007-12-07,0.375
2008-03-31,2008-02-01,2008-03-05,2008-03-07,0.375
2008-06-30,2008-05-07,2008-06-04,2008-06-06,0.425
2008-09-30,2008-07-18,2008-09-03,2008-09-05,0.425
2009-01-02,2008-11-14,2008-12-03,2008-12-05,0.425
2009-06-30,2009-05-05,2009-06-03,2009-06-05,0.45
2009-09-30,2009-07-17,2009-09-02,2009-09-04,0.45
2010-01-04,2009-11-16,2009-12-02,2009-12-04,0.45
2010-03-31,2010-02-09,2010-03-03,2010-03-05,0.45
2010-06-30,2010-05-04,2010-06-02,2010-06-04,0.48
2010-09-30,2010-07-15,2010-09-01,2010-09-03,0.48
2011-01-03,2010-11-12,2010-12-01,2010-12-03,0.48
2011-03-31,2011-02-04,2011-03-02,2011-03-04,0.48
2011-06-30,2011-05-04,2011-06-01,2011-06-03,0.515
2011-09-30,2011-07-15,2011-08-31,2011-09-02,0.515
2012-01-03,2011-11-17,2011-11-30,2011-12-02,0.515
2012-03-30,2012-02-03,2012-02-29,2012-03-02,0.515
2012-06-29,2012-05-02,2012-05-30,2012-06-01,0.5375
2012-09-28,2012-07-20,2012-09-05,2012-09-07,0.5375
2013-01-02,2012-11-27,2012-12-05,2012-12-07,0.5375
2013-03-29,2013-02-07,2013-02-27,2013-03-01,0.5375
2013-06-28,2013-04-30,2013-06-05,2013-06-07,0.5675
2013-09-30,2013-07-19,2013-09-04,2013-09-06,0.5675
2014-01-02,2013-11-21,2013-12-04,2013-12-06,0.5675
2014-03-31,2014-02-06,2014-03-05,2014-03-07,0.5675
2014-06-30,2014-05-06,2014-06-04,2014-06-06,0.655
2014-09-30,2014-07-17,2014-09-03,2014-09-05,0.655
2015-01-07,2014-11-20,2014-12-03,2014-12-05,0.655
2015-03-31,2015-02-05,2015-03-04,2015-03-06,0.655
2015-06-30,2015-05-05,2015-06-03,2015-06-05,0.7025
2015-09-30,2015-07-16,2015-09-02,2015-09-04,0.7025
2016-01-07,2015-11-19,2015-12-02,2015-12-04,0.7025
2016-03-31,2016-02-04,2016-03-02,2016-03-04,0.7025
2016-06-30,2016-05-03,2016-06-01,2016-06-03,0.7525
2016-09-30,2016-07-14,2016-08-31,2016-09-02,0.7525
2017-01-06,2016-11-17,2016-11-30,2016-12-02,0.7525
2017-03-31,2017-02-02,2017-03-01,2017-03-03,0.7525
2017-06-30,2017-05-02,2017-05-31,2017-06-02,0.805
2017-09-29,2017-07-14,2017-08-30,2017-09-01,0.805
2018-01-08,2017-11-17,2017-11-30,2017-12-01,0.805
2018-03-30,2018-02-05,2018-03-01,2018-03-02,0.805
2018-06-29,2018-05-01,2018-05-31,2018-06-01,0.9275
2018-09-28,2018-07-13,2018-09-06,2018-09-07,0.9275
2019-01-07,2018-11-15,2018-12-06,2018-12-07,0.9275
2019-03-29,2019-02-13,2019-02-28,2019-03-01,0.9275
2019-06-28,2019-04-30,2019-06-06,2019-06-07,0.955
2019-09-30,2019-07-11,2019-09-05,2019-09-06,0.955
2020-01-07,2019-11-14,2019-12-05,2019-12-06,0.955
2020-03-31,2020-02-10,2020-03-05,2020-03-06,0.955
2020-06-30,2020-05-05,2020-06-04,2020-06-05,1.0225
2020-09-30,2020-07-15,2020-09-03,2020-09-04,1.0225
2021-01-07,2020-11-19,2020-12-03,2020-12-04,1.0225
2021-03-31,2021-02-04,2021-03-04,2021-03-05,1.0225
2021-06-30,2021-05-04,2021-06-03,2021-06-04,1.075
2021-09-30,2021-07-15,2021-09-02,2021-09-03,1.075
2022-01-07,2021-11-18,2021-12-02,2021-12-03,1.075
2022-03-31,2022-02-02,2022-03-03,2022-03-04,1.075
2022-06-30,2022-05-03,2022-06-02,2022-06-03,1.15
2022-09-30,2022-07-21,2022-09-01,2022-09-02,1.15
2023-01-06,2022-11-17,2022-12-01,2022-12-02,1.15
2023-03-31,2023-02-01,2023-03-02,2023-03-03,1.15
2023-06-30,2023-05-02,2023-06-01,2023-06-02,1.265
2023-09-29,2023-07-20,2023-08-31,2023-09-01,1.265
