date,close,volume,open,high,low
2013-03-08,77.20,4297163,77.16,77.41,76.647
2013-03-11,76.85,4023087,77.12,77.39,76.79
2013-03-12,76.89,4608407,76.83,77.18,76.69
2013-03-13,76.95,3544141,76.89,77.10,76.65
2013-03-14,77.19,4153774,77.06,77.22,76.86
2013-03-15,77.04,6621394,76.85,77.15,76.70
2013-03-18,76.68,4176810,76.66,76.99,76.60
2013-03-19,76.67,5040139,76.78,76.95,76.50
2013-03-20,76.32,7579799,76.95,77.07,76.07
2013-03-21,76.15,3998146,76.29,76.75,76.00
2013-03-22,78.64,14213580,76.74,79.27,76.66
2013-03-25,77.83,6873712,78.61,78.64,77.60
2013-03-26,78.92,5185165,77.90,78.94,77.79
2013-03-27,78.29,3601788,78.50,78.65,77.91
2013-03-28,79.11,5338019,78.50,79.13,78.07
2013-04-01,79.10,3639312,78.76,79.23,78.76
2013-04-02,79.74,4033949,79.35,79.88,79.27
2013-04-03,78.96,3895251,79.87,79.88,78.80
2013-04-04,79.53,5299101,78.30,79.57,78.30
2013-04-05,78.59,4244556,78.95,79.08,78.40
2013-04-08,79.50,3703574,78.565,79.51,78.25
2013-04-09,79.21,3921868,79.60,79.72,79.155
2013-04-10,80.06,3540142,79.43,80.095,79.26
2013-04-11,79.96,5389990,80.03,80.48,79.80
2013-04-12,79.99,5539967,78.93,80.035,78.74
2013-04-15,78.92,5357042,79.53,80.02,78.91
2013-04-16,80.00,5149230,79.23,80.03,79.09
2013-04-17,78.85,7532205,79.74,80.15,78.77
2013-04-18,81.25,18893860,80.21,83.45,80.11
2013-04-19,82.77,8368326,82.01,83.27,81.87
2013-04-22,83.38,6664706,82.29,83.63,82.05
2013-04-23,84.10,6670802,83.67,84.32,83.50
2013-04-24,82.34,6398269,84.06,84.29,82.22
2013-04-25,82.82,5602790,82.41,83.09,82.18
2013-04-26,82.51,3075921,82.71,82.99,82.30
2013-04-29,82.65,2850226,82.51,82.915,82.42
2013-04-30,82.47,4117996,82.41,82.645,82.02
2013-05-01,82.21,3532069,82.36,82.835,82.08
2013-05-02,82.56,2726949,82.14,82.93,82.08
2013-05-03,82.83,4777198,82.96,83.25,82.46
2013-05-06,82.50,3032060,82.70,82.70,82.22
2013-05-07,83.34,3706774,82.59,83.34,82.37
2013-05-08,83.25,4110645,83.30,83.65,82.81
2013-05-09,82.85,3711864,83.35,83.58,82.60
2013-05-10,83.00,3161863,82.98,83.255,82.58
2013-05-13,83.03,3010508,82.72,83.35,82.52
2013-05-14,83.50,4544892,83.06,83.52,82.92
2013-05-15,84.25,4090123,83.38,84.45,83.24
2013-05-16,83.74,4496227,84.04,84.78,83.67
2013-05-17,83.80,4506752,83.91,84.04,83.11
2013-05-20,82.59,3958151,83.79,83.84,82.47
2013-05-21,82.63,3984661,82.63,82.925,82.12
2013-05-22,82.97,5241802,82.59,84.27,82.58
2013-05-23,82.12,4653996,82.30,82.73,81.51
2013-05-24,82.58,3579493,81.81,82.78,81.55
2013-05-28,82.43,4052797,83.09,83.482,82.17
2013-05-29,81.12,4346002,82.23,82.23,80.92
2013-05-30,81.22,4959796,81.14,81.49,80.70
2013-05-31,80.77,7815798,81.02,81.61,80.72
2013-06-03,81.40,5758858,80.67,81.49,79.73
2013-06-04,81.63,4542984,81.65,82.06,81.02
2013-06-05,81.20,6998124,80.89,81.525,80.72
2013-06-06,81.66,6031676,81.19,81.66,80.71
2013-06-07,82.51,6447739,81.98,82.51,81.49
2013-06-10,82.85,5036518,82.60,83.06,82.1045
2013-06-11,82.53,6504908,82.38,82.81,81.82
2013-06-12,82.11,4277783,82.81,83.19,82.04
2013-06-13,81.98,5390515,82.06,82.24,81.25
2013-06-14,82.13,4034293,82.00,83.00,81.99
2013-06-17,82.55,4656277,82.59,82.93,82.085
2013-06-18,82.57,3355859,82.37,82.69,82.00
2013-06-19,80.89,5486986,82.26,82.67,80.89
2013-06-20,78.91,6940127,80.48,80.88,78.765
2013-06-21,80.13,9416810,79.56,80.42,79.22
2013-06-24,80.13,6787341,78.68,80.75,78.20
2013-06-25,80.04,5930320,80.42,80.55,79.67
2013-06-26,81.30,4519191,80.62,81.57,80.62
2013-06-27,81.74,4464628,81.77,82.5425,81.52
2013-06-28,81.79,6001777,81.97,82.27,81.60
2013-07-01,82.04,3804856,81.96,82.50,81.76
2013-07-02,81.68,5056144,81.94,82.23,81.32
2013-07-03,80.73,3866203,81.44,81.44,80.32
2013-07-05,80.80,3343334,81.10,81.28,80.29
2013-07-08,81.78,3751546,81.32,81.84,81.07
2013-07-09,82.77,3838592,82.21,82.87,81.96
2013-07-10,82.99,5654259,82.77,83.42,82.67
2013-07-11,84.55,4751096,83.65,84.63,83.65
2013-07-12,84.32,4349946,84.05,84.52,83.84
2013-07-15,84.72,4222156,84.43,84.92,84.33
2013-07-16,84.02,4480747,83.93,84.30,83.31
2013-07-17,85.24,7277801,84.05,85.51,83.93
2013-07-18,86.80,9202364,85.33,87.06,85.30
2013-07-19,86.41,6147266,86.34,86.84,85.87
2013-07-22,86.40,4781189,86.19,86.94,86.03
2013-07-23,86.20,6320960,86.37,86.43,85.97
2013-07-24,85.64,5939787,86.70,86.70,85.64
2013-07-25,85.55,5084973,85.64,85.80,85.28
2013-07-26,85.31,4190333,84.85,85.34,84.36
2013-07-29,85.25,3406312,85.26,85.60,84.96
2013-07-30,85.11,4354748,85.57,85.99,85.11
2013-07-31,83.54,8016515,85.29,85.66,83.43
2013-08-01,84.20,5791338,84.04,84.40,83.87
2013-08-02,84.29,4426376,84.00,84.34,83.401
2013-08-05,84.48,3590210,84.34,84.64,83.77
2013-08-06,85.05,3837769,84.44,85.43,84.12
2013-08-07,84.76,3832553,84.93,84.99,84.365
2013-08-08,84.68,2707864,84.98,85.09,84.44
2013-08-09,84.34,3753864,84.68,84.77,84.18
2013-08-12,83.81,2868566,83.93,84.03,83.53
2013-08-13,83.39,2952974,83.91,84.0999,83.26
2013-08-14,82.75,2934139,83.34,83.54,82.73
2013-08-15,80.91,5350212,82.24,82.28,80.83
2013-08-16,80.18,6032434,80.60,80.75,79.94
2013-08-19,80.88,4945079,80.11,81.05,79.82
2013-08-20,80.29,3452854,80.96,80.96,80.26
2013-08-21,79.08,5453936,80.06,80.16,79.01
2013-08-22,79.25,3821543,78.99,79.685,78.71
2013-08-23,79.85,3033831,79.52,79.98,79.27
2013-08-26,79.69,4077903,79.97,80.10,79.67
2013-08-27,79.06,5179710,79.19,79.39,78.61
2013-08-28,79.37,5057364,78.96,79.68,78.94
2013-08-29,79.33,5616881,79.25,79.74,79.05
2013-08-30,79.73,4333051,79.42,79.84,79.23
2013-09-03,80.20,5966611,80.48,80.79,80.04
2013-09-04,79.53,5334978,79.71,79.71,79.00
2013-09-05,79.07,4013828,79.53,79.708,78.80
2013-09-06,79.26,4443555,79.11,79.68,78.32
2013-09-09,79.38,3757080,79.25,79.48,78.79
2013-09-10,79.43,4682455,79.76,79.80,79.03
