date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,111.17,5229382,112.22,112.445,110.89,,,,,,,,,-3346132.0,,0.0,,,,,
2018-08-29,112.05,2403189,111.3,112.1173,111.22,,,,,,,,,-1303434.6,,2403189.0,,,,,
2018-08-30,111.96,2118974,111.87,112.23,111.55,,,,,,,,,-867175.25,,284215.0,,,,,
2018-08-31,112.01,4247648,111.77,112.58,111.26,,,,,,,,,-287950.56,,4531863.0,,,,,
2018-09-04,111.0,4512014,111.82,112.09,110.45,,,,,,,,,-1773613.8,,19849.0,,,,,
2018-09-05,113.12,4392105,110.76,113.17,110.7,,,,,,,,,2440673.2,,4411954.0,,,,,
2018-09-06,113.5,4807195,112.0,113.53,111.44,,,,,,,,,7109862.5,,9219149.0,,,,,
2018-09-07,112.74,3831360,112.85,113.5,111.51,,,,,,,,,8014757.0,,5387789.0,,,,,
2018-09-10,113.57,3209959,112.92,113.99,112.7,,,,,,,,,9134510.0,,8597748.0,,,,,
2018-09-11,113.33,2779551,111.85,113.745,111.85,,,,,,,,,10696632.0,,5818197.0,,,,,
2018-09-12,113.85,3646085,113.31,114.2311,113.04,,,,,,,,,12009541.0,,9464282.0,,,,,
2018-09-13,114.99,3542395,114.49,115.01,113.694,,,,,,,,,15444265.0,,13006677.0,,,,,
2018-09-14,114.57,2573980,114.89,114.89,113.722,,,,,,,,,16607845.0,,10432697.0,,,,2.7873845,
2018-09-17,115.4,2960275,114.6,115.45,114.22,,,,,,,,,19327446.0,,13392972.0,,,0.2919484,3.1346154,
2018-09-18,113.98,4078045,115.475,115.475,113.69,,63.143124,,,,,,,16574481.0,63.82116,9314927.0,,,0.280356,2.4260988,54.391964
2018-09-19,113.77,2841267,113.95,114.24,113.46,,61.834965,,,,,,,15991657.0,58.40429,6473660.0,,,0.20416954,0.8466562,54.0905
2018-09-20,115.22,3338809,114.23,115.51,114.11,,66.92954,,,,,,,17947246.0,59.464863,9812469.0,,,0.24522597,2.2542768,55.69821
2018-09-21,114.91,6797274,115.26,115.52,114.835,,64.93385,,,,89.59299,,115.52,12638425.0,61.51743,3015195.0,,,0.1957426,2.6386657,54.513855
2018-09-24,112.27,3387401,114.1,114.72,112.2,,50.98992,,,,60.65341,,115.013336,9439213.0,62.746387,-372206.0,,,0.17958614,-0.34257218,58.28125
2018-09-25,111.97,3415223,112.64,112.75,111.76,,49.68425,,,0.2518851,0.94281846,,114.50667,7472872.5,55.470062,-3787429.0,,,0.06299805,-2.277919,62.011673
2018-09-26,111.5,3864142,112.27,112.86,111.31,,47.626644,,,0.1523969,-38.461227,,114.0,4556068.5,47.053688,-7651571.0,,,-0.023750348,-2.0767877,59.834133
2018-09-27,111.05,3841418,111.43,112.4,110.91,,45.676205,,,0.095010445,-24.825922,,113.49333,1436527.9,47.0801,-11492989.0,,,-0.03801872,-2.3443894,55.45546
2018-09-28,111.8,5672674,111.54,112.05,110.91,,49.395855,,,0.23703106,5.1953955,111.12945,112.986664,4621187.0,49.457985,-5820315.0,,,-0.05771913,-2.4009054,55.16905
2018-10-01,110.71,5053346,112.15,112.48,110.67,,44.61463,,,0.07490177,7.4867177,111.0822,112.48,-208806.75,47.487423,-10873661.0,,,-0.17033218,-1.6479188,53.082714
2018-10-02,108.72,6537647,110.45,111.11,107.7,,37.48155,,,-0.14436832,14.685778,110.81892,112.03286,-2835368.8,38.965942,-17411308.0,,,-0.23895317,-4.9367876,39.028507
2018-10-03,107.52,6100019,109.21,109.71,107.17,,33.95598,-32.0,,-0.13499646,1.526195,110.68624,111.58572,-7254280.0,31.528418,-23511328.0,,,-0.313617,-5.6229606,38.60403
2018-10-04,106.61,4929017,106.85,107.4,105.8,,31.533663,-36.0,,-0.092366755,8.501241,110.67141,111.13857,-7192667.5,30.490517,-28440344.0,,,-0.3047618,-7.9768233,33.580677
2018-10-05,106.49,3434322,106.25,107.01,105.98,,31.21741,-36.0,27.01547,-0.007164187,5.56772,110.75134,110.69143,-7226010.5,25.546257,-31874666.0,,,-0.33457586,-7.0158486,33.25791
2018-10-08,108.19,3712284,106.36,108.34,106.31,,40.345085,-36.0,27.16636,0.1824538,21.084415,110.691284,110.244286,-4062339.8,31.518618,-28162382.0,,,-0.21036066,-4.83787,33.65292
2018-10-09,108.12,4105577,108.68,108.94,107.52,,40.10906,-36.0,26.761696,0.20796171,29.95559,110.71713,109.79714,-4698415.0,37.241714,-32267960.0,,,-0.22204617,-2.5638888,34.665764
2018-10-10,107.34,5761388,107.59,109.35,107.2,,37.47803,-36.0,26.02443,0.17927389,28.772291,110.642265,109.35,-9709483.0,30.799417,-38029348.0,,,-0.280862,-1.8533334,35.30067
2018-10-11,105.06,5693703,108.21,108.48,104.9,,31.063583,-56.0,26.539827,0.055904277,5.5196557,110.3758,109.831,-14894251.0,20.634039,-43723050.0,,105.06,-0.30721483,-3.84,38.39036
2018-10-12,105.28,4355451,105.3,105.76,104.53,,32.268196,-60.0,27.178917,0.119445875,-2.8830547,110.4419,110.312,-13938177.0,20.41959,-39367600.0,,105.54228,-0.25650552,-5.9785714,43.26123
2018-10-15,105.63,3511594,105.2,106.65,105.17,-0.29410872,34.237038,-60.0,26.996222,0.17623946,3.470206,110.4709,110.793,-15266888.0,25.598465,-35856004.0,-5.1429286,106.024574,-0.18741207,-3.7330613,43.96629
2018-10-16,107.39,3937240,106.31,107.69,105.8401,-0.11952849,43.18119,-60.0,26.010553,0.33257312,34.072952,110.419495,111.274,-12606660.0,31.480537,-31918764.0,-5.439072,106.50686,-0.11022711,-1.9125239,46.455708
2018-10-17,108.31,4302076,107.21,108.7785,107.19,0.07226158,47.22202,-60.0,24.338074,0.42456558,57.00524,110.43472,111.755,-10842226.0,37.738007,-27616688.0,-4.9183517,106.98914,-0.042547766,0.35767952,46.593235
2018-10-18,107.93,3944717,108.48,109.3457,107.55,0.18165682,45.77399,-60.0,22.780123,0.41356292,63.800346,110.421005,112.236,-13117408.0,35.917213,-31561406.0,-4.945653,107.47143,-0.080716155,1.2492825,47.49623
2018-10-19,110.29,5097075,108.59,110.6,108.49,0.40812027,55.00255,-60.0,22.073359,0.68542206,88.77045,110.28869,112.717,-9518052.0,43.883484,-26464332.0,-3.1057725,107.95371,0.033660084,2.738785,55.815716
2018-10-22,109.4,5477688,110.09,110.89,109.2438,0.48775062,51.446674,-60.0,21.57748,0.61041015,93.31776,110.301994,113.198,-13956237.0,53.28203,-31942020.0,-1.3602431,108.436,0.039958958,3.4327586,54.701298
2018-10-23,110.13,4453812,108.93,110.53,108.32,0.5734474,54.069576,-60.0,20.44886,0.7197457,110.629364,109.43781,113.679,-11114664.0,54.63269,-27488208.0,-1.7107393,108.91829,0.12626901,1.6405358,54.23428
2018-10-24,112.96,8217897,110.2,114.16,109.95,0.7911642,62.522095,-60.0,21.122805,1.0289291,94.11717,108.54382,114.16,-7581554.0,64.50361,-19270310.0,3.0374362,109.40057,0.18381058,5.6561737,41.903927
2018-10-25,112.85,6649010,112.96,113.27,111.4222,0.89078844,62.044147,-60.0,21.74861,0.9741045,91.69523,108.54713,114.1775,-3955148.5,71.159325,-25919320.0,3.5215595,109.88286,0.16291487,5.203206,42.954117
2018-10-26,110.45,5868778,111.62,112.06,109.69,0.7629993,52.596863,-60.0,21.179003,0.72559005,68.841805,108.37135,114.195,-6059984.5,63.738865,-31788098.0,2.5742915,110.36514,0.06326139,2.0594337,44.358932
2018-10-29,112.89,5698195,111.29,113.31,111.1432,0.80650926,59.370354,-56.0,21.191559,0.9582525,71.99897,108.24447,114.2125,-2570800.0,64.63187,-26089904.0,1.548265,110.84743,0.14417441,3.8927145,46.07682
2018-10-30,113.77,4750802,113.75,114.23,112.6,0.8537115,61.506683,48.0,21.569166,0.97296435,84.95816,108.361084,114.23,-501432.22,72.13687,-21339100.0,-0.37707552,111.32971,0.15335648,5.272441,45.190975
2018-10-31,112.38,6273043,113.49,113.49,111.19,0.7539418,56.457047,48.0,21.042746,0.80590653,98.28089,108.27604,114.68445,-283239.44,71.23117,-27612144.0,0.14061417,111.812,0.1817336,2.6649494,43.98673
2018-11-01,111.51,5713014,112.0,113.14,110.98,0.5987497,53.496624,48.0,20.428856,0.70368195,78.895615,108.25213,115.138885,-3192644.8,69.65501,-33325158.0,-0.30286786,112.29429,0.16669133,1.9613853,47.69432
2018-11-02,111.17,6511724,111.49,112.1,109.63,0.4494141,52.34151,48.0,19.088043,0.6533667,53.63457,108.18703,115.59333,-1584486.1,62.43343,-39836880.0,0.24635498,112.77657,0.13668454,-0.4545269,50.826927
