Sim_Start_Date,Sim_End_Date,Algorithm_Value,Funds,Investing,Income,Taxes,Purchase_Count,Sell_Count,Div_Count,Average_Income,Median_Income,Back_Test_Count,Research_Range_In_Days,Dataframe_Range_In_Years,Past_Periods,Indicator_List,Indicator_Strength,Buy_Pattern,Sell_Pattern,Sell_Profit,Sell_Loss,Max_Stock_Count,Max_Stock_Percent,Max_Sector_Percent
2023-02-08,2023-03-08,1.5506,3000,0,47.14,5.19,3,3,0,15.71,14.47,10,28,5,190,adx,0,I/I,IGNORE,0.005,-0.01,1,1,1
2023-02-08,2023-03-08,1.0536,3000,0,16.09,1.77,1,1,0,16.09,16.09,10,28,5,200,pvo/macd,2,I/D/D,I/I/D,0.005,-0.18,1,1,1
2023-02-08,2023-03-08,0.8679,3000,3037.0,37.2,4.09,2,1,0,37.2,37.2,10,28,5,65,aroon/pvo/pivots,2,D/D/I/D,D/I/D/I,0.01,-0.13,1,1,1
2023-02-08,2023-03-08,0.9262,3000,3078.0,78.25,8.61,2,1,0,78.25,78.25,10,28,5,115,bollinger,0,I/D,I/I,0.095,-0.16,1,1,1
2023-02-08,2023-03-08,0.9326,3000,3107.0,107.02,11.77,2,1,0,107.02,107.02,10,28,5,175,pvo/chandelier/elder/obv,1,I/I/I/D/I,IGNORE,0.035,-0.27,1,1,1
2023-02-08,2023-03-08,1.0182,3000,3092.0,92.29,10.15,2,1,0,92.29,92.29,10,28,5,60,aroon,2,D/D,I/D,0.03,-0.2,1,1,1
2023-02-08,2023-03-08,1.4052,3000,0,8.02,0.88,1,1,0,8.02,8.02,10,28,5,25,stochastic,0,I/I,I/D,0.045,-0.24,1,1,1
2023-02-08,2023-03-08,1.4443,3000,0,8.84,0.97,2,2,0,4.42,4.42,10,28,5,40,pivots,0,D/D,D/I,0.015,-0.02,1,1,1
2023-02-08,2023-03-08,1.1047,3000,3092.0,92.29,10.15,2,1,0,92.29,92.29,10,28,5,80,adl,0,D/I,I/D,0.02,-0.15,1,1,1
2023-02-08,2023-03-08,1.0645,3000,3054.0,54.41,5.99,2,1,0,54.41,54.41,10,28,5,15,pivots,0,I/I,D/D,0.015,-0.2,1,1,1
2023-02-08,2023-03-08,0.7874,3000,3054.0,54.41,5.99,2,1,0,54.41,54.41,10,28,5,195,bop,2,I/D,IGNORE,0.005,-0.2,1,1,1
2023-02-08,2023-03-08,0.8916,3000,3092.0,92.29,10.15,2,1,0,92.29,92.29,10,28,5,100,pvo/adl/zigzag/bop/aroon,2,I/I/I/I/D/D,IGNORE,0.03,-0.19,1,1,1
2023-02-08,2023-03-08,0.9296,3000,3072.0,72.9,8.02,2,1,0,72.9,72.9,10,28,5,5,bop,1,I/I,D/I,0.1,-0.22,1,1,1
2023-02-08,2023-03-08,1.0197,3000,3107.0,107.02,11.77,2,1,0,107.02,107.02,10,28,5,170,obv,0,I/I,I/D,0.035,-0.2,1,1,1
2023-02-08,2023-03-08,1.5133,3000,0,47.14,5.19,3,3,0,15.71,14.47,10,28,5,160,adl/bollinger,0,I/I/D,D/D/I,0.005,-0.26,1,1,1
2023-02-08,2023-03-08,1.3025,3000,0,54.41,5.99,1,1,0,54.41,54.41,10,28,5,55,bop/chop/macd,1,D/D/D/D,IGNORE,0.015,-0.07,1,1,1
2023-02-08,2023-03-08,0.8848,3000,3092.0,92.29,10.15,2,1,0,92.29,92.29,10,28,5,155,chandelier/aroon/adx,0,I/I/D/I,D/D/D/I,0.025,-0.19,1,1,1
2023-02-08,2023-03-08,1.1265,3000,0,7.28,0.8,1,1,0,7.28,7.28,10,28,5,5,aroon/chop/stochastic,0,D/I/D/D,D/I/I/D,0.075,-0.23,1,1,1
2023-02-08,2023-03-08,1.6352,3000,0,92.29,10.15,1,1,0,92.29,92.29,10,28,5,45,stochastic/chandelier/mfi,0,D/D/D/D,I/D/I/I,0.03,-0.19,1,1,1
2023-02-09,2023-03-09,1.4036,3000,3007.0,7.83,0.86,2,1,0,7.83,7.83,10,28,5,5,chop,0,I/D,I/I,0.06,-0.24,1,1,1
2023-02-09,2023-03-09,1.2995,3000,0,54.41,5.99,1,1,0,54.41,54.41,10,28,5,40,stochastic,1,D/I,I/D,0.01,-0.07,1,1,1
2023-02-09,2023-03-09,1.1751,3000,0,11.84,1.3,1,1,0,11.84,11.84,10,28,5,15,mfi/zigzag/bop/macd,0,I/I/I/I/D,D/I/I/I/I,0.005,-0.15,1,1,1
2023-02-09,2023-03-09,1.8791,3000,0,66.71,7.34,1,1,0,66.71,66.71,10,28,5,10,adx,0,I/D,D/D,0.075,-0.12,1,1,1
2023-02-11,2023-03-11,1.77,3000,0,9.82,1.08,2,2,0,4.91,4.91,10,28,5,190,chandelier,0,I/I,IGNORE,0.005,-0.22,1,1,1
2023-02-11,2023-03-11,1.8778,3000,0,9.82,1.08,2,2,0,4.91,4.91,10,28,5,10,mfi,0,I/I,IGNORE,0.005,-0.21,1,1,1
2023-02-11,2023-03-11,1.2545,3000,0,9.82,1.08,2,2,0,4.91,4.91,10,28,5,200,chop/adl,0,I/I/I,D/I/D,0.005,-0.27,1,1,1
2023-02-11,2023-03-11,1.5121,3000,0,9.82,1.08,2,2,0,4.91,4.91,10,28,5,95,adx,0,I/D,IGNORE,0.005,-0.04,1,1,1
2023-02-11,2023-03-11,1.172,3000,3026.0,26.81,2.95,2,1,0,26.81,26.81,10,28,5,5,chop,0,D/D,I/I,0.095,-0.29,1,1,1
2023-02-11,2023-03-11,1.2355,3000,0,9.82,1.08,2,2,0,4.91,4.91,10,28,5,200,chop/pvo/mfi/bop,1,I/I/I/D/D,I/D/D/I/I,0.005,-0.22,1,1,1
2023-02-13,2023-03-13,1.5967,3000,0,9.82,1.08,2,2,0,4.91,4.91,10,28,5,105,adx/zigzag,0,I/D/I,D/I/I,0.005,-0.05,1,1,1
2023-02-13,2023-03-13,1.1573,3000,0,14.3,1.57,1,1,0,14.3,14.3,10,28,5,65,macd/rsi/chop/obv,0,D/D/D/D/D,IGNORE,0.005,-0.3,1,1,1
2023-02-14,2023-03-14,1.4256,3000,3033.0,34.0,3.74,2,1,0,34.0,34.0,10,28,5,5,mfi/zigzag,0,I/D/I,I/I/I,0.09,-0.02,1,1,1
2023-02-16,2023-03-16,1.3455,3000,0,66.85,7.35,1,1,0,66.85,66.85,10,28,5,200,pvo/adx,0,I/D/I,I/D/D,0.01,-0.05,1,1,1
2023-02-16,2023-03-16,1.4427,3000,0,74.69,8.22,1,1,0,74.69,74.69,10,28,5,160,pvo,2,I/D,IGNORE,0.02,-0.26,1,1,1
2023-02-17,2023-03-17,1.2086,3000,0,62.59,6.89,1,1,0,62.59,62.59,10,28,5,120,zigzag/pvo/macd/aroon,0,I/I/I/I/D,IGNORE,0.02,-0.03,1,1,1
2023-02-17,2023-03-17,0.8487,3000,3070.0,70.95,7.8,2,1,0,70.95,70.95,10,28,5,110,obv,0,D/D,D/I,0.01,-0.03,1,1,1
2023-02-17,2023-03-17,0.8707,3000,3007.0,7.28,0.8,2,1,0,7.28,7.28,10,28,5,40,bop/zigzag,1,D/I/D,I/D/D,0.005,-0.25,1,1,1
2023-02-18,2023-03-18,1.1693,3000,0,50.78,5.59,1,1,0,50.78,50.78,10,28,5,55,macd/aroon/adx,2,D/I/D/I,IGNORE,0.015,-0.09,1,1,1
2023-02-18,2023-03-18,0.8146,3000,3070.0,70.95,7.8,2,1,0,70.95,70.95,10,28,5,155,chop,0,I/I,IGNORE,0.02,-0.09,1,1,1
2023-02-18,2023-03-18,1.51,3000,0,74.69,8.22,1,1,0,74.69,74.69,10,28,5,65,elder,2,D/D,IGNORE,0.01,-0.08,1,1,1
2023-02-18,2023-03-18,0.7804,3000,3053.0,53.25,5.86,2,1,0,53.25,53.25,10,28,5,95,bollinger,0,D/D,I/I,0.01,-0.16,1,1,1
2023-02-18,2023-03-18,1.1194,3000,3017.0,17.59,1.94,2,1,0,17.59,17.59,10,28,5,150,rsi,0,I/D,I/I,0.005,-0.23,1,1,1
2023-02-18,2023-03-18,1.3578,3000,0,107.33,11.81,1,1,0,107.33,107.33,10,28,5,55,bop/elder/rsi/pvo,1,D/I/I/I/D,I/D/D/D/I,0.025,-0.17,1,1,1
2023-02-18,2023-03-18,1.0655,3000,0,19.66,2.16,1,1,0,19.66,19.66,10,28,5,5,aroon,2,I/I,I/D,0.085,-0.28,1,1,1
2023-02-18,2023-03-18,1.5543,3000,0,17.59,1.94,1,1,0,17.59,17.59,10,28,5,25,pivots,0,I/I,IGNORE,0.005,-0.03,1,1,1
2023-02-18,2023-03-18,0.791,3000,3066.0,66.85,7.35,2,1,0,66.85,66.85,10,28,5,40,bop/adx/adl,0,I/I/D/I,IGNORE,0.015,-0.21,1,1,1
2023-02-18,2023-03-18,1.0813,3000,0,24.39,2.68,1,1,0,24.39,24.39,10,28,5,130,aroon,1,I/D,I/I,0.085,-0.19,1,1,1
2023-02-18,2023-03-18,1.3393,3000,0,43.81,4.82,1,1,0,43.81,43.81,10,28,5,15,aroon,1,D/I,IGNORE,0.015,-0.06,1,1,1
2023-02-18,2023-03-18,1.6342,3000,0,107.33,11.81,1,1,0,107.33,107.33,10,28,5,15,mfi,0,D/I,I/D,0.02,-0.22,1,1,1
2023-02-18,2023-03-18,1.4629,3000,0,68.28,7.51,1,1,0,68.28,68.28,10,28,5,40,pivots/chop/adl,0,I/I/I/I,IGNORE,0.02,-0.13,1,1,1
2023-02-18,2023-03-18,1.1273,3000,0,38.18,4.2,1,1,0,38.18,38.18,10,28,5,5,chop/macd,1,D/I/D,I/D/D,0.065,-0.06,1,1,1
2023-02-18,2023-03-18,1.4255,3000,0,68.28,7.51,1,1,0,68.28,68.28,10,28,5,25,bollinger/macd/obv,0,I/D/D/D,IGNORE,0.015,-0.11,1,1,1
