Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
1987-09-21,1987-06-25,1987-07-27,1987-07-31,0.45
1987-12-21,1987-10-22,1987-11-16,1987-11-20,0.45
1988-03-21,1988-01-28,1988-02-12,1988-02-19,0.50
1988-06-20,1988-04-28,1988-05-16,1988-05-20,0.50
1988-09-20,1988-06-23,1988-07-25,1988-07-29,0.50
1988-12-20,1988-10-27,1988-11-15,1988-11-21,0.50
1989-03-22,1988-12-19,1989-01-23,1989-01-27,0.55
1989-06-21,1989-04-27,1989-05-15,1989-05-19,0.55
1989-09-21,1989-06-22,1989-07-24,1989-07-28,0.55
1989-12-21,1989-10-26,1989-11-13,1989-11-17,0.55
1990-03-22,1990-01-25,1990-02-05,1990-02-09,0.60
1990-06-21,1990-04-26,1990-05-14,1990-05-18,0.60
1990-09-20,1990-06-28,1990-08-06,1990-08-10,0.60
1990-12-20,1990-10-25,1990-11-09,1990-11-16,0.60
1991-03-21,1991-01-24,1991-02-22,1991-02-28,0.66
1991-06-20,1991-04-25,1991-05-13,1991-05-17,0.33
1991-09-19,1991-06-27,1991-08-01,1991-08-07,0.33
1991-12-19,1991-10-24,1991-11-08,1991-11-15,0.33
1992-03-19,1992-01-23,1992-02-03,1992-02-07,0.37
1992-06-18,1992-04-23,1992-05-11,1992-05-15,0.37
1992-09-17,1992-06-25,1992-08-03,1992-08-07,0.37
1992-12-17,1992-10-22,1992-11-16,1992-11-20,0.37
1993-03-18,1993-01-28,1993-02-08,1993-02-12,0.42
1993-06-17,1993-04-22,1993-05-10,1993-05-14,0.42
1993-09-16,1993-06-25,1993-08-02,1993-08-06,0.42
1993-12-16,1993-10-28,1993-11-05,1993-11-12,0.42
1994-03-17,1994-01-27,1994-02-07,1994-02-11,0.47
1994-06-16,1994-04-28,1994-05-09,1994-05-13,0.47
1994-09-15,1994-06-23,1994-08-01,1994-08-05,0.47
1994-12-15,1994-10-27,1994-11-04,1994-11-11,0.47
1995-03-16,1995-01-26,1995-02-06,1995-02-10,0.52
1995-06-15,1995-04-27,1995-05-08,1995-05-12,0.52
1995-09-21,1995-06-22,1995-08-02,1995-08-04,0.26
1995-12-21,1995-10-26,1995-11-08,1995-11-10,0.26
1996-03-14,1996-01-25,1996-02-07,1996-02-09,0.30
1996-06-13,1996-04-25,1996-05-08,1996-05-10,0.30
1996-09-12,1996-06-27,1996-07-31,1996-08-02,0.30
1996-12-12,1996-10-24,1996-11-06,1996-11-08,0.30
1997-03-13,1997-01-23,1997-02-05,1997-02-07,0.34
1997-06-12,1997-04-24,1997-05-07,1997-05-09,0.34
1997-09-11,1997-06-26,1997-07-30,1997-08-01,0.17
1997-12-11,1997-10-23,1997-11-05,1997-11-07,0.17
1998-03-12,1998-01-22,1998-02-04,1998-02-06,0.19
1998-06-11,1998-04-23,1998-05-06,1998-05-08,0.19
1998-09-10,1998-06-25,1998-08-05,1998-08-07,0.19
1998-12-10,1998-10-22,1998-11-04,1998-11-06,0.19
1999-03-11,1998-12-14,1999-02-10,1999-02-12,0.22
1999-06-10,1999-04-22,1999-05-05,1999-05-07,0.22
1999-09-09,1999-06-24,1999-08-04,1999-08-06,0.08
1999-12-09,1999-10-28,1999-11-09,1999-11-12,0.08
2000-03-09,1999-12-13,2000-02-16,2000-02-18,0.09
2000-06-08,2000-04-27,2000-05-09,2000-05-11,0.09
2000-09-07,2000-06-22,2000-08-16,2000-08-18,0.09
2000-12-07,2000-10-26,2000-11-15,2000-11-17,0.09
2001-03-08,2000-12-18,2001-02-14,2001-02-16,0.11
2001-06-07,2001-04-26,2001-05-16,2001-05-18,0.11
2001-09-06,2001-06-28,2001-08-15,2001-08-17,0.11
2001-12-06,2001-10-25,2001-11-14,2001-11-16,0.11
2002-03-07,2001-12-18,2002-02-13,2002-02-15,0.13
2002-06-06,2002-04-25,2002-05-15,2002-05-17,0.13
2002-09-05,2002-06-27,2002-08-14,2002-08-16,0.13
2002-12-05,2002-10-24,2002-11-13,2002-11-15,0.13
2003-02-14,2002-12-16,2003-01-15,2003-01-17,0.15
2003-06-05,2003-04-24,2003-05-14,2003-05-16,0.15
2003-09-04,2003-06-26,2003-08-13,2003-08-15,0.15
2003-12-04,2003-10-23,2003-11-12,2003-11-14,0.15
2004-03-05,2003-12-15,2004-02-11,2004-02-13,0.17
2004-06-04,2004-04-22,2004-05-12,2004-05-14,0.17
2004-09-03,2004-06-24,2004-08-11,2004-08-13,0.17
2004-12-03,2004-10-28,2004-11-09,2004-11-12,0.17
2005-03-08,2004-12-13,2005-02-09,2005-02-11,0.19
2005-06-07,2005-04-28,2005-05-11,2005-05-13,0.19
2005-09-06,2005-06-23,2005-08-10,2005-08-12,0.19
2005-12-06,2005-10-27,2005-11-08,2005-11-11,0.19
2006-06-06,2006-04-27,2006-05-10,2006-05-12,0.24
2006-09-05,2006-06-22,2006-08-09,2006-08-11,0.24
2006-12-05,2006-10-26,2006-11-08,2006-11-10,0.24
2007-03-06,2006-12-18,2007-02-07,2007-02-09,0.29
2007-06-05,2007-04-26,2007-05-09,2007-05-11,0.29
2007-09-05,2007-06-28,2007-08-08,2007-08-10,0.29
2007-12-04,2007-10-25,2007-11-07,2007-11-09,0.29
2008-03-04,2007-12-17,2008-02-06,2008-02-08,0.32
2008-06-03,2008-04-24,2008-05-07,2008-05-09,0.32
2008-09-03,2008-06-26,2008-08-06,2008-08-08,0.32
2008-12-02,2008-10-23,2008-11-05,2008-11-07,0.32
2009-03-03,2008-12-15,2009-02-04,2009-02-06,0.32
2009-06-02,2009-04-23,2009-05-06,2009-05-08,0.16
2009-09-02,2009-06-25,2009-08-05,2009-08-07,0.16
2009-12-01,2009-10-22,2009-11-04,2009-11-06,0.16
2010-03-02,2009-12-14,2010-02-03,2010-02-05,0.18
2010-06-01,2010-04-22,2010-05-05,2010-05-07,0.18
2010-09-01,2010-06-24,2010-08-04,2010-08-06,0.18
2010-12-01,2010-10-28,2010-11-04,2010-11-08,0.18
2011-03-01,2010-12-13,2011-02-02,2011-02-04,0.20
2011-06-07,2011-04-28,2011-05-11,2011-05-13,0.20
2011-09-06,2011-06-23,2011-08-03,2011-08-05,0.20
2011-12-06,2011-10-27,2011-11-08,2011-11-11,0.20
2012-03-06,2011-12-12,2012-02-01,2012-02-03,0.22
2012-06-05,2012-04-26,2012-05-09,2012-05-11,0.22
2012-09-05,2012-06-28,2012-08-01,2012-08-03,0.22
2012-12-04,2012-10-25,2012-11-07,2012-11-09,0.22
2013-03-05,2012-12-17,2013-01-30,2013-02-01,0.24
2013-06-04,2013-04-25,2013-05-08,2013-05-10,0.24
2013-09-04,2013-06-27,2013-07-31,2013-08-02,0.24
2013-12-03,2013-10-24,2013-11-06,2013-11-08,0.24
2014-03-04,2013-12-16,2014-02-05,2014-02-07,0.26
2014-06-03,2014-04-24,2014-05-07,2014-05-09,0.26
2014-09-03,2014-06-26,2014-07-30,2014-08-01,0.26
2014-12-02,2014-10-23,2014-11-05,2014-11-07,0.26
2015-03-03,2014-12-14,2015-02-04,2015-02-06,0.28
2015-06-02,2015-04-23,2015-05-06,2015-05-08,0.28
2015-09-02,2015-06-25,2015-08-05,2015-08-07,0.28
2015-12-01,2015-09-25,2015-11-04,2015-11-06,0.28
2016-03-02,2015-12-14,2016-02-03,2016-02-05,0.30
2016-06-01,2016-04-28,2016-05-11,2016-05-13,0.30
2016-09-01,2016-06-23,2016-08-03,2016-08-05,0.30
2016-12-01,2016-09-22,2016-11-08,2016-11-11,0.30
2017-03-01,2016-12-12,2017-02-01,2017-02-03,0.32
2017-06-01,2017-04-27,2017-05-10,2017-05-12,0.32
2017-09-01,2017-06-22,2017-08-02,2017-08-04,0.32
2017-12-01,2017-09-27,2017-11-09,2017-11-10,0.32
2018-03-01,2017-12-18,2018-02-01,2018-02-02,0.34
2018-06-01,2018-04-26,2018-05-10,2018-05-11,0.34
2018-09-04,2018-06-29,2018-08-02,2018-08-03,0.34
2018-12-03,2018-09-28,2018-11-08,2018-11-09,0.34
2019-03-01,2018-12-15,2019-01-31,2019-02-01,0.36
2019-06-07,2019-04-26,2019-05-09,2019-05-10,0.36
2019-09-03,2019-06-28,2019-08-01,2019-08-02,0.36
2019-12-02,2019-09-24,2019-11-07,2019-11-08,0.36
2020-03-06,2019-12-16,2020-01-30,2020-01-31,0.38
2020-06-05,2020-04-23,2020-05-07,2020-05-08,0.38
2020-09-01,2020-06-25,2020-07-30,2020-07-31,0.38
2020-12-01,2020-09-24,2020-11-05,2020-11-06,0.38
2021-03-05,2020-12-11,2021-01-28,2021-01-29,0.39
2021-06-04,2021-04-22,2021-05-06,2021-05-07,0.39
2021-09-07,2021-06-24,2021-07-29,2021-07-30,0.39
2021-12-06,2021-09-23,2021-11-04,2021-11-05,0.39
2022-03-04,2021-12-10,2022-01-27,2022-01-28,0.40
2022-06-10,2022-04-28,2022-05-12,2022-05-13,0.40
2022-09-06,2022-06-23,2022-07-28,2022-07-29,0.40
2022-12-05,2022-09-22,2022-11-03,2022-11-04,0.40
2023-03-03,2022-12-09,2023-01-26,2023-01-27,0.41
2023-06-09,2023-04-26,2023-05-11,2023-05-12,0.41
2023-09-05,2023-06-22,2023-07-27,2023-07-28,0.41
