date,close,volume,open,high,low
2013-03-08,27.5549,27033980,27.6918,27.7211,27.4083
2013-03-11,27.6136,25495430,27.5256,27.6722,27.4669
2013-03-12,27.3105,29713480,27.594,27.594,27.2519
2013-03-13,27.3887,24738350,27.3008,27.4474,27.1737
2013-03-14,27.4767,27788250,27.4083,27.4767,27.2519
2013-03-15,27.3887,63119120,27.2128,27.4278,27.1297
2013-03-18,27.4083,29322420,27.1151,27.6038,27.1151
2013-03-19,27.3594,27108660,27.4669,27.594,27.2714
2013-03-20,27.6527,30696740,27.5354,27.7602,27.4767
2013-03-21,27.4767,23583060,27.5354,27.682,27.3936
2013-03-22,27.7406,23087040,27.4865,27.7504,27.4767
2013-03-25,27.5256,30717560,27.8091,27.8677,27.3496
2013-03-26,27.9557,31840910,27.6233,28.0143,27.594
2013-03-27,27.9948,23575700,27.8775,28.0143,27.8091
2013-03-28,28.2098,27941530,28.0143,28.2489,27.9752
2013-04-01,28.1903,19286150,28.1023,28.1903,28.0339
2013-04-02,28.5715,24422060,28.3173,28.6595,28.288
2013-04-03,28.376,34533100,28.5715,28.679,28.2294
2013-04-04,28.5031,30533790,28.5226,28.7768,28.3858
2013-04-05,28.4444,30439610,28.3076,28.5422,28.2685
2013-04-08,28.5031,25957430,28.3271,28.5128,27.9948
2013-04-09,28.4542,27543690,28.376,28.6888,28.2978
2013-04-10,29.2459,40977050,28.8256,29.3241,28.7865
2013-04-11,29.9497,54656380,29.2557,30.1257,29.2459
2013-04-12,29.979,39050480,29.764,30.1843,29.764
2013-04-15,29.764,46914570,29.9204,30.2918,29.764
2013-04-16,30.243,31456170,29.852,30.2918,29.7933
2013-04-17,30.1745,32243570,30.1061,30.243,29.8373
2013-04-18,29.9008,31787670,30.155,30.243,29.7933
2013-04-19,30.3603,29233930,30.0377,30.3603,29.9154
2013-04-22,30.2332,26092840,30.3798,30.3994,30.067
2013-04-23,30.3798,33111830,30.2821,30.4482,29.9351
2013-04-24,29.9106,31516310,30.3798,30.4287,29.8715
2013-04-25,29.5783,35550530,29.9595,29.9693,29.2459
2013-04-26,29.4121,54022530,28.5715,29.4903,28.1414
2013-04-29,29.7444,27728280,29.4414,29.8911,29.2557
2013-04-30,28.4151,70032180,28.7572,29.2166,28.376
2013-05-01,28.2489,45090670,28.1805,29.0583,28.1512
2013-05-02,28.6106,31860460,28.376,28.6692,28.3369
2013-05-03,28.3076,43823120,28.8647,28.9625,28.0534
2013-05-06,28.073,33108290,28.2782,28.2782,28.0534
2013-05-07,28.376,30950350,28.2391,28.5226,28.1805
2013-05-08,28.0827,30746370,28.2391,28.3662,27.9361
2013-05-09,27.9557,27825680,28.1023,28.1218,27.7797
2013-05-10,28.073,33069720,27.9459,28.1512,27.9264
2013-05-13,28.7083,33548360,28.1023,28.7083,28.0241
2013-05-14,28.7377,32727260,28.7279,28.8354,28.6204
2013-05-15,28.894,29536200,28.7377,29.0211,28.5177
2013-05-16,28.591,27609750,28.8061,28.9136,28.5617
2013-05-17,28.3076,37639070,28.5519,28.7083,28.1805
2013-05-20,28.0534,32141640,28.3173,28.3662,28.0045
2013-05-21,28.1316,44106110,28.0632,28.1805,27.6722
2013-05-22,28.6399,83664660,28.8843,29.3632,28.5519
2013-05-23,28.4542,51706130,28.4249,28.6692,28.20
2013-05-24,28.3858,35080060,28.2098,28.4542,28.0339
2013-05-28,28.3564,37850290,28.6399,28.8354,28.288
2013-05-29,27.6429,48860660,28.2098,28.2489,27.4669
2013-05-30,27.6136,43113010,27.7309,27.8091,27.4767
2013-05-31,26.6165,89681830,27.6331,27.6331,26.6165
2013-06-03,27.1248,57594470,26.685,27.1444,26.509
2013-06-04,27.0369,69970820,27.203,27.4181,26.7143
2013-06-05,26.8609,71198830,27.1053,27.3399,26.7583
2013-06-06,27.4767,82471600,26.8609,27.5158,26.7729
2013-06-07,27.6233,83975110,27.6038,27.9752,27.3985
2013-06-10,27.7309,66492010,27.7406,27.9459,27.6331
2013-06-11,27.7797,83129910,27.4083,27.9948,27.3203
2013-06-12,27.7895,87973530,28.0045,28.3076,27.7602
2013-06-13,28.4249,72315250,27.7309,28.4933,27.7113
2013-06-14,28.4346,81828550,28.3662,28.6986,28.288
2013-06-17,28.5031,152087600,28.7377,28.7377,28.2489
2013-06-18,28.7377,160343600,28.4737,28.7865,28.376
2013-06-19,28.4444,121042100,28.7083,29.1384,28.2489
