date,close,volume,open,high,low,macd,rsi,aroon,adx,bollinger,stochastic,chandelier,pivots,adl,mfi,obv,pvo,zigzag,bop,elder,chop
2018-08-28,40.5651,18853560,40.6726,40.8387,40.3891,,,,,,,,,-4092765.8,,0.0,,,,,
2018-08-29,40.5651,14798280,40.5651,40.6775,40.2425,,,,,,,,,3058035.2,,0.0,,,,,
2018-08-30,40.5651,14872430,40.3011,40.9609,40.2718,,,,,,,,40.9609,845839.6,,0.0,,,,,
2018-08-31,40.5846,19574390,40.3598,40.6384,40.1643,,,,,,,,41.116688,15977698.0,,19574390.0,,,,,
2018-09-04,40.438,14424780,40.5455,40.6139,40.2914,,,,,,,,41.272476,14667167.0,,5149610.0,,,,,
2018-09-05,40.9072,20588760,40.3598,40.9756,40.3305,,,,,,,,41.42826,30889872.0,,25738370.0,,,,,
2018-09-06,40.8387,17387230,40.9072,40.9658,40.5162,,,,,,,,41.58405,38446510.0,,8351140.0,,,,,
2018-09-07,41.2493,19981730,40.653,41.3959,40.526,,,,,,,,41.739838,51693390.0,,28332870.0,,,,,
2018-09-10,41.1124,20170620,41.4252,41.7576,41.1027,,,,,,,,41.895626,32120284.0,,8162250.0,,,,,
2018-09-11,41.3568,18020820,41.0538,41.4692,41.0049,,,,,,,,42.05141,41415970.0,,26183070.0,,,,,
2018-09-12,41.4546,16544080,41.347,41.826,41.3275,,,,,,,,42.2072,33308208.0,,42727150.0,,,,,
2018-09-13,41.8846,16793400,41.5425,41.9531,41.4741,,,,,,,,42.362988,45298490.0,,59520550.0,,,,,
2018-09-14,41.9922,15617390,41.7869,42.0313,41.5425,,,,,,,,42.518776,58417348.0,,75137940.0,,,,1.4947692,
2018-09-17,42.041,15778950,42.0508,42.2072,41.7771,,,,,,,,42.674564,62001640.0,,90916890.0,,,0.22633864,1.6191307,
2018-09-18,42.5298,19252020,42.0313,42.6948,41.8651,,86.81006,,,,,,42.83035,73596470.0,72.935295,110168910.0,,,0.286333,1.8098121,42.41245
2018-09-19,42.2854,22563610,42.4418,42.6959,42.0215,,79.01702,,,,,,42.986137,68691630.0,70.43913,87605300.0,,,0.269768,1.7072103,43.548756
2018-09-20,42.7644,17476110,42.3929,42.8914,42.3734,,82.35948,,,,,,43.141926,77598376.0,70.83731,105081410.0,,,0.29363036,1.8948089,40.333862
2018-09-21,43.0674,34791250,42.7937,43.1993,42.6275,,84.086365,,,,93.185715,,43.297714,96338680.0,79.702866,139872660.0,,,0.29395196,2.0618362,38.366833
2018-09-24,42.9403,17095370,42.9501,43.4535,42.8426,,80.525375,,,,91.80224,,43.4535,84711370.0,85.09398,122777290.0,,,0.31661564,2.2289023,37.004025
2018-09-25,42.8035,14269400,43.1358,43.2922,42.7741,,76.757545,,,0.841311,77.82016,,43.57391,72061420.0,79.30648,108507890.0,,,0.21019188,1.7791307,38.742134
2018-09-26,42.6959,17174930,42.8523,43.3117,42.6568,,73.831314,,,0.7814895,65.15132,,43.694317,56937308.0,72.781006,91332960.0,,,0.20401634,1.5235263,39.809692
2018-09-27,42.911,14078900,42.8035,43.1847,42.6959,,75.816154,,,0.8103872,69.325966,,43.814728,55249452.0,72.24583,105411860.0,,,0.17076243,1.2389083,44.81285
2018-09-28,43.0772,14658720,42.9403,43.1456,42.7399,,77.25186,,,0.825293,80.59921,41.77886,43.935135,64965330.0,71.72221,120070580.0,,,0.22898184,1.0277071,43.61216
2018-10-01,43.2727,15685450,43.0381,43.517,42.9208,,78.84296,,,0.84820014,91.81803,41.837177,44.055546,67796180.0,78.49082,135756030.0,,,0.21047448,1.3389204,48.49041
2018-10-02,43.2238,17226620,43.214,43.3899,43.1358,,77.38497,,,0.81287074,93.11352,41.878883,44.175953,62501416.0,78.60637,118529410.0,,,0.1978116,1.234146,49.56146
2018-10-03,43.8005,21069600,43.2824,43.8298,43.2824,,81.68622,88.0,,0.9415541,99.06465,42.18351,44.296364,81315490.0,79.03061,139599000.0,,,0.2144029,1.4907252,46.169823
2018-10-04,43.693,17986260,43.5268,43.7809,43.2922,,78.682106,88.0,,0.8788145,97.695,42.189026,44.41677,92831550.0,72.226944,121612750.0,,,0.20869416,1.1995502,50.36578
2018-10-05,43.8982,17171490,43.7027,43.9862,43.5952,,80.18046,96.0,76.41535,0.9020912,101.50197,42.366688,44.53718,102273670.0,72.449196,138784240.0,,,0.24603598,1.4331572,48.932182
2018-10-08,44.2599,20048090,43.7418,44.2983,43.693,,82.513535,100.0,76.87375,0.97139204,97.92056,42.66986,44.657593,119778080.0,72.61582,158832340.0,,,0.2642588,1.5042634,45.12968
2018-10-09,44.4456,20383960,43.9764,44.778,43.7809,,83.5821,100.0,77.50151,0.9782416,90.17509,43.087612,44.778,126571370.0,80.99771,179216290.0,,44.4456,0.31443557,1.7284114,43.29638
2018-10-10,43.5072,29130870,44.4261,44.6998,43.4779,,62.72334,96.0,76.74745,0.65961844,49.121563,42.997826,44.65825,98837560.0,70.98616,150085420.0,,44.17991,0.2094922,1.3209383,51.765007
2018-10-11,41.8455,41976960,43.3606,43.4877,41.4485,,42.49809,92.0,71.50424,0.07612908,-4.269645,42.79801,44.5385,73205096.0,56.92492,108108460.0,,43.91422,0.122231394,-1.46831,41.35675
2018-10-12,42.7937,28488910,41.8064,42.9696,41.6794,,52.0078,88.0,66.635544,0.38883927,-8.464081,42.712074,44.41875,93925910.0,58.555794,136597380.0,,43.64853,0.17803654,-1.63878,43.867283
2018-10-15,42.1486,21641630,42.6666,42.7253,42.0117,-0.3330114,46.38706,80.0,62.114613,0.14281254,5.443741,42.699345,44.299,80587920.0,57.174282,114955740.0,6.873706,43.382835,0.17199977,-1.2664114,44.799427
2018-10-16,42.9403,20558760,42.3734,42.9892,42.0704,-0.29946288,53.087887,80.0,57.911552,0.4316969,45.608177,42.668537,44.17925,98958344.0,63.324005,135514500.0,3.8504171,43.117146,0.23312944,-0.9262669,45.70919
2018-10-17,43.5659,20132220,42.7839,43.7858,42.7644,-0.22955024,57.5978,76.0,55.19865,0.6519222,60.757538,42.62514,44.0595,110421920.0,64.06931,155646720.0,1.5787115,42.851456,0.27210727,0.40062836,47.481308
2018-10-18,43.0087,20251520,43.3411,43.4975,42.7253,-0.21547057,52.735054,-8.0,52.602245,0.4254606,68.38865,42.60837,43.93975,105035150.0,58.23802,135395200.0,0.0446486,42.585762,0.21725728,0.09211002,48.8693
2018-10-19,43.4975,18236110,43.0576,43.82,42.9892,-0.1698796,56.2264,-8.0,50.62134,0.61200964,70.51042,42.5937,43.82,109113470.0,58.588272,153631310.0,-1.5652915,42.320072,0.22697139,0.55503714,49.597443
2018-10-22,43.3704,16851400,43.4388,43.5072,43.0283,-0.14584604,55.086933,-8.0,48.78193,0.5529931,56.483955,42.62768,43.72323,116337510.0,53.162643,136779900.0,-2.9831917,42.054382,0.2140146,0.21181756,50.28228
2018-10-23,43.1065,21518570,42.9012,43.3215,42.7057,-0.14498197,52.6989,-8.0,46.367065,0.44066852,56.354473,42.63478,43.62646,122830130.0,46.362003,115261340.0,-2.3602872,41.788692,0.1702227,-0.28067064,50.459087
2018-10-24,41.523,34717480,42.823,43.2876,41.4008,-0.24256872,41.166916,-44.0,44.09308,-0.08381369,11.95581,42.47491,43.52969,92609656.0,44.16071,80543860.0,1.9160773,41.523,0.096716754,-1.1534891,53.85132
2018-10-25,42.432,36500190,41.435,42.9501,40.7215,-0.2371285,48.177456,-48.0,42.749355,0.24800019,12.07521,42.275696,43.43292,112138870.0,36.85751,117044050.0,4.6086416,41.663982,0.09295719,-2.0305908,51.583607
2018-10-26,41.6403,28737090,42.0801,42.305,41.2297,-0.27539238,43.334152,-48.0,41.501614,0.04717204,7.2893615,42.225487,43.33615,105348130.0,30.341478,88306960.0,3.8671746,41.804962,0.0026042354,-1.8215492,52.986725
2018-10-29,42.2561,28557660,41.9824,42.6959,41.6012,-0.24859224,47.73534,-48.0,39.650024,0.2599088,43.96698,42.192234,43.23938,110959480.0,31.6813,116864620.0,3.0666828,41.945942,-0.01314875,-0.9385707,53.94886
2018-10-30,41.9237,33285070,41.0049,42.1178,40.8387,-0.24236149,45.67321,-48.0,38.774376,0.19158396,39.61257,42.116486,43.14261,134142710.0,31.46643,83579550.0,3.4316297,42.08692,0.091875754,-2.0808463,63.865314
2018-10-31,42.0899,26709330,42.041,42.6764,41.7478,-0.21697795,46.908184,-48.0,37.056705,0.26474687,49.32544,42.110836,43.04584,127113030.0,40.271343,110288880.0,1.8167818,42.227905,0.14870772,-0.49063972,61.21285
2018-11-01,42.6862,22986840,42.2268,42.8426,42.1192,-0.15297797,51.194927,-48.0,35.20875,0.45210797,64.60825,42.12943,42.94907,140160300.0,39.339115,133275720.0,-0.2548419,42.368885,0.1394096,-0.01840546,59.883007
